"GeographyCode","QS110EW0001","QS110EW0002","QS110EW0003","QS110EW0004","QS110EW0005","QS110EW0006","QS110EW0007","QS110EW0008","QS110EW0009","QS110EW0010","QS110EW0011","QS110EW0012","QS110EW0013","QS110EW0014","QS110EW0015","QS110EW0016","QS110EW0017","QS110EW0018","QS110EW0019","QS110EW0020","QS110EW0021","QS110EW0022","QS110EW0023","QS110EW0024","QS110EW0025","QS110EW0026","QS110EW0027"
"E01000907",1135,141,76,65,254,176,46,21,9,2,430,232,86,64,33,15,147,48,78,21,90,26,56,8,73,31,42
"E01000908",1289,123,67,56,250,206,33,8,0,3,527,288,115,67,39,18,178,80,80,18,106,41,63,2,105,62,43
"E01000909",1370,155,67,88,249,204,22,11,7,5,455,226,91,68,48,22,222,38,144,40,172,32,132,8,117,50,67
"E01000910",1221,130,60,70,253,216,28,4,3,2,426,189,101,72,42,22,182,34,112,36,142,29,108,5,88,24,64
"E01000911",1231,112,51,61,257,212,34,8,3,0,488,234,116,77,44,17,160,40,93,27,106,32,69,5,108,43,65
"E01000912",1329,198,104,94,274,220,40,11,3,0,461,259,76,57,54,15,170,48,96,26,132,62,53,17,94,49,45
"E01000913",1410,116,54,62,215,183,25,3,3,1,492,213,108,89,65,17,255,33,182,40,200,38,152,10,132,47,85
"E01000914",1617,390,360,30,399,363,19,11,6,0,430,331,46,22,29,2,202,78,111,13,94,55,38,1,102,54,48
"E01000915",1234,182,110,72,357,279,47,24,5,2,372,211,54,64,35,8,150,44,82,24,97,33,55,9,76,36,40
"E01000916",1483,243,184,59,465,393,46,18,4,4,509,371,53,54,25,6,119,43,65,11,79,33,38,8,68,31,37
"E01000917",1457,226,142,84,329,213,72,34,7,3,576,351,89,75,48,13,165,91,50,24,89,56,26,7,72,43,29
"E01000918",1681,384,314,70,367,304,36,15,4,8,559,374,63,74,28,20,154,60,77,17,135,74,53,8,82,48,34
"E01000919",1494,252,196,56,419,355,26,31,3,4,529,332,31,140,18,8,151,70,65,16,90,47,39,4,53,26,27
"E01000920",1677,287,221,66,432,356,65,10,0,1,571,388,83,38,39,23,209,75,111,23,95,44,41,10,83,43,40
"E01000921",1689,239,177,62,639,584,45,4,4,2,577,337,109,75,53,3,108,43,46,19,96,37,55,4,30,13,17
"E01000922",1312,330,261,69,360,308,35,5,7,5,387,233,71,53,23,7,107,45,46,16,67,29,35,3,61,28,33
"E01000923",1206,158,97,61,299,245,44,5,4,1,465,255,105,50,36,19,165,52,91,22,81,34,43,4,38,19,19
"E01000924",1436,174,119,55,475,423,41,7,3,1,485,317,82,49,33,4,144,45,85,14,104,34,60,10,54,21,33
"E01000925",1162,228,122,106,230,144,59,15,8,4,377,164,79,58,50,26,146,41,58,47,92,53,31,8,89,54,35
"E01000926",1537,235,177,58,736,678,45,9,4,0,368,209,72,52,30,5,87,36,36,15,64,29,32,3,47,20,27
"E01000927",1490,222,174,48,454,380,57,12,4,1,469,289,104,46,23,7,162,38,103,21,106,44,54,8,77,19,58
"E01000928",1316,158,92,66,342,271,52,10,6,3,462,233,98,66,54,11,172,45,99,28,106,33,65,8,76,26,50
"E01000929",1260,187,88,99,264,167,70,18,6,3,462,203,95,93,46,25,171,60,85,26,104,43,56,5,72,26,46
"E01000930",1586,178,116,62,445,359,68,14,4,0,433,253,71,57,43,9,208,126,67,15,151,119,30,2,171,116,55
"E01000931",1581,224,106,118,509,406,73,21,5,4,506,299,87,58,45,17,158,54,75,29,92,35,55,2,92,48,44
"E01000932",1657,168,137,31,682,610,58,9,0,5,503,370,76,28,17,12,155,66,81,8,84,51,30,3,65,34,31
"E01000933",1492,172,123,49,540,470,56,7,6,1,445,303,66,29,32,15,162,62,84,16,95,44,46,5,78,51,27
"E01000934",1233,176,97,79,336,244,73,14,4,1,416,221,81,56,37,21,132,49,67,16,96,57,35,4,77,49,28
"E01000935",1047,124,71,53,284,175,72,33,3,1,414,205,71,90,40,8,121,53,57,11,57,25,24,8,47,25,22
"E01000936",1048,238,127,111,249,182,52,9,6,0,331,161,57,53,44,16,119,28,76,15,55,15,34,6,56,35,21
"E01000937",814,253,208,45,199,164,30,1,1,3,216,147,38,16,8,7,71,28,35,8,39,23,12,4,36,17,19
"E01000938",1364,397,340,57,404,348,38,10,5,3,383,223,98,32,24,6,94,36,46,12,50,21,26,3,36,17,19
"E01000939",921,281,199,82,157,107,35,9,4,2,282,123,64,56,35,4,86,23,53,10,65,24,34,7,50,25,25
"E01000940",933,177,123,54,283,221,45,6,9,2,253,128,54,42,20,9,89,35,42,12,67,34,31,2,64,27,37
"E01000941",973,160,98,62,198,127,42,19,1,9,377,211,60,44,39,23,112,46,57,9,59,26,29,4,67,30,37
"E01000942",1080,296,277,19,291,252,31,8,0,0,281,226,26,16,12,1,97,57,37,3,66,42,21,3,49,31,18
"E01000943",894,225,204,21,252,229,15,8,0,0,253,176,26,33,14,4,87,43,34,10,43,32,10,1,34,22,12
"E01000944",1627,798,692,106,240,163,47,24,4,2,358,187,54,62,35,20,102,24,59,19,54,18,30,6,75,36,39
"E01000945",1225,389,352,37,295,224,59,8,4,0,352,217,72,33,28,2,80,24,40,16,65,20,38,7,44,16,28
"E01000946",1261,228,173,55,321,263,47,3,5,3,369,202,59,50,39,19,142,55,75,12,99,38,55,6,102,46,56
"E01000947",1736,422,355,67,629,565,44,15,2,3,460,320,52,42,32,14,112,37,56,19,64,23,37,4,49,21,28
"E01000948",1460,171,130,41,408,354,42,10,2,0,473,281,72,69,44,7,166,55,92,19,137,54,74,9,105,49,56
"E01000949",1267,212,141,71,215,133,51,16,11,4,511,287,100,65,45,14,131,41,68,22,77,39,31,7,121,64,57
"E01000950",1100,274,183,91,219,118,59,29,7,6,380,171,80,67,40,22,113,38,58,17,55,20,25,10,59,28,31
"E01000951",1218,337,243,94,250,156,72,16,5,1,350,160,68,64,45,13,95,32,40,23,74,33,31,10,112,64,48
"E01000952",1402,397,295,102,292,207,54,22,5,4,415,206,71,68,54,16,111,39,56,16,102,35,58,9,85,21,64
"E01000953",1349,311,198,113,281,191,71,13,2,4,380,202,71,61,32,14,148,53,73,22,136,78,47,11,93,54,39
"E01000954",1194,253,141,112,246,118,99,21,4,4,425,178,104,74,51,18,108,33,64,11,65,21,40,4,97,40,57
"E01000955",1163,270,188,82,171,92,48,24,6,1,419,208,109,49,41,12,130,59,52,19,67,28,33,6,106,55,51
"E01000956",1187,309,221,88,325,221,70,29,4,1,372,186,74,67,30,15,93,33,51,9,51,17,21,13,37,11,26
"E01000957",1435,271,191,80,439,349,68,12,9,1,453,258,95,42,40,18,146,57,78,11,70,34,33,3,56,24,32
"E01000958",1707,433,346,87,595,381,179,20,14,1,476,277,64,83,39,13,95,24,54,17,65,19,38,8,43,15,28
"E01000959",1376,361,272,89,288,184,72,19,8,5,387,212,61,49,45,20,127,37,68,22,89,32,47,10,124,51,73
"E01000960",1474,171,121,50,516,423,71,18,3,1,466,247,103,62,41,13,127,41,74,12,100,33,57,10,94,39,55
"E01000961",1228,180,95,85,309,207,74,21,4,3,421,186,111,65,46,13,123,26,77,20,90,18,70,2,105,41,64
"E01000962",1376,114,93,21,587,505,71,6,3,2,476,288,118,40,26,4,107,33,60,14,46,19,25,2,46,18,28
"E01000963",1567,179,136,43,457,356,84,13,1,3,507,243,114,82,51,17,154,38,98,18,109,36,65,8,161,81,80
"E01000964",1309,117,68,49,400,329,59,7,2,3,479,263,93,63,46,14,145,40,88,17,79,33,40,6,89,37,52
"E01000965",1315,139,93,46,522,468,46,5,2,1,400,236,85,45,23,11,114,42,64,8,68,29,37,2,72,40,32
"E01000966",1292,103,71,32,462,407,47,5,1,2,456,241,115,49,42,9,130,32,79,19,82,28,51,3,59,27,32
"E01000967",1149,109,60,49,229,181,41,4,3,0,428,176,97,70,63,22,149,42,93,14,116,31,80,5,118,53,65
"E01000968",1335,103,81,22,597,531,63,2,1,0,364,245,78,15,25,1,127,49,71,7,83,52,30,1,61,36,25
"E01000969",1791,164,123,41,788,728,54,5,0,1,541,314,123,60,29,15,138,43,73,22,89,40,44,5,71,39,32
"E01000970",1362,112,95,17,681,645,26,8,2,0,380,305,41,21,7,6,88,45,36,7,70,29,38,3,31,10,21
"E01000971",1237,108,75,33,399,335,53,4,7,0,456,247,126,53,17,13,128,33,82,13,86,32,49,5,60,18,42
"E01000972",1676,257,148,109,522,429,60,18,10,5,545,303,85,86,52,19,165,75,67,23,122,58,56,8,65,30,35
"E01000973",1652,214,139,75,725,656,54,8,6,1,456,289,80,31,37,19,131,51,64,16,85,34,43,8,41,19,22
"E01000974",1486,240,132,108,506,437,61,8,0,0,469,321,63,42,30,13,119,52,41,26,75,38,32,5,77,34,43
