"GeographyCode","QS802EW0001","QS802EW0002","QS802EW0003","QS802EW0004","QS802EW0005","QS802EW0006","QS802EW0007","QS802EW0008","QS802EW0009","QS802EW0010","QS802EW0011","QS802EW0012","QS802EW0013","QS802EW0014","QS802EW0015","QS802EW0016","QS802EW0017","QS802EW0018"
"E00004155",250,104,22,5,2,10,3,3,8,16,22,47,8,0,0,0,0,0
"E00004156",223,113,10,2,3,3,0,3,2,17,31,34,3,2,0,0,0,0
"E00004157",226,113,12,7,2,5,1,3,5,19,20,37,2,0,0,0,0,0
"E00004158",284,165,15,2,6,10,5,6,4,19,22,20,9,1,0,0,0,0
"E00004159",394,215,28,7,8,12,3,4,11,40,26,32,4,3,0,1,0,0
"E00004160",214,123,6,1,2,4,2,6,6,23,16,20,2,1,2,0,0,0
"E00004161",201,117,0,2,0,3,3,6,8,22,22,14,4,0,0,0,0,0
"E00004162",248,106,13,0,2,7,2,10,12,19,29,32,10,4,2,0,0,0
"E00004163",393,207,14,10,3,15,1,6,12,23,40,51,9,1,1,0,0,0
"E00004164",383,203,22,5,4,16,1,8,12,40,23,38,8,0,3,0,0,0
"E00004165",345,177,19,9,4,6,4,10,7,41,39,22,6,1,0,0,0,0
"E00004166",416,234,29,5,5,13,1,12,7,35,32,37,5,1,0,0,0,0
"E00004167",284,193,15,5,1,8,1,3,2,11,14,25,4,1,0,0,1,0
"E00004168",194,114,5,2,2,4,0,3,5,15,21,16,4,1,2,0,0,0
"E00004169",317,172,8,3,2,5,6,15,4,45,23,32,2,0,0,0,0,0
"E00004172",229,114,4,5,3,8,2,9,6,23,24,29,2,0,0,0,0,0
"E00004173",609,276,9,4,7,12,9,30,83,76,45,47,10,1,0,0,0,0
"E00004174",274,109,14,7,4,9,3,26,23,31,21,21,6,0,0,0,0,0
"E00004175",289,156,6,3,4,11,3,10,19,28,24,18,7,0,0,0,0,0
"E00004177",296,146,8,3,4,6,2,15,43,30,20,15,3,0,0,1,0,0
"E00004179",327,192,13,2,2,8,2,8,7,36,21,20,12,2,2,0,0,0
"E00004180",283,107,47,3,2,7,0,10,17,33,29,24,3,0,1,0,0,0
"E00004181",355,227,7,4,1,5,5,2,12,19,31,32,6,1,3,0,0,0
"E00004182",180,96,5,1,3,3,1,4,19,14,12,17,4,1,0,0,0,0
"E00004183",197,136,8,2,0,3,1,5,2,14,12,10,4,0,0,0,0,0
"E00004184",210,116,4,2,1,4,0,8,20,28,8,13,6,0,0,0,0,0
"E00004185",413,151,62,9,9,9,4,16,20,34,49,40,8,0,2,0,0,0
"E00004187",488,225,12,3,3,15,6,32,30,44,52,53,10,2,1,0,0,0
"E00004188",182,73,8,3,2,2,5,14,13,25,15,14,5,1,1,1,0,0
"E00004189",317,92,16,11,3,12,11,31,35,62,19,16,5,2,2,0,0,0
"E00004190",471,274,9,7,4,7,2,14,17,53,41,27,12,2,2,0,0,0
"E00004193",657,311,9,5,6,16,3,31,63,86,55,60,10,2,0,0,0,0
"E00004194",252,112,13,3,3,10,1,11,10,28,22,32,7,0,0,0,0,0
"E00004195",311,148,9,4,1,10,1,8,21,44,33,31,1,0,0,0,0,0
"E00004196",211,128,8,3,1,2,0,5,10,21,17,13,3,0,0,0,0,0
"E00004197",257,133,7,1,4,8,2,10,19,23,26,16,7,1,0,0,0,0
"E00004198",350,124,7,4,3,10,4,16,41,67,38,31,4,1,0,0,0,0
"E00004199",286,128,8,1,2,4,2,7,19,44,37,28,5,0,0,1,0,0
"E00004200",248,100,7,2,4,8,0,4,13,30,40,32,7,0,1,0,0,0
"E00004201",272,183,14,2,2,2,1,3,6,11,23,17,7,1,0,0,0,0
"E00004202",171,103,0,1,0,2,1,5,5,15,9,16,12,0,2,0,0,0
"E00004203",319,183,9,4,4,5,0,3,5,32,37,35,1,1,0,0,0,0
"E00004204",277,160,7,5,4,6,1,1,6,18,38,26,2,1,2,0,0,0
"E00004205",373,251,7,5,3,9,3,2,7,31,27,21,6,1,0,0,0,0
"E00004206",310,231,5,1,2,7,1,4,7,15,21,13,3,0,0,0,0,0
"E00004207",365,195,24,7,6,14,2,5,12,31,34,27,5,2,1,0,0,0
"E00004208",303,187,9,6,1,15,3,3,8,22,24,22,3,0,0,0,0,0
"E00004209",271,161,9,0,1,3,1,6,5,29,39,14,2,1,0,0,0,0
"E00004210",323,194,12,2,6,12,3,4,13,23,19,30,5,0,0,0,0,0
"E00004211",306,161,26,3,4,4,0,6,11,45,28,14,4,0,0,0,0,0
"E00004212",330,233,22,3,5,3,0,3,6,26,18,11,0,0,0,0,0,0
"E00004213",456,283,18,6,4,13,3,8,13,29,37,31,8,2,1,0,0,0
"E00004214",521,288,29,6,4,16,6,7,13,50,59,31,11,0,1,0,0,0
"E00004215",269,155,10,4,4,6,1,0,8,21,27,26,5,1,1,0,0,0
"E00004216",299,201,15,7,1,2,1,2,2,6,25,34,2,0,1,0,0,0
"E00004217",244,146,8,2,1,2,2,1,13,16,27,24,2,0,0,0,0,0
"E00004218",305,200,6,3,1,5,1,2,8,28,22,25,3,1,0,0,0,0
"E00004219",366,221,22,6,2,1,4,3,11,46,22,24,4,0,0,0,0,0
"E00004220",170,129,5,0,0,5,0,1,1,9,10,7,2,0,0,1,0,0
"E00004221",232,126,7,2,1,4,2,2,7,20,21,34,4,1,1,0,0,0
"E00004222",215,129,6,2,3,6,0,3,11,15,20,19,1,0,0,0,0,0
"E00004223",321,187,14,6,5,8,3,5,9,30,28,22,3,0,0,1,0,0
"E00004224",280,168,8,2,0,3,2,3,8,23,31,27,3,1,1,0,0,0
"E00004225",463,209,11,11,1,11,3,17,16,74,56,45,6,1,1,0,0,1
"E00004226",256,168,10,4,2,4,2,4,2,17,11,25,6,1,0,0,0,0
"E00004227",271,171,9,5,0,4,0,4,5,21,24,20,5,2,1,0,0,0
"E00004228",204,133,7,4,2,1,0,0,3,9,21,19,3,2,0,0,0,0
"E00004229",318,177,7,4,2,9,1,1,4,31,36,41,3,0,2,0,0,0
"E00004230",283,200,8,6,3,2,0,5,8,12,15,20,2,2,0,0,0,0
"E00004231",328,208,11,6,4,6,0,2,1,20,23,42,5,0,0,0,0,0
"E00004232",202,121,2,0,0,2,0,5,4,13,25,24,3,2,1,0,0,0
"E00004233",231,168,7,3,1,1,0,0,3,12,19,13,2,0,0,2,0,0
"E00004234",242,154,7,6,1,2,2,2,1,13,18,29,5,2,0,0,0,0
"E00004235",326,194,15,5,0,9,1,2,7,35,30,23,4,0,0,1,0,0
"E00004236",329,184,12,2,6,7,2,8,22,40,26,15,4,0,0,0,1,0
"E00004237",267,153,9,3,0,7,1,3,18,24,25,19,3,0,2,0,0,0
"E00004238",290,194,12,4,2,2,2,5,6,17,21,20,3,2,0,0,0,0
"E00004239",215,157,7,1,0,3,1,8,3,14,6,12,2,0,1,0,0,0
"E00004240",329,188,19,11,0,14,3,10,9,32,17,21,4,1,0,0,0,0
"E00004241",295,193,12,5,4,4,0,2,5,9,25,27,7,0,2,0,0,0
"E00004242",176,84,8,2,0,4,1,1,1,13,21,29,11,1,0,0,0,0
"E00004243",290,189,12,5,3,7,0,0,4,19,15,25,9,0,2,0,0,0
"E00004244",292,156,7,11,4,12,1,6,6,28,16,39,5,1,0,0,0,0
"E00004245",317,230,11,2,3,6,0,2,6,19,17,15,2,1,3,0,0,0
"E00004246",792,434,17,15,11,13,5,26,73,123,44,29,2,0,0,0,0,0
"E00004247",314,205,7,3,3,7,1,7,13,21,26,16,3,0,2,0,0,0
"E00004248",446,276,15,5,2,11,1,8,10,41,43,26,6,2,0,0,0,0
"E00004249",226,159,5,2,0,0,3,3,5,19,17,12,1,0,0,0,0,0
"E00004250",271,195,9,1,2,1,0,4,6,15,25,12,1,0,0,0,0,0
"E00004251",231,178,4,1,1,4,2,2,9,10,15,5,0,0,0,0,0,0
"E00004252",252,177,9,1,2,6,0,2,9,22,14,9,1,0,0,0,0,0
"E00004253",296,191,14,5,2,4,1,4,8,19,33,11,3,0,1,0,0,0
"E00004254",315,191,14,4,6,14,3,5,8,19,28,18,3,2,0,0,0,0
"E00004255",282,184,12,4,0,8,4,4,7,16,20,20,2,0,0,1,0,0
"E00004256",361,174,11,4,7,8,2,7,16,51,36,33,7,4,0,1,0,0
"E00004257",264,163,11,0,1,1,1,5,8,28,16,23,3,1,3,0,0,0
"E00004258",236,157,8,4,1,2,0,6,2,33,9,10,4,0,0,0,0,0
"E00004259",328,170,13,15,5,11,1,5,9,36,30,21,8,1,3,0,0,0
"E00004260",220,135,4,3,2,7,2,7,3,24,17,13,3,0,0,0,0,0
"E00004261",275,166,10,3,1,7,2,7,11,22,18,19,8,1,0,0,0,0
"E00004262",281,185,9,3,3,6,3,4,11,17,13,19,7,1,0,0,0,0
"E00004263",385,233,25,7,2,8,2,7,10,30,17,34,8,2,0,0,0,0
"E00004264",348,218,9,6,1,5,1,11,8,34,27,27,1,0,0,0,0,0
"E00004265",234,182,7,0,2,3,1,0,3,15,8,10,3,0,0,0,0,0
"E00004266",345,245,15,6,0,4,3,4,5,26,17,15,3,0,0,2,0,0
"E00004268",319,195,22,9,6,13,0,4,8,16,24,16,6,0,0,0,0,0
"E00004269",231,166,8,5,0,6,0,3,4,17,13,9,0,0,0,0,0,0
"E00004270",448,261,11,3,5,7,4,14,16,53,39,32,3,0,0,0,0,0
"E00004271",328,191,17,5,4,5,0,9,11,26,30,23,7,0,0,0,0,0
"E00004272",273,188,10,6,3,4,2,3,5,13,21,14,4,0,0,0,0,0
"E00004273",364,250,3,2,3,7,0,5,5,31,40,14,3,1,0,0,0,0
"E00004274",291,212,8,2,2,3,0,1,7,17,16,21,1,1,0,0,0,0
"E00004275",199,128,8,2,1,4,1,3,4,16,12,16,4,0,0,0,0,0
"E00004276",274,189,11,1,3,3,0,4,2,28,13,13,2,1,1,3,0,0
"E00004277",259,188,5,2,2,4,0,1,3,18,18,18,0,0,0,0,0,0
"E00004278",218,146,6,2,1,6,0,4,5,14,11,21,2,0,0,0,0,0
"E00004279",290,179,14,8,3,9,0,7,14,13,13,26,2,1,1,0,0,0
"E00004280",211,128,2,2,3,9,3,0,10,22,18,10,4,0,0,0,0,0
"E00004281",251,183,8,4,4,5,0,2,2,15,15,11,0,1,0,1,0,0
"E00004282",302,187,7,3,5,9,4,3,8,23,27,22,4,0,0,0,0,0
"E00004283",267,170,9,3,2,2,2,5,7,25,26,13,3,0,0,0,0,0
"E00004284",247,166,8,1,2,6,1,4,7,18,16,15,2,1,0,0,0,0
"E00004285",270,126,12,4,2,7,0,3,6,36,42,29,3,0,0,0,0,0
"E00004286",294,145,8,4,2,7,5,4,8,29,41,27,12,2,0,0,0,0
"E00004287",273,126,11,11,2,20,1,4,5,23,33,26,5,0,6,0,0,0
"E00004288",318,164,10,6,4,9,2,8,5,31,39,34,2,4,0,0,0,0
"E00004289",232,120,12,0,0,8,4,2,10,23,32,20,1,0,0,0,0,0
"E00004290",306,118,10,0,2,7,4,9,9,61,48,32,3,3,0,0,0,0
"E00004291",340,193,10,2,2,6,4,15,17,33,26,20,9,2,1,0,0,0
"E00004292",332,183,11,7,8,10,2,12,9,25,34,25,6,0,0,0,0,0
"E00004293",276,136,18,4,4,8,3,5,11,36,27,16,5,2,1,0,0,0
"E00004294",215,112,4,1,1,3,2,4,12,23,33,18,1,0,1,0,0,0
"E00004295",389,222,7,5,2,10,3,5,7,31,42,35,17,1,1,1,0,0
"E00004296",383,226,13,7,2,9,4,6,12,34,30,27,10,1,2,0,0,0
"E00004297",319,185,5,4,4,5,1,7,11,34,26,32,5,0,0,0,0,0
"E00004298",311,197,8,2,2,3,2,1,5,28,34,27,2,0,0,0,0,0
"E00004299",302,214,8,3,2,2,0,7,7,12,29,10,5,3,0,0,0,0
"E00004300",273,162,9,2,1,3,2,6,8,30,30,16,4,0,0,0,0,0
"E00004301",503,148,15,11,8,9,6,20,21,69,111,69,14,1,0,1,0,0
"E00004302",303,172,8,1,1,0,1,7,8,29,40,25,10,1,0,0,0,0
"E00004303",299,204,5,1,1,3,3,5,10,26,15,21,4,1,0,0,0,0
"E00004304",397,239,23,3,2,7,2,3,20,37,30,27,3,1,0,0,0,0
"E00004305",355,159,24,7,5,15,1,4,10,22,39,45,17,4,3,0,0,0
"E00004306",315,182,13,1,2,1,2,3,8,32,36,31,2,1,0,1,0,0
"E00004307",368,245,8,2,2,6,1,5,16,25,30,20,8,0,0,0,0,0
"E00004308",278,194,7,3,2,5,2,3,4,15,18,17,6,0,2,0,0,0
"E00004309",286,161,14,5,3,7,0,1,4,31,35,20,3,0,2,0,0,0
"E00004310",306,195,10,4,2,7,0,5,4,24,29,24,1,1,0,0,0,0
"E00004311",282,190,3,2,4,4,0,3,3,21,33,16,1,1,1,0,0,0
"E00004312",321,214,9,3,4,3,1,4,3,36,20,16,6,2,0,0,0,0
"E00004313",279,140,7,8,2,5,0,4,8,26,38,34,6,1,0,0,0,0
"E00004314",318,170,5,2,5,7,3,6,16,28,52,20,3,0,0,1,0,0
"E00004315",304,164,7,4,0,4,1,2,6,41,34,32,9,0,0,0,0,0
"E00004316",244,121,7,2,2,3,5,6,10,32,20,28,8,0,0,0,0,0
"E00004317",390,285,8,2,1,5,1,2,6,29,35,15,1,0,0,0,0,0
"E00004318",282,175,7,7,0,4,2,4,7,21,20,30,4,1,0,0,0,0
"E00004319",261,133,7,1,1,0,0,4,8,34,34,35,4,0,0,0,0,0
"E00004320",268,143,14,3,3,11,1,1,0,25,21,34,11,1,0,0,0,0
"E00004321",357,165,14,6,4,9,0,12,22,39,34,39,11,0,2,0,0,0
"E00004322",296,169,22,6,3,8,0,5,7,9,24,32,9,1,0,1,0,0
"E00004323",591,359,13,14,5,8,6,19,35,64,34,28,5,1,0,0,0,0
"E00004324",299,163,27,6,2,4,2,3,7,12,20,43,8,1,1,0,0,0
"E00004325",235,136,9,3,3,4,0,0,3,8,22,36,11,0,0,0,0,0
"E00004326",265,102,46,5,2,5,3,1,10,12,16,52,10,1,0,0,0,0
"E00004327",320,170,19,2,2,3,1,1,7,20,32,51,9,3,0,0,0,0
"E00004328",260,123,13,2,1,8,3,1,10,21,41,23,10,2,1,0,0,1
"E00004329",342,146,29,5,4,19,2,6,8,31,25,52,12,2,1,0,0,0
"E00004330",294,139,17,8,2,2,1,9,4,25,44,33,10,0,0,0,0,0
"E00004331",281,122,23,5,2,6,3,4,5,25,38,47,1,0,0,0,0,0
"E00004332",189,87,10,2,1,8,3,3,3,19,24,24,3,1,0,1,0,0
"E00004333",247,159,8,1,1,3,2,2,4,14,17,28,8,0,0,0,0,0
"E00004334",212,96,9,6,1,7,1,6,2,15,25,36,8,0,0,0,0,0
"E00004335",295,140,19,3,6,6,0,2,9,27,37,42,3,1,0,0,0,0
"E00004336",347,127,31,2,3,3,3,10,17,40,46,61,2,2,0,0,0,0
"E00004337",260,134,20,3,2,5,1,5,5,21,30,29,4,1,0,0,0,0
"E00004338",271,121,21,5,3,4,2,1,7,28,31,43,4,1,0,0,0,0
"E00004339",234,85,11,2,1,1,0,3,6,24,44,48,6,3,0,0,0,0
"E00004340",221,79,12,2,7,9,1,2,8,22,42,31,3,0,2,0,1,0
"E00004341",235,99,10,7,1,4,3,3,5,21,32,31,19,0,0,0,0,0
"E00004342",197,102,13,2,1,6,2,1,1,19,23,26,0,1,0,0,0,0
"E00004343",221,110,10,1,1,5,0,4,5,11,38,30,4,1,1,0,0,0
"E00004344",249,84,9,1,1,10,1,7,11,39,35,36,10,2,1,2,0,0
"E00004345",309,173,14,4,4,8,0,6,5,24,23,37,11,0,0,0,0,0
"E00004346",299,202,3,5,3,10,4,4,8,9,14,22,13,1,1,0,0,0
"E00004347",247,140,8,6,2,5,1,1,4,14,22,32,11,0,0,1,0,0
"E00004348",279,137,15,13,1,4,2,6,8,37,21,25,7,1,0,2,0,0
"E00004349",344,223,12,6,5,7,2,3,2,21,24,33,5,1,0,0,0,0
"E00004350",268,144,12,7,4,4,0,3,5,11,19,42,13,2,2,0,0,0
"E00004351",294,176,13,7,3,6,2,4,8,11,25,30,7,0,2,0,0,0
"E00004352",303,179,14,4,6,10,0,0,1,18,24,41,4,1,0,1,0,0
"E00004353",251,138,6,6,2,11,2,4,3,10,21,41,6,0,1,0,0,0
"E00004354",250,116,14,6,1,8,1,2,3,19,31,39,7,3,0,0,0,0
"E00004355",261,159,13,4,0,4,0,4,7,14,29,22,1,1,3,0,0,0
"E00004356",315,173,21,8,0,5,1,1,5,19,26,48,8,0,0,0,0,0
"E00004357",350,191,21,4,5,2,0,5,8,18,18,69,7,1,0,1,0,0
"E00004358",272,141,15,2,2,9,1,3,6,21,25,35,11,1,0,0,0,0
"E00004359",314,173,12,4,3,8,0,2,3,20,24,48,15,2,0,0,0,0
"E00004360",275,125,23,3,1,2,2,4,9,13,28,50,11,1,2,1,0,0
"E00004361",369,220,9,2,0,8,1,7,25,46,12,22,12,0,5,0,0,0
"E00004362",336,232,11,2,4,9,2,4,8,29,16,16,3,0,0,0,0,0
"E00004363",416,248,14,4,8,11,7,14,13,41,20,29,4,2,1,0,0,0
"E00004364",550,331,19,9,13,10,8,8,15,50,38,36,11,2,0,0,0,0
"E00004365",251,141,9,1,1,5,2,5,2,16,30,36,3,0,0,0,0,0
"E00004366",281,156,12,2,3,5,4,8,11,18,21,31,7,1,2,0,0,0
"E00004367",347,210,14,4,1,12,4,7,16,20,29,25,4,0,0,0,1,0
"E00004368",362,199,26,7,0,4,0,6,11,26,30,45,8,0,0,0,0,0
"E00004369",267,192,9,1,1,5,2,1,2,20,17,14,2,0,1,0,0,0
"E00004370",243,170,4,3,4,11,0,5,7,16,11,10,1,0,1,0,0,0
"E00004371",227,148,6,3,3,5,1,5,6,15,13,18,1,2,1,0,0,0
"E00004372",305,208,10,3,1,7,0,6,13,21,14,20,1,1,0,0,0,0
"E00004373",336,202,14,6,1,6,3,11,4,18,26,31,8,2,4,0,0,0
"E00004374",229,146,8,5,0,6,3,7,2,14,16,17,5,0,0,0,0,0
"E00004375",253,151,5,8,1,5,0,1,4,11,27,35,4,1,0,0,0,0
"E00004376",401,298,12,2,2,9,0,10,7,14,16,27,4,0,0,0,0,0
"E00004377",222,148,7,4,1,10,1,3,2,17,12,14,1,0,1,1,0,0
"E00004378",309,217,8,8,1,1,1,4,3,11,25,26,3,0,1,0,0,0
"E00004379",267,177,10,4,1,5,1,3,10,12,20,21,1,2,0,0,0,0
"E00004380",347,201,11,5,4,21,2,8,6,30,21,26,8,1,3,0,0,0
"E00004381",286,205,13,2,2,0,1,0,2,15,19,26,0,0,1,0,0,0
"E00004382",291,220,4,8,0,10,1,3,1,9,17,14,2,0,1,1,0,0
"E00004383",206,130,10,1,0,1,3,8,6,15,20,9,2,1,0,0,0,0
"E00004384",220,150,5,2,1,3,2,2,3,10,19,18,4,0,1,0,0,0
"E00004385",226,155,11,0,2,4,0,2,3,16,17,15,1,0,0,0,0,0
"E00004386",258,179,12,4,2,5,0,2,3,12,14,22,2,0,1,0,0,0
"E00004387",203,127,3,0,0,1,1,1,4,22,22,21,0,1,0,0,0,0
"E00004388",235,150,9,3,1,6,0,1,6,14,18,25,2,0,0,0,0,0
"E00004389",275,202,9,4,1,0,1,2,3,20,17,12,4,0,0,0,0,0
"E00004390",275,179,8,1,3,4,0,2,7,21,30,16,3,1,0,0,0,0
"E00004391",310,205,11,4,2,4,0,3,7,23,19,27,4,0,1,0,0,0
"E00004392",239,181,7,4,0,4,0,4,6,13,5,11,1,0,2,1,0,0
"E00004393",280,178,13,4,0,6,3,7,6,16,26,14,3,2,2,0,0,0
"E00004394",199,125,9,2,0,3,0,2,4,18,15,19,2,0,0,0,0,0
"E00004395",271,170,5,3,2,4,1,1,4,26,29,24,2,0,0,0,0,0
"E00004396",279,173,6,3,6,12,2,2,6,20,17,26,4,1,1,0,0,0
"E00004397",298,200,10,4,3,7,1,8,9,16,14,18,8,0,0,0,0,0
"E00004398",232,158,5,3,0,4,5,1,6,15,19,13,3,0,0,0,0,0
"E00004399",392,255,15,10,7,8,2,9,6,25,22,26,6,0,1,0,0,0
"E00004400",340,217,5,4,2,8,2,4,2,22,30,25,11,5,3,0,0,0
"E00004401",289,209,5,2,5,3,0,1,5,10,16,26,6,0,0,0,1,0
"E00004402",251,167,11,1,0,1,0,2,0,16,18,29,3,1,1,1,0,0
"E00004403",282,195,13,3,2,3,0,3,6,7,18,23,9,0,0,0,0,0
"E00004404",266,160,11,3,0,4,1,2,4,11,28,38,2,0,1,1,0,0
"E00004405",304,188,13,7,4,5,1,2,1,16,22,39,5,0,1,0,0,0
"E00004406",238,158,8,1,1,4,0,0,3,8,18,25,9,2,0,0,1,0
"E00004407",341,214,13,3,3,10,1,3,7,20,22,32,10,0,3,0,0,0
"E00004408",259,173,10,2,4,2,0,1,2,14,13,31,6,0,1,0,0,0
"E00004409",250,171,9,3,3,1,2,4,4,12,22,18,0,1,0,0,0,0
"E00004410",260,186,10,0,1,3,0,2,2,13,21,20,1,0,1,0,0,0
"E00004411",252,153,15,5,0,2,1,2,6,18,16,31,2,0,1,0,0,0
"E00004412",267,176,7,5,1,8,0,2,2,20,20,21,5,0,0,0,0,0
"E00004413",243,143,15,5,3,4,0,1,2,15,13,38,4,0,0,0,0,0
"E00004414",284,165,22,5,2,7,3,2,4,18,19,33,4,0,0,0,0,0
"E00004415",303,184,19,6,0,0,2,4,5,13,21,44,5,0,0,0,0,0
"E00004416",258,183,10,3,2,2,0,0,2,14,14,20,5,1,1,1,0,0
"E00004417",283,162,17,6,3,5,0,5,4,16,19,38,8,0,0,0,0,0
"E00004418",260,166,5,4,2,2,0,0,3,20,29,27,1,0,1,0,0,0
"E00004419",244,111,11,3,0,2,2,3,7,22,45,37,0,1,0,0,0,0
"E00004420",266,178,12,2,1,1,1,3,2,18,25,17,2,3,1,0,0,0
"E00004421",298,148,27,7,3,6,1,1,9,16,17,56,7,0,0,0,0,0
"E00004422",183,117,7,0,0,1,0,1,2,10,14,25,3,1,2,0,0,0
"E00004423",245,151,15,2,1,4,1,2,2,17,24,24,1,0,1,0,0,0
"E00004424",228,121,11,1,4,0,1,5,1,30,19,32,2,1,0,0,0,0
"E00004425",352,223,23,2,1,7,1,4,5,22,21,37,6,0,0,0,0,0
"E00004426",299,167,6,6,2,3,0,4,2,41,24,39,5,0,0,0,0,0
"E00004427",296,188,18,7,1,1,1,0,6,7,22,40,4,1,0,0,0,0
"E00004428",220,112,15,3,3,4,0,4,3,15,18,35,6,2,0,0,0,0
"E00004429",253,140,8,5,4,5,1,2,6,18,16,38,8,2,0,0,0,0
"E00004430",170,108,5,4,2,2,1,2,4,10,7,17,2,2,4,0,0,0
"E00004431",265,148,17,5,0,2,1,1,5,16,15,41,11,1,2,0,0,0
"E00004432",272,162,8,7,1,6,1,2,5,19,25,31,5,0,0,0,0,0
"E00004433",300,151,14,8,1,2,2,2,15,19,37,41,4,2,2,0,0,0
"E00004435",249,156,6,3,6,3,4,4,6,19,17,17,5,1,2,0,0,0
"E00004436",333,190,10,7,1,8,1,8,6,30,32,31,5,1,2,1,0,0
"E00004437",260,104,14,4,3,13,1,3,5,24,28,50,9,1,1,0,0,0
"E00004438",229,105,9,1,1,5,3,11,7,32,26,25,3,0,1,0,0,0
"E00004439",245,137,10,2,0,1,2,2,4,14,20,34,19,0,0,0,0,0
"E00004440",255,147,16,4,2,2,0,2,3,16,13,40,9,1,0,0,0,0
"E00004441",265,183,6,3,1,7,2,0,4,20,23,14,2,0,0,0,0,0
"E00004442",247,155,8,3,2,7,1,5,5,21,18,19,2,0,1,0,0,0
"E00004444",432,259,13,3,12,10,2,9,19,40,26,33,4,0,2,0,0,0
"E00004445",236,164,3,2,4,0,1,7,6,15,19,12,3,0,0,0,0,0
"E00004446",304,204,5,1,0,8,3,2,4,24,29,17,6,1,0,0,0,0
"E00004447",106,59,3,3,1,3,0,2,2,8,9,12,2,1,1,0,0,0
"E00004448",334,226,13,2,2,2,2,8,9,26,25,15,2,0,1,0,1,0
"E00004450",381,267,9,7,1,7,3,4,11,30,20,22,0,0,0,0,0,0
"E00004451",263,151,12,2,2,6,1,2,10,17,25,24,7,1,1,2,0,0
"E00004452",316,197,12,8,2,5,1,8,3,20,26,26,6,1,1,0,0,0
"E00004453",409,284,23,7,2,4,0,7,11,23,23,23,2,0,0,0,0,0
"E00004454",473,315,17,11,4,8,3,8,7,30,32,30,4,3,1,0,0,0
"E00004455",351,217,16,6,5,11,2,4,3,30,24,31,1,1,0,0,0,0
"E00004456",322,233,9,4,1,10,3,6,4,15,15,18,3,0,1,0,0,0
