"GeographyCode","QS110EW0001","QS110EW0002","QS110EW0003","QS110EW0004","QS110EW0005","QS110EW0006","QS110EW0007","QS110EW0008","QS110EW0009","QS110EW0010","QS110EW0011","QS110EW0012","QS110EW0013","QS110EW0014","QS110EW0015","QS110EW0016","QS110EW0017","QS110EW0018","QS110EW0019","QS110EW0020","QS110EW0021","QS110EW0022","QS110EW0023","QS110EW0024","QS110EW0025","QS110EW0026","QS110EW0027"
"E00004144",184,9,8,1,49,34,15,0,0,0,69,30,28,10,1,0,28,15,12,1,16,3,13,0,13,3,10
"E00004145",178,15,8,7,49,38,9,2,0,0,64,34,13,7,3,7,24,6,15,3,13,9,4,0,13,8,5
"E00004146",222,21,14,7,73,68,5,0,0,0,87,65,11,6,4,1,22,11,9,2,13,8,5,0,6,4,2
"E00004147",203,8,6,2,77,74,2,1,0,0,65,47,11,6,1,0,19,8,8,3,24,14,10,0,10,6,4
"E00004148",151,8,5,3,36,33,1,1,1,0,53,34,4,10,3,2,25,13,8,4,15,8,6,1,14,11,3
"E00004149",271,22,15,7,88,69,15,2,2,0,93,49,19,14,5,6,35,8,24,3,17,5,12,0,16,10,6
"E00004150",270,19,14,5,150,124,25,1,0,0,72,47,14,5,4,2,14,7,6,1,9,6,2,1,6,6,0
"E00004151",237,10,10,0,104,98,6,0,0,0,83,60,13,8,2,0,20,12,7,1,10,8,2,0,10,4,6
"E00004152",195,14,4,10,39,32,7,0,0,0,81,35,27,16,1,2,23,8,10,5,20,8,11,1,18,11,7
"E00004153",180,13,5,8,60,52,7,1,0,0,68,44,17,5,2,0,21,9,10,2,13,4,9,0,5,2,3
"E00004154",212,9,8,1,89,75,13,1,0,0,85,36,44,5,0,0,11,4,5,2,7,4,2,1,11,4,7
"E00004155",198,16,9,7,42,28,14,0,0,0,95,42,30,12,5,6,21,8,12,1,11,0,11,0,13,3,10
"E00004156",184,5,5,0,49,35,14,0,0,0,81,51,21,5,4,0,16,8,7,1,22,16,6,0,11,6,5
"E00004157",185,18,11,7,74,57,16,1,0,0,47,16,19,8,4,0,27,4,17,6,11,5,6,0,8,4,4
"E00004158",223,42,19,23,64,36,19,2,6,1,72,37,10,12,7,6,21,10,5,6,14,5,6,3,10,6,4
"E00004159",278,43,10,33,61,28,18,14,1,0,117,49,18,24,21,5,14,6,7,1,22,6,14,2,21,7,14
"E00004160",167,21,9,12,21,10,7,4,0,0,49,25,2,7,8,7,15,5,8,2,35,20,14,1,26,15,11
"E00004161",174,17,14,3,64,62,2,0,0,0,42,22,10,4,6,0,22,8,12,2,12,6,6,0,17,6,11
"E00004162",213,19,18,1,89,76,13,0,0,0,68,39,22,6,1,0,22,10,9,3,11,3,5,3,4,2,2
"E00004163",297,36,16,20,96,80,12,4,0,0,104,41,35,18,9,1,32,9,19,4,13,5,7,1,16,8,8
"E00004164",286,44,16,28,44,25,18,1,0,0,125,66,23,24,9,3,26,4,21,1,23,5,16,2,24,14,10
"E00004165",261,40,16,24,51,30,14,3,4,0,94,48,18,19,8,1,29,10,17,2,32,11,20,1,15,7,8
"E00004166",284,44,11,33,58,28,22,6,2,0,115,47,29,23,10,6,26,12,10,4,20,12,8,0,21,8,13
"E00004167",208,22,12,10,22,12,8,2,0,0,87,27,27,21,9,3,35,7,25,3,22,6,15,1,20,4,16
"E00004168",168,4,2,2,49,41,7,1,0,0,65,44,19,2,0,0,15,10,4,1,10,4,6,0,25,17,8
"E00004169",276,55,45,10,56,52,4,0,0,0,92,62,10,2,2,16,30,6,23,1,21,5,13,3,22,14,8
"E00004172",217,30,29,1,40,37,3,0,0,0,99,88,7,4,0,0,29,18,10,1,12,7,5,0,7,2,5
"E00004173",185,27,23,4,38,36,2,0,0,0,41,31,0,3,4,3,20,10,8,2,30,17,13,0,29,18,11
"E00004174",244,112,104,8,32,19,9,3,1,0,59,39,4,10,4,2,12,8,3,1,16,13,3,0,13,9,4
"E00004175",245,52,47,5,43,38,4,1,0,0,83,67,8,5,1,2,41,8,31,2,11,8,2,1,15,11,4
"E00004177",102,23,22,1,30,29,1,0,0,0,19,14,3,0,0,2,13,11,2,0,7,4,3,0,10,5,5
"E00004179",283,35,23,12,38,25,9,2,1,1,70,44,7,9,8,2,44,26,16,2,53,24,25,4,43,34,9
"E00004180",211,64,61,3,56,54,2,0,0,0,57,25,26,4,0,2,11,3,7,1,15,7,6,2,8,4,4
"E00004181",312,23,16,7,41,28,10,2,1,0,78,52,14,5,7,0,39,17,22,0,65,35,29,1,66,46,20
"E00004182",132,33,30,3,27,20,5,2,0,0,36,24,4,5,2,1,20,3,6,11,9,8,1,0,7,5,2
"E00004183",165,16,6,10,31,25,4,2,0,0,71,44,6,6,9,6,23,13,8,2,11,5,6,0,13,10,3
"E00004184",185,41,32,9,31,26,4,1,0,0,56,37,8,5,4,2,23,12,7,4,16,7,8,1,18,9,9
"E00004185",317,115,105,10,66,58,7,0,0,1,95,53,26,10,3,3,19,5,12,2,9,6,1,2,13,7,6
"E00004187",438,134,125,9,110,102,5,0,0,3,117,89,15,6,4,3,42,9,20,13,22,7,11,4,13,5,8
"E00004188",177,66,66,0,44,44,0,0,0,0,34,28,4,2,0,0,14,13,1,0,8,4,4,0,11,3,8
"E00004189",264,159,157,2,48,43,3,0,0,2,37,30,6,0,0,1,12,5,6,1,7,3,4,0,1,1,0
"E00004190",469,64,64,0,95,94,1,0,0,0,131,129,2,0,0,0,83,64,18,1,58,46,12,0,38,25,13
"E00004193",234,38,37,1,111,105,3,3,0,0,46,36,5,5,0,0,13,5,5,3,14,5,9,0,12,7,5
"E00004194",234,47,43,4,63,55,2,6,0,0,80,67,4,7,2,0,21,12,9,0,16,10,6,0,7,4,3
"E00004195",289,74,67,7,109,105,3,1,0,0,68,48,11,2,4,3,15,4,10,1,13,11,2,0,10,5,5
"E00004196",198,31,24,7,50,50,0,0,0,0,51,34,6,8,1,2,16,4,9,3,25,12,12,1,25,14,11
"E00004197",229,52,50,2,73,70,2,0,1,0,44,36,2,3,2,1,22,3,17,2,27,11,15,1,11,6,5
"E00004198",334,126,123,3,81,79,2,0,0,0,89,74,0,8,7,0,17,8,9,0,11,6,4,1,10,6,4
"E00004199",262,37,35,2,90,72,17,1,0,0,92,74,14,2,0,2,21,9,11,1,12,10,1,1,10,4,6
"E00004200",236,34,28,6,78,74,3,0,1,0,85,75,2,3,4,1,18,8,9,1,12,7,4,1,9,6,3
"E00004201",229,10,4,6,39,31,7,1,0,0,107,68,17,17,3,2,25,9,15,1,33,13,20,0,15,5,10
"E00004202",170,3,3,0,2,2,0,0,0,0,6,5,0,1,0,0,56,53,3,0,67,60,7,0,36,34,2
"E00004203",299,45,44,1,114,105,9,0,0,0,92,80,4,4,4,0,16,4,12,0,15,4,11,0,17,5,12
"E00004204",247,11,8,3,64,55,9,0,0,0,92,63,18,8,3,0,23,9,14,0,28,8,19,1,29,9,20
"E00004205",297,45,34,11,85,77,7,1,0,0,110,53,26,17,12,2,26,5,16,5,16,1,14,1,15,6,9
"E00004206",252,44,24,20,48,38,4,2,4,0,86,44,11,15,14,2,30,11,13,6,30,8,19,3,14,10,4
"E00004207",266,69,40,29,64,38,22,3,0,1,91,35,14,25,13,4,13,4,5,4,12,4,4,4,17,6,11
"E00004208",241,72,47,25,58,42,12,2,2,0,64,29,14,6,15,0,12,2,7,3,20,9,10,1,15,7,8
"E00004209",247,50,33,17,91,82,2,2,1,4,58,35,6,11,1,5,29,9,16,4,10,3,7,0,9,3,6
"E00004210",230,37,19,18,46,24,14,7,0,1,91,41,17,19,13,1,26,10,13,3,15,6,9,0,15,6,9
"E00004211",274,73,56,17,95,91,2,0,2,0,78,51,0,17,9,1,11,2,9,0,8,3,4,1,9,0,9
"E00004212",264,40,24,16,84,72,10,2,0,0,83,38,16,24,2,3,37,7,28,2,16,5,11,0,4,2,2
"E00004213",341,79,22,57,81,50,14,12,3,2,131,58,14,33,15,11,26,4,13,9,19,5,13,1,5,1,4
"E00004214",422,78,45,33,131,107,16,5,1,2,164,88,24,21,21,10,31,7,18,6,15,7,3,5,3,2,1
"E00004215",228,13,9,4,76,68,7,0,1,0,83,52,12,13,5,1,30,13,15,2,21,12,8,1,5,0,5
"E00004216",246,9,2,7,52,42,8,1,1,0,114,63,15,20,13,3,27,11,8,8,36,9,25,2,8,4,4
"E00004217",221,8,4,4,78,70,8,0,0,0,71,55,10,5,1,0,46,13,30,3,11,7,4,0,7,4,3
"E00004218",252,29,15,14,61,47,7,6,1,0,89,55,6,16,6,6,25,4,17,4,28,11,15,2,20,10,10
"E00004219",320,50,33,17,111,97,12,0,0,2,105,71,9,14,9,2,26,13,8,5,14,8,5,1,14,11,3
"E00004220",140,11,5,6,17,13,2,2,0,0,60,39,7,9,3,2,12,6,4,2,15,10,4,1,25,12,13
"E00004221",191,12,9,3,59,46,13,0,0,0,67,34,20,8,2,3,27,10,11,6,20,10,9,1,6,4,2
"E00004222",178,15,9,6,36,28,6,0,0,2,82,46,21,9,1,5,23,9,12,2,16,6,7,3,6,5,1
"E00004223",260,50,30,20,75,53,14,6,1,1,92,57,9,14,9,3,30,9,15,6,10,5,2,3,3,1,2
"E00004224",241,14,7,7,75,68,6,0,1,0,100,63,14,13,9,1,26,10,12,4,17,8,6,3,9,3,6
"E00004225",366,92,86,6,167,161,5,0,1,0,80,63,10,2,5,0,18,5,11,2,7,2,4,1,2,0,2
"E00004226",208,11,7,4,45,39,5,1,0,0,73,28,15,17,11,2,33,12,16,5,30,13,17,0,16,8,8
"E00004227",235,20,16,4,58,45,11,1,0,1,87,57,9,8,11,2,29,10,17,2,26,10,15,1,15,5,10
"E00004228",173,12,8,4,30,27,2,1,0,0,78,51,14,8,2,3,26,8,17,1,16,8,8,0,11,3,8
"E00004229",287,22,18,4,110,101,8,0,1,0,100,77,19,3,0,1,29,12,16,1,19,7,12,0,7,1,6
"E00004230",248,53,35,18,57,52,4,0,0,1,91,61,9,11,8,2,23,10,11,2,20,7,11,2,4,0,4
"E00004231",259,14,8,6,67,58,9,0,0,0,113,50,39,11,9,4,32,7,17,8,27,7,18,2,6,4,2
"E00004232",178,5,3,2,28,26,2,0,0,0,51,34,14,1,2,0,24,15,8,1,50,33,16,1,20,14,6
"E00004233",207,16,9,7,40,37,3,0,0,0,71,50,3,11,6,1,36,10,20,6,27,13,13,1,17,10,7
"E00004234",211,13,12,1,79,76,3,0,0,0,66,31,7,17,9,2,19,5,14,0,23,10,12,1,11,5,6
"E00004235",276,52,34,18,102,86,10,4,0,2,85,61,7,9,3,5,11,6,2,3,19,9,8,2,7,3,4
"E00004236",302,72,63,9,96,90,3,0,2,1,96,81,2,7,3,3,15,2,10,3,14,2,9,3,9,2,7
"E00004237",226,45,37,8,80,66,11,2,1,0,65,41,5,7,10,2,16,5,8,3,11,2,7,2,9,4,5
"E00004238",247,20,11,9,76,64,12,0,0,0,80,42,16,11,8,3,26,8,12,6,24,4,20,0,21,12,9
"E00004239",182,18,7,11,35,28,5,1,1,0,58,33,13,2,8,2,36,15,19,2,19,9,9,1,16,9,7
"E00004240",288,105,85,20,51,40,8,1,2,0,80,55,7,8,9,1,27,5,15,7,16,3,12,1,9,2,7
"E00004241",248,17,8,9,51,48,3,0,0,0,87,41,19,16,7,4,47,7,29,11,29,5,23,1,17,8,9
"E00004242",150,15,7,8,34,31,2,1,0,0,79,50,7,14,5,3,17,13,2,2,2,1,1,0,3,2,1
"E00004243",225,25,16,9,43,34,6,2,1,0,93,34,21,21,13,4,26,4,15,7,18,4,13,1,20,3,17
"E00004244",207,31,9,22,45,16,21,7,0,1,73,32,22,11,7,1,38,10,12,16,15,6,6,3,5,2,3
"E00004245",276,37,16,21,66,58,3,3,2,0,92,59,10,9,7,7,34,18,15,1,18,7,11,0,29,13,16
"E00004246",219,41,32,9,56,44,6,4,2,0,76,49,12,8,5,2,20,8,9,3,16,7,7,2,10,5,5
"E00004247",273,27,17,10,80,73,5,1,1,0,86,56,11,12,2,5,34,15,16,3,27,13,14,0,19,10,9
"E00004248",371,73,48,25,104,85,15,4,0,0,131,71,17,18,18,7,30,15,13,2,25,8,16,1,8,5,3
"E00004249",202,25,19,6,65,62,3,0,0,0,66,47,13,3,3,0,22,9,11,2,16,3,12,1,8,2,6
"E00004250",237,39,32,7,68,65,1,1,1,0,73,41,12,7,13,0,34,15,17,2,16,9,6,1,7,2,5
"E00004251",194,37,28,9,35,25,7,2,1,0,69,36,5,17,10,1,23,3,13,7,23,1,22,0,7,3,4
"E00004252",209,23,10,13,45,40,5,0,0,0,91,49,21,6,13,2,25,12,9,4,12,2,10,0,13,5,8
"E00004253",248,56,38,18,73,66,5,0,2,0,70,36,12,6,11,5,17,5,12,0,16,7,9,0,16,6,10
"E00004254",235,45,16,29,63,28,31,3,0,1,83,35,22,12,6,8,19,5,12,2,14,7,5,2,11,3,8
"E00004255",232,49,34,15,70,62,7,0,0,1,81,45,11,9,11,5,14,4,7,3,9,5,3,1,9,6,3
"E00004256",292,50,37,13,93,71,14,4,3,1,73,37,13,16,5,2,26,4,17,5,19,11,5,3,31,17,14
"E00004257",219,17,13,4,79,65,11,1,2,0,81,47,22,8,4,0,16,5,10,1,14,2,8,4,12,2,10
"E00004258",227,51,46,5,98,97,1,0,0,0,54,41,6,4,0,3,16,7,6,3,6,4,2,0,2,2,0
"E00004259",210,51,32,19,39,21,18,0,0,0,63,23,20,14,5,1,24,7,11,6,17,5,10,2,16,5,11
"E00004260",183,22,14,8,43,28,15,0,0,0,79,57,13,2,7,0,25,15,7,3,9,8,1,0,5,4,1
"E00004261",224,52,41,11,51,38,9,3,1,0,67,42,14,7,2,2,35,14,18,3,13,8,4,1,6,3,3
"E00004262",192,23,9,14,40,21,17,2,0,0,81,33,19,13,12,4,34,17,14,3,6,4,2,0,8,6,2
"E00004263",248,40,13,27,67,26,29,6,6,0,102,41,35,14,12,0,24,3,19,2,10,4,4,2,5,1,4
"E00004264",327,81,79,2,125,113,9,3,0,0,80,63,7,7,1,2,22,6,16,0,12,9,3,0,7,3,4
"E00004265",202,34,15,19,64,43,10,2,3,6,61,38,5,7,3,8,18,7,5,6,13,10,2,1,12,5,7
"E00004266",276,46,18,28,79,63,11,3,1,1,94,56,18,13,3,4,30,9,19,2,16,13,3,0,11,8,3
"E00004268",256,42,14,28,79,60,10,5,3,1,88,49,13,8,16,2,27,13,8,6,15,8,3,4,5,3,2
"E00004269",203,25,12,13,64,57,5,2,0,0,63,44,2,11,5,1,19,7,8,4,20,16,3,1,12,5,7
"E00004270",371,116,97,19,112,92,18,1,1,0,96,57,26,7,2,4,25,3,14,8,15,6,6,3,7,6,1
"E00004271",281,61,50,11,90,77,10,2,1,0,81,48,14,9,8,2,27,4,20,3,14,5,9,0,8,5,3
"E00004272",237,35,17,18,38,31,4,1,0,2,85,39,14,12,16,4,30,4,21,5,33,9,24,0,16,1,15
"E00004273",328,54,41,13,107,96,8,2,0,1,77,43,15,6,6,7,34,4,24,6,31,12,18,1,25,4,21
"E00004274",250,30,15,15,77,72,4,0,0,1,86,53,14,9,9,1,38,9,22,7,8,3,4,1,11,5,6
"E00004275",178,24,22,2,56,54,0,1,1,0,45,30,11,2,2,0,23,6,14,3,24,10,13,1,6,3,3
"E00004276",234,25,16,9,74,57,14,1,1,1,70,35,8,14,7,6,32,9,21,2,14,9,5,0,19,6,13
"E00004277",223,28,16,12,65,57,4,1,3,0,78,48,15,7,2,6,22,9,12,1,18,7,10,1,12,8,4
"E00004278",186,30,27,3,60,51,7,1,0,1,61,34,14,7,4,2,22,8,14,0,10,5,5,0,3,3,0
"E00004279",241,53,33,20,65,54,11,0,0,0,87,53,9,13,12,0,13,5,6,2,10,2,7,1,13,5,8
"E00004280",190,14,12,2,48,41,7,0,0,0,67,44,9,4,10,0,26,11,12,3,21,0,20,1,14,4,10
"E00004281",220,40,22,18,65,55,8,2,0,0,70,37,14,6,9,4,17,1,13,3,18,5,13,0,10,1,9
"E00004282",252,33,16,17,83,71,9,3,0,0,97,59,19,7,5,7,17,7,5,5,13,7,5,1,9,7,2
"E00004283",233,23,14,9,63,55,8,0,0,0,82,55,9,13,5,0,42,12,27,3,16,5,9,2,7,3,4
"E00004284",217,44,29,15,75,67,8,0,0,0,56,36,3,10,4,3,15,8,6,1,19,11,6,2,8,2,6
"E00004285",246,19,15,4,105,101,3,1,0,0,81,62,15,4,0,0,17,4,11,2,13,8,5,0,11,2,9
"E00004286",270,48,31,17,101,94,4,1,2,0,60,40,5,7,6,2,28,9,14,5,16,12,4,0,17,11,6
"E00004287",221,32,17,15,96,88,8,0,0,0,51,27,9,11,2,2,16,3,11,2,15,3,10,2,11,4,7
"E00004288",275,43,33,10,92,84,6,0,2,0,93,66,8,18,1,0,26,10,14,2,16,7,8,1,5,1,4
"E00004289",217,31,28,3,89,84,5,0,0,0,69,54,8,3,2,2,13,6,5,2,9,5,3,1,6,2,4
"E00004290",273,47,39,8,103,90,10,2,1,0,78,55,4,14,3,2,25,14,9,2,12,6,4,2,8,5,3
"E00004291",278,42,16,26,54,39,10,0,3,2,87,49,11,13,9,5,48,10,31,7,28,6,19,3,19,10,9
"E00004292",224,47,19,28,45,18,16,10,1,0,87,28,17,19,16,7,21,12,8,1,11,5,6,0,13,9,4
"E00004293",223,34,24,10,69,55,9,2,3,0,72,43,12,5,9,3,20,7,9,4,14,5,8,1,14,8,6
"E00004294",194,27,23,4,85,80,3,0,1,1,47,28,13,3,2,1,11,9,2,0,14,10,3,1,10,9,1
"E00004295",338,45,27,18,102,92,9,1,0,0,96,53,17,10,7,9,44,8,28,8,22,5,15,2,29,10,19
"E00004296",284,36,22,14,71,49,17,4,1,0,110,39,30,35,6,0,34,8,20,6,19,6,7,6,14,6,8
"E00004297",265,42,36,6,97,84,9,3,1,0,88,63,12,6,1,6,15,4,11,0,17,4,13,0,6,0,6
"E00004298",251,30,19,11,65,58,7,0,0,0,97,33,21,29,14,0,30,2,26,2,13,2,11,0,16,5,11
"E00004299",242,15,9,6,64,46,18,0,0,0,91,39,27,10,10,5,29,8,18,3,23,7,16,0,20,12,8
"E00004300",231,43,27,16,62,50,8,1,2,1,74,32,7,20,9,6,28,10,16,2,17,8,7,2,7,3,4
"E00004301",435,49,32,17,203,174,21,5,3,0,119,86,12,16,4,1,48,21,24,3,8,2,6,0,8,7,1
"E00004302",253,25,13,12,103,78,21,3,1,0,78,54,6,10,6,2,21,4,15,2,15,5,8,2,11,4,7
"E00004303",255,20,9,11,64,53,11,0,0,0,70,22,18,18,7,5,58,5,44,9,31,5,26,0,12,5,7
"E00004304",344,52,27,25,126,115,9,1,1,0,93,41,31,12,6,3,41,18,14,9,20,6,14,0,12,4,8
"E00004305",284,52,40,12,57,44,11,1,1,0,109,42,30,20,15,2,19,6,5,8,35,6,26,3,12,4,8
"E00004306",275,26,14,12,74,65,9,0,0,0,96,50,29,8,2,7,32,11,17,4,19,5,14,0,28,12,16
"E00004307",295,23,14,9,68,58,7,2,0,1,103,40,40,13,9,1,46,7,34,5,33,8,25,0,22,11,11
"E00004308",230,25,21,4,73,65,6,1,1,0,68,31,16,11,9,1,36,13,22,1,15,3,12,0,13,6,7
"E00004309",231,20,10,10,83,65,18,0,0,0,93,48,29,8,4,4,23,9,10,4,7,2,4,1,5,0,5
"E00004310",249,27,18,9,73,54,19,0,0,0,80,33,29,8,7,3,32,11,13,8,16,5,11,0,21,6,15
"E00004311",213,18,8,10,39,37,0,0,0,2,109,30,34,33,4,8,21,5,12,4,12,2,9,1,14,5,9
"E00004312",270,27,10,17,98,79,16,1,2,0,72,34,25,5,8,0,37,12,14,11,21,10,10,1,15,3,12
"E00004313",244,11,6,5,91,74,15,1,0,1,77,45,12,12,7,1,21,4,15,2,30,7,22,1,14,4,10
"E00004314",271,39,24,15,124,111,12,0,1,0,82,43,17,9,9,4,12,6,4,2,5,2,3,0,9,5,4
"E00004315",280,32,27,5,111,100,8,2,1,0,82,61,14,2,4,1,20,4,14,2,23,6,17,0,12,6,6
"E00004316",227,27,22,5,75,70,5,0,0,0,91,74,4,8,2,3,21,6,15,0,12,5,5,2,1,0,1
"E00004317",337,42,27,15,149,137,10,2,0,0,98,46,21,18,8,5,25,5,18,2,12,4,7,1,11,4,7
"E00004318",254,41,32,9,85,74,11,0,0,0,74,47,11,6,10,0,25,14,8,3,21,8,13,0,8,4,4
"E00004319",245,16,14,2,120,107,9,2,2,0,75,65,7,1,2,0,19,6,12,1,6,3,3,0,9,7,2
"E00004320",218,15,7,8,34,27,6,1,0,0,93,40,18,22,8,5,36,7,25,4,26,4,22,0,14,5,9
"E00004321",239,25,16,9,60,52,8,0,0,0,87,41,26,9,11,0,27,4,20,3,22,7,15,0,18,9,9
"E00004322",233,22,16,6,34,26,8,0,0,0,81,28,29,18,5,1,38,7,27,4,35,6,28,1,23,7,16
"E00004323",189,28,13,15,64,47,12,0,5,0,60,27,11,12,8,2,21,2,8,11,7,2,5,0,9,1,8
"E00004324",225,18,8,10,40,28,11,1,0,0,94,29,41,11,6,7,28,9,15,4,25,8,16,1,20,6,14
"E00004325",184,14,9,5,25,20,5,0,0,0,85,35,27,20,0,3,22,9,11,2,19,8,11,0,19,11,8
"E00004326",192,17,16,1,37,31,6,0,0,0,99,41,20,19,19,0,7,3,4,0,13,7,6,0,19,5,14
"E00004327",246,14,5,9,48,34,12,2,0,0,110,51,41,9,8,1,29,8,15,6,23,9,13,1,22,6,16
"E00004328",201,14,7,7,65,58,6,1,0,0,66,31,16,15,3,1,18,5,12,1,16,3,13,0,22,11,11
"E00004329",225,19,11,8,83,72,9,2,0,0,86,33,24,12,15,2,13,5,6,2,18,9,7,2,6,1,5
"E00004330",244,17,17,0,78,71,4,2,1,0,116,76,27,11,2,0,21,7,14,0,6,2,4,0,6,5,1
"E00004331",229,25,11,14,73,60,10,0,0,3,81,46,15,11,5,4,20,5,10,5,15,4,8,3,15,6,9
"E00004332",151,7,4,3,58,45,11,2,0,0,46,11,18,10,4,3,13,4,7,2,10,5,4,1,17,12,5
"E00004333",220,4,3,1,65,55,8,2,0,0,84,63,8,8,5,0,34,15,17,2,20,8,12,0,13,8,5
"E00004334",171,6,2,4,28,27,1,0,0,0,86,46,25,10,3,2,22,5,15,2,17,8,9,0,12,4,8
"E00004335",251,26,19,7,69,57,11,1,0,0,103,70,18,10,5,0,22,10,10,2,18,5,12,1,13,2,11
"E00004336",300,37,35,2,149,138,11,0,0,0,83,49,17,6,11,0,16,8,6,2,11,3,6,2,4,3,1
"E00004337",214,23,21,2,56,44,11,0,1,0,76,34,24,15,3,0,23,4,16,3,21,8,13,0,15,5,10
"E00004338",204,13,9,4,61,54,7,0,0,0,84,27,25,26,5,1,10,2,5,3,24,8,15,1,12,6,6
"E00004339",203,13,11,2,79,70,6,2,0,1,62,39,13,7,2,1,16,4,9,3,20,8,12,0,13,4,9
"E00004340",203,56,45,11,82,78,2,2,0,0,41,25,8,7,0,1,6,2,4,0,12,2,8,2,6,2,4
"E00004341",205,8,8,0,76,72,4,0,0,0,84,54,23,4,3,0,16,7,7,2,12,9,3,0,9,5,4
"E00004342",170,17,12,5,54,47,7,0,0,0,69,40,14,5,8,2,12,3,7,2,8,3,5,0,10,4,6
"E00004343",192,11,8,3,63,57,6,0,0,0,75,42,20,2,10,1,21,9,10,2,11,6,5,0,11,5,6
"E00004344",217,29,27,2,77,66,11,0,0,0,64,39,15,9,1,0,15,7,7,1,12,4,7,1,20,9,11
"E00004345",245,15,7,8,40,26,11,3,0,0,88,31,27,18,7,5,36,3,29,4,41,4,35,2,25,7,18
"E00004346",191,24,15,9,40,26,13,1,0,0,62,20,15,16,7,4,21,2,12,7,29,14,15,0,15,2,13
"E00004347",192,27,13,14,26,19,7,0,0,0,89,33,24,22,7,3,30,3,22,5,10,6,3,1,10,7,3
"E00004348",216,28,17,11,58,48,8,1,1,0,88,43,14,19,11,1,17,7,8,2,14,4,10,0,11,5,6
"E00004349",253,29,9,20,36,19,11,2,2,2,112,18,35,26,21,12,38,7,26,5,24,4,19,1,14,8,6
"E00004350",217,14,12,2,37,26,10,1,0,0,63,26,18,14,5,0,36,5,29,2,32,9,22,1,35,12,23
"E00004351",229,21,10,11,31,19,9,1,2,0,82,46,14,7,10,5,26,7,17,2,40,4,35,1,29,12,17
"E00004352",231,17,6,11,33,22,10,1,0,0,106,36,31,20,14,5,32,13,16,3,25,8,17,0,18,6,12
