"GeographyCode","QS606EW0001","QS606EW0002","QS606EW0003","QS606EW0004","QS606EW0005","QS606EW0006","QS606EW0007","QS606EW0008","QS606EW0009","QS606EW0010","QS606EW0011","QS606EW0012","QS606EW0013","QS606EW0014","QS606EW0015","QS606EW0016","QS606EW0017","QS606EW0018","QS606EW0019","QS606EW0020","QS606EW0021","QS606EW0022","QS606EW0023","QS606EW0024","QS606EW0025","QS606EW0026","QS606EW0027","QS606EW0028","QS606EW0029","QS606EW0030","QS606EW0031","QS606EW0032","QS606EW0033","QS606EW0034","QS606EW0035","QS606EW0036","QS606EW0037","QS606EW0038","QS606EW0039","QS606EW0040","QS606EW0041","QS606EW0042","QS606EW0043","QS606EW0044","QS606EW0045","QS606EW0046","QS606EW0047","QS606EW0048","QS606EW0049","QS606EW0050","QS606EW0051","QS606EW0052","QS606EW0053","QS606EW0054","QS606EW0055","QS606EW0056","QS606EW0057","QS606EW0058","QS606EW0059","QS606EW0060","QS606EW0061","QS606EW0062","QS606EW0063","QS606EW0064","QS606EW0065","QS606EW0066","QS606EW0067","QS606EW0068","QS606EW0069","QS606EW0070","QS606EW0071","QS606EW0072","QS606EW0073","QS606EW0074","QS606EW0075","QS606EW0076","QS606EW0077","QS606EW0078","QS606EW0079","QS606EW0080","QS606EW0081","QS606EW0082","QS606EW0083","QS606EW0084","QS606EW0085","QS606EW0086","QS606EW0087","QS606EW0088","QS606EW0089","QS606EW0090","QS606EW0091","QS606EW0092","QS606EW0093","QS606EW0094","QS606EW0095","QS606EW0096","QS606EW0097","QS606EW0098","QS606EW0099","QS606EW0100","QS606EW0101","QS606EW0102","QS606EW0103","QS606EW0104","QS606EW0105","QS606EW0106","QS606EW0107","QS606EW0108","QS606EW0109","QS606EW0110","QS606EW0111","QS606EW0112","QS606EW0113","QS606EW0114","QS606EW0115","QS606EW0116","QS606EW0117","QS606EW0118","QS606EW0119","QS606EW0120","QS606EW0121","QS606EW0122","QS606EW0123","QS606EW0124","QS606EW0125"
"E02000176",3928,789,593,53,34,317,113,6,6,12,52,196,0,42,7,147,1433,212,29,35,141,3,4,229,169,35,25,200,200,792,250,317,79,9,10,5,122,974,31,10,5,16,35,19,16,8,8,318,243,57,18,582,0,12,334,190,0,46,263,193,31,64,24,53,21,70,70,102,9,9,19,0,0,4,14,1,20,14,6,0,54,4,2,45,3,140,68,46,3,19,72,20,19,27,6,101,84,60,20,4,17,14,3,27,8,0,4,3,1,19,15,1,3,99,3,0,0,3,96,3,19,13,8,2,51
"E02000177",4089,499,322,16,38,148,33,12,2,13,60,177,1,63,7,106,1095,198,34,33,117,5,9,153,79,24,50,184,184,560,109,207,61,22,11,8,142,825,40,13,15,12,48,16,32,16,16,300,210,62,28,421,2,11,173,178,0,57,384,269,50,64,42,83,30,115,115,237,24,24,48,3,9,9,26,1,67,56,8,3,98,6,8,68,16,292,196,122,4,70,96,29,37,26,4,291,235,196,26,13,56,47,9,121,26,1,5,6,14,95,91,1,3,345,16,0,11,5,329,35,75,46,13,13,147
"E02000178",4881,538,324,21,33,166,31,11,1,14,47,214,0,90,5,119,1553,302,38,60,181,4,19,167,95,28,44,252,252,832,190,375,78,26,10,18,135,1025,62,19,10,33,55,16,39,14,14,281,208,49,24,613,4,14,230,277,1,87,421,303,47,87,58,93,18,118,118,250,11,11,41,3,5,12,20,1,82,59,19,4,116,7,4,92,13,270,181,99,13,69,89,23,31,25,10,293,241,201,23,17,52,47,5,121,35,4,7,6,18,86,74,8,4,410,17,1,13,3,393,30,94,75,7,14,173
"E02000179",3050,515,355,26,28,164,79,6,3,6,43,160,0,39,4,117,968,135,21,29,77,3,5,172,115,30,27,136,136,525,139,202,57,9,5,9,104,737,20,9,3,8,39,16,23,19,19,278,215,50,13,381,1,13,180,144,0,43,232,177,26,65,17,55,14,55,55,89,7,7,17,1,5,1,9,1,34,19,13,2,31,0,2,27,2,157,85,51,2,32,72,15,24,27,6,140,109,92,11,6,31,28,3,69,19,1,5,2,11,50,48,2,0,143,5,0,5,0,138,9,42,23,2,3,59
"E02000180",3989,444,261,33,31,111,16,13,6,10,41,183,0,58,7,118,1144,220,32,35,144,5,4,163,99,29,35,214,214,547,98,165,101,33,11,5,134,944,63,10,20,33,53,10,43,11,11,436,331,77,28,381,2,15,134,172,0,58,341,248,53,66,43,67,19,93,93,200,14,14,38,0,5,10,22,1,51,35,13,3,97,10,9,66,12,246,173,109,3,61,73,26,24,15,8,274,212,178,16,18,62,52,10,101,34,1,9,10,14,67,61,3,3,295,21,3,8,10,274,13,40,31,4,10,176
"E02000181",4816,794,603,44,47,296,130,13,8,10,55,191,1,41,4,145,1890,332,43,43,227,7,12,269,189,51,29,271,271,1018,279,466,75,15,13,18,152,1123,53,15,9,29,44,18,26,11,11,283,206,63,14,732,2,20,341,291,0,78,361,249,49,78,29,74,19,112,112,109,6,6,23,0,7,5,8,3,29,21,8,0,51,2,7,34,8,159,98,60,3,35,61,21,19,20,1,182,144,115,21,8,38,30,8,53,25,6,5,3,11,28,21,1,6,145,10,2,6,2,135,21,19,19,3,9,64
"E02000182",3085,651,479,72,43,166,113,9,1,7,68,172,0,42,10,120,938,153,17,22,109,0,5,150,108,18,24,134,134,501,129,208,49,14,3,6,92,658,21,8,6,7,28,13,15,10,10,183,117,46,20,416,1,18,210,154,0,33,250,168,22,63,21,42,20,82,82,111,1,1,17,1,4,2,10,0,36,29,5,2,57,2,2,50,3,148,72,48,1,23,76,20,13,40,3,108,84,67,12,5,24,23,1,59,19,2,9,1,7,40,37,1,2,162,3,0,0,3,159,20,41,13,4,13,68
"E02000183",4242,815,548,63,39,262,94,16,1,12,61,267,0,86,2,179,1420,200,31,30,123,8,8,260,129,46,85,219,219,741,211,238,102,12,13,5,160,1008,30,13,12,5,41,19,22,14,14,501,409,68,24,422,3,10,215,145,0,49,272,197,26,63,25,62,21,75,75,143,3,3,29,0,7,4,16,2,57,47,10,0,54,4,4,38,8,201,133,97,3,33,68,20,18,28,2,149,114,93,15,6,35,29,6,73,27,4,8,6,9,46,43,1,2,161,8,0,6,2,153,11,33,25,4,9,71
"E02000184",3970,387,236,8,42,93,14,12,1,8,58,151,1,41,5,104,1032,205,21,40,136,1,7,191,111,28,52,197,197,439,68,162,56,34,9,7,103,751,67,26,12,29,73,17,56,15,15,292,210,58,24,304,0,14,94,136,0,60,418,289,42,90,40,100,17,129,129,236,18,18,42,0,7,11,24,0,52,34,17,1,124,12,3,99,10,265,175,102,7,66,90,18,30,33,9,294,246,200,26,20,48,44,4,156,28,4,7,4,13,128,115,2,11,431,15,1,10,4,416,41,58,51,13,13,240
"E02000185",3749,414,269,18,28,106,39,8,2,4,64,145,0,58,4,83,935,155,31,23,94,1,6,156,87,26,43,167,167,457,91,184,41,24,5,12,100,728,54,24,11,19,44,12,32,13,13,217,143,48,26,400,3,8,134,191,0,64,352,245,49,72,31,66,27,107,107,234,6,6,56,4,13,15,23,1,79,56,22,1,93,9,3,75,6,305,179,104,0,75,126,26,38,49,13,290,247,207,20,20,43,36,7,124,28,3,5,7,13,96,89,5,2,367,17,1,8,8,350,36,93,47,8,19,147
"E02000186",3582,539,333,46,27,139,32,19,10,11,49,206,0,74,3,129,1081,294,115,38,127,2,12,153,81,14,58,141,141,493,118,179,62,19,8,4,103,830,38,16,7,15,49,24,25,38,38,339,272,54,13,366,0,11,148,164,0,43,274,194,35,61,31,52,15,80,80,170,3,3,24,3,2,6,13,0,49,36,10,3,94,9,4,75,6,190,102,60,3,39,88,21,36,30,1,195,166,137,18,11,29,25,4,76,25,4,7,6,8,51,48,0,3,227,5,0,2,3,222,22,40,22,5,10,123
"E02000187",2884,216,133,11,11,51,9,10,0,4,37,83,0,37,5,41,511,99,26,12,59,0,2,108,54,7,47,116,116,188,22,75,16,21,7,1,46,389,35,18,5,12,40,5,35,11,11,140,108,17,15,163,0,5,65,63,0,30,340,231,36,66,49,63,17,109,109,209,8,8,38,2,8,8,20,0,53,33,15,5,110,6,2,97,5,294,207,111,2,94,87,22,12,35,18,311,250,215,14,21,61,53,8,169,29,5,6,2,16,140,131,2,7,445,16,1,12,3,429,45,89,56,12,24,203
"E02000188",2962,252,145,1,20,42,22,4,18,10,28,107,0,43,7,57,623,116,20,18,72,1,5,151,57,3,91,144,144,212,37,92,15,14,10,3,41,435,38,5,11,22,51,18,33,30,30,128,99,16,13,188,1,7,73,71,1,35,326,234,40,71,49,58,16,92,92,195,5,5,38,0,5,10,22,1,43,23,17,3,109,2,6,98,3,262,173,99,1,73,89,27,18,30,14,313,249,211,24,14,64,61,3,187,31,8,8,4,11,156,122,4,30,369,6,1,4,1,363,36,89,51,5,14,168
"E02000189",2198,196,119,11,12,55,10,4,2,2,23,77,0,31,2,44,568,107,24,15,63,3,2,71,43,5,23,110,110,280,58,106,30,21,4,1,60,388,28,11,9,8,57,26,31,6,6,121,87,24,10,176,1,8,74,68,1,24,301,223,37,69,65,37,15,78,78,126,8,8,19,0,4,2,11,2,24,17,7,0,75,2,3,65,5,126,84,46,1,37,42,13,6,11,12,205,156,133,11,12,49,42,7,57,14,2,3,3,6,43,41,1,1,231,10,0,9,1,221,19,35,28,2,4,133
"E02000190",2804,283,160,20,12,66,12,8,5,13,24,123,0,57,2,64,887,132,47,16,66,1,2,126,81,16,29,241,241,388,89,157,47,13,13,8,61,486,29,9,12,8,31,9,22,12,12,195,145,31,19,219,1,8,83,91,0,36,288,208,43,61,29,58,17,80,80,157,5,5,19,0,4,3,11,1,40,25,13,2,93,3,7,75,8,183,101,58,2,41,82,29,15,30,8,197,169,158,6,5,28,23,5,73,17,3,1,8,5,56,51,0,5,250,6,0,4,2,244,28,41,31,5,9,130
"E02000191",3089,355,230,21,17,128,21,6,5,10,22,125,0,60,2,63,1105,200,56,24,106,12,2,258,126,17,115,206,206,441,104,168,77,18,6,8,60,661,34,11,8,15,39,19,20,14,14,246,195,41,10,328,0,8,132,154,0,34,256,159,34,42,31,42,10,97,97,91,3,3,9,0,0,1,8,0,16,12,3,1,63,2,6,49,6,151,90,42,1,47,61,23,12,21,5,200,171,142,20,9,29,25,4,32,8,4,1,0,3,24,21,3,0,238,6,0,6,0,232,10,24,25,5,14,154
"E02000192",3467,450,284,28,27,122,47,11,0,10,39,166,0,53,3,110,1008,134,23,22,82,4,3,112,70,10,32,161,161,601,206,194,58,30,9,9,95,759,55,30,12,13,28,5,23,8,8,330,254,60,16,338,2,18,159,115,0,44,302,217,37,73,39,54,14,85,85,182,8,8,26,0,2,3,19,2,44,32,11,1,104,4,4,86,10,224,109,68,1,40,115,23,34,29,29,222,182,152,18,12,40,35,5,102,20,4,5,3,8,82,77,0,5,218,3,2,1,0,215,26,46,31,2,7,103
"E02000193",4108,574,319,42,25,168,27,3,3,7,44,255,0,94,4,157,1358,259,68,41,141,6,3,253,107,20,126,192,192,654,238,224,46,15,17,6,108,900,60,22,15,23,41,22,19,7,7,365,299,53,13,427,1,11,241,130,0,44,336,217,35,64,45,48,25,119,119,153,4,4,22,0,4,3,15,0,14,7,6,1,113,3,10,91,9,201,117,83,4,30,84,29,26,22,7,223,192,167,16,9,31,29,2,43,10,3,2,5,0,33,33,0,0,320,6,0,4,2,314,33,34,32,37,5,173
