"GeographyCode","QS103EW0001","QS103EW0002","QS103EW0003","QS103EW0004","QS103EW0005","QS103EW0006","QS103EW0007","QS103EW0008","QS103EW0009","QS103EW0010","QS103EW0011","QS103EW0012","QS103EW0013","QS103EW0014","QS103EW0015","QS103EW0016","QS103EW0017","QS103EW0018","QS103EW0019","QS103EW0020","QS103EW0021","QS103EW0022","QS103EW0023","QS103EW0024","QS103EW0025","QS103EW0026","QS103EW0027","QS103EW0028","QS103EW0029","QS103EW0030","QS103EW0031","QS103EW0032","QS103EW0033","QS103EW0034","QS103EW0035","QS103EW0036","QS103EW0037","QS103EW0038","QS103EW0039","QS103EW0040","QS103EW0041","QS103EW0042","QS103EW0043","QS103EW0044","QS103EW0045","QS103EW0046","QS103EW0047","QS103EW0048","QS103EW0049","QS103EW0050","QS103EW0051","QS103EW0052","QS103EW0053","QS103EW0054","QS103EW0055","QS103EW0056","QS103EW0057","QS103EW0058","QS103EW0059","QS103EW0060","QS103EW0061","QS103EW0062","QS103EW0063","QS103EW0064","QS103EW0065","QS103EW0066","QS103EW0067","QS103EW0068","QS103EW0069","QS103EW0070","QS103EW0071","QS103EW0072","QS103EW0073","QS103EW0074","QS103EW0075","QS103EW0076","QS103EW0077","QS103EW0078","QS103EW0079","QS103EW0080","QS103EW0081","QS103EW0082","QS103EW0083","QS103EW0084","QS103EW0085","QS103EW0086","QS103EW0087","QS103EW0088","QS103EW0089","QS103EW0090","QS103EW0091","QS103EW0092","QS103EW0093","QS103EW0094","QS103EW0095","QS103EW0096","QS103EW0097","QS103EW0098","QS103EW0099","QS103EW0100","QS103EW0101","QS103EW0102"
"E00004135",143,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,3,1,3,7,4,7,3,5,9,5,4,8,8,13,3,1,2,3,3,0,4,6,1,0,0,1,1,2,0,1,0,0,0,0,1,0,0,1,4,0,2,4,1,4,0,2,0,1,0,0,1,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004136",228,5,6,5,3,2,2,2,2,0,3,2,1,2,0,2,1,2,3,1,1,1,5,0,2,3,2,4,5,9,4,4,7,8,8,5,10,7,8,3,2,3,10,2,6,6,5,4,0,1,2,2,4,2,2,2,1,0,1,2,1,1,3,0,0,3,2,1,0,0,5,3,1,1,2,1,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004137",272,4,1,7,4,1,0,1,2,1,2,1,2,2,2,0,6,0,0,0,0,0,0,0,2,3,3,3,2,3,5,7,9,10,7,4,10,9,11,10,6,2,3,7,5,2,5,5,2,2,13,3,2,3,5,3,2,4,4,0,4,1,4,3,7,2,3,4,2,5,2,1,2,0,0,2,1,1,1,2,0,1,4,2,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
"E00004138",225,4,5,5,1,3,3,2,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,6,5,4,5,9,6,3,9,8,9,8,8,5,2,8,2,1,3,1,2,2,0,2,1,1,1,1,2,2,6,1,3,3,2,3,3,3,3,4,6,5,2,0,3,2,1,5,3,2,0,2,1,2,1,0,1,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004139",333,21,27,15,20,6,10,9,3,1,3,1,5,1,1,0,1,1,4,4,8,7,9,10,13,13,5,12,7,7,7,6,9,7,10,8,6,3,10,6,3,5,4,1,1,3,1,3,1,4,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004140",206,4,2,3,2,1,1,2,2,1,0,1,1,2,1,1,0,1,0,0,0,0,0,2,3,1,1,1,3,3,10,4,9,7,8,9,7,10,3,1,1,5,5,3,5,2,3,1,3,1,3,1,3,2,1,1,5,1,3,1,2,1,1,3,2,4,0,1,1,3,3,0,2,1,1,1,0,0,1,4,0,1,6,1,1,0,1,1,2,2,0,1,0,0,0,0,0,0,2,0,0,0
"E00004141",188,2,1,2,3,2,0,2,0,0,2,0,0,0,1,1,1,2,0,2,0,0,1,0,2,5,4,4,2,2,0,7,5,4,3,6,1,4,3,9,3,2,6,4,2,4,4,3,2,1,6,1,4,3,1,3,4,2,1,0,4,1,1,4,0,3,4,2,6,1,0,2,2,3,7,0,0,0,2,1,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004142",237,3,3,1,8,5,3,0,0,1,1,0,0,1,0,0,1,1,2,1,0,0,2,2,2,4,3,5,10,3,3,5,7,5,5,16,14,10,9,4,3,5,6,1,1,1,7,3,2,6,5,2,3,3,4,1,3,0,3,1,0,2,0,4,1,3,3,2,0,5,1,2,1,1,1,1,0,1,0,1,0,2,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
"E00004143",242,10,2,5,1,5,2,4,1,4,0,3,0,2,1,2,0,0,0,2,0,1,1,0,4,1,3,2,7,11,4,7,11,12,6,6,4,6,4,8,3,4,7,0,5,8,5,5,4,2,2,2,2,4,3,2,3,2,0,1,2,2,4,4,2,3,2,0,1,1,0,1,2,0,2,0,1,0,0,0,1,1,0,0,3,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
"E00004144",230,11,9,2,5,4,3,0,0,3,3,2,1,0,0,2,1,0,0,1,0,2,1,2,1,2,3,5,2,4,4,4,8,7,7,5,11,5,4,3,2,7,9,5,2,7,0,1,1,4,2,0,1,1,2,2,0,1,0,1,3,3,3,6,6,5,4,3,4,0,0,0,1,1,2,1,0,2,2,1,2,1,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
"E00004145",256,5,3,2,2,0,1,4,1,2,2,5,0,2,0,1,0,3,1,1,3,1,0,4,4,4,10,7,6,5,6,6,9,5,3,10,4,10,3,5,4,8,9,4,6,1,2,2,4,5,4,3,2,2,5,1,3,5,2,2,1,1,5,1,2,2,0,0,2,4,2,1,1,2,5,0,1,2,1,0,2,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"E00004146",249,3,3,3,1,4,1,3,2,0,0,1,1,0,2,1,2,2,1,1,2,2,1,3,5,4,5,6,7,7,7,9,8,4,12,8,10,9,4,8,9,3,10,4,5,1,0,7,0,4,5,3,1,1,1,2,2,2,1,6,1,2,3,1,3,1,2,1,1,1,0,0,0,3,1,4,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"E00004147",225,1,3,0,5,0,4,0,2,2,0,3,0,0,1,0,1,0,0,0,1,0,0,3,3,1,5,6,14,6,6,15,6,9,7,3,7,2,6,3,4,5,2,5,4,2,2,3,3,2,2,5,2,3,3,0,2,2,2,2,0,1,4,4,1,1,1,2,2,5,0,2,4,3,3,2,0,1,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"E00004148",175,0,2,0,1,1,2,0,2,1,3,2,1,3,2,1,3,0,0,1,0,1,0,3,3,0,4,3,2,7,4,4,3,5,2,2,3,4,1,1,0,3,5,3,6,6,6,3,0,0,3,2,1,0,3,3,0,1,4,4,0,0,6,4,2,4,2,6,1,1,0,0,1,1,1,2,3,0,2,0,2,0,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"E00004149",337,7,7,4,6,1,2,2,3,0,4,1,1,2,1,2,3,1,2,4,1,4,0,2,4,4,5,6,11,8,13,11,8,11,9,6,9,5,11,8,10,3,3,1,1,9,2,2,1,3,4,7,2,1,5,6,2,3,4,2,5,4,4,3,3,5,1,3,4,1,2,0,0,0,6,2,4,3,3,2,1,3,2,2,1,1,0,2,1,4,0,0,2,1,0,0,0,0,0,1,0,1
"E00004150",304,16,5,1,2,2,0,1,1,0,1,2,0,0,0,2,1,1,4,0,0,1,0,7,2,4,21,11,11,18,11,15,18,11,22,12,7,11,5,5,5,2,5,0,1,3,2,3,4,2,4,3,3,2,3,2,4,2,0,0,1,1,0,1,2,3,1,1,3,1,0,0,3,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"E00004151",261,2,2,4,3,2,1,3,0,1,4,1,0,0,0,0,1,0,0,0,1,2,1,0,1,5,7,11,7,6,17,17,13,7,8,11,8,6,7,3,5,3,4,5,4,4,2,4,4,3,3,2,7,6,2,1,3,2,1,0,2,1,4,3,1,3,1,2,0,3,0,2,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"E00004152",243,6,5,5,1,3,6,3,5,2,3,2,4,0,2,0,1,0,5,1,2,1,2,0,1,2,4,3,2,3,4,7,6,5,2,3,4,6,4,5,5,6,4,4,6,6,9,3,4,3,1,1,0,5,2,3,0,1,6,3,4,0,1,3,0,5,2,5,3,3,1,1,3,1,0,1,1,3,2,1,1,1,1,1,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"E00004153",206,4,1,4,3,1,2,0,1,0,4,1,1,1,1,1,1,3,2,0,1,0,2,0,0,5,2,5,7,11,11,3,8,7,3,3,4,4,4,7,7,1,7,4,3,6,6,2,1,2,3,0,2,2,2,1,1,4,3,1,4,1,2,2,2,1,1,1,0,0,0,2,2,0,6,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"E00004154",255,13,5,7,1,2,0,1,1,2,1,1,9,0,0,0,0,0,0,0,0,0,4,0,3,2,2,4,5,8,13,18,11,7,8,13,7,10,3,4,14,4,3,14,1,3,0,2,2,9,3,0,0,1,2,3,1,2,0,1,0,0,3,2,1,1,1,1,0,0,1,0,2,0,2,0,3,2,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"E00004155",250,5,2,5,8,7,4,4,2,6,0,2,1,2,1,2,1,3,2,1,1,1,2,2,0,4,2,3,4,4,0,5,5,4,4,11,5,13,3,4,3,6,7,7,4,4,4,9,5,4,6,4,1,3,2,1,1,1,3,4,1,1,0,0,2,8,0,1,3,0,2,0,0,1,2,2,2,2,0,2,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"E00004156",223,7,4,5,3,2,2,4,1,1,3,0,3,2,0,1,1,0,0,0,0,0,1,3,1,0,1,1,0,3,3,5,12,3,17,4,6,13,5,9,3,4,3,4,1,2,5,0,4,6,1,2,5,3,4,1,1,2,1,1,3,1,3,2,0,2,3,1,2,3,2,2,2,1,1,5,1,1,1,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"E00004157",226,4,6,5,3,6,1,1,2,2,0,3,1,2,0,2,3,2,1,3,0,3,0,0,1,8,5,8,6,9,5,3,12,11,10,5,4,0,4,5,1,3,1,5,3,4,1,6,0,2,1,1,1,4,0,1,2,3,2,0,6,2,2,4,5,1,0,1,1,1,1,1,0,1,3,2,0,2,0,0,2,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"E00004158",284,5,6,3,6,2,5,1,5,3,4,5,6,3,0,4,3,1,4,5,2,2,7,10,4,7,10,8,4,5,5,9,5,7,6,5,5,0,4,6,3,1,4,3,6,4,2,5,5,3,5,3,6,3,2,2,2,1,3,2,1,3,5,2,1,1,3,5,1,0,3,1,0,0,1,0,1,1,1,2,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004159",394,3,8,4,7,4,11,10,10,6,4,5,4,10,4,9,17,4,4,8,4,8,4,5,3,3,8,8,5,4,9,6,9,6,3,3,5,7,4,5,7,8,11,6,6,6,4,9,3,3,5,7,5,7,6,3,1,1,2,1,0,4,0,4,1,0,2,4,2,2,1,3,1,3,1,3,1,2,2,2,3,2,1,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004160",214,1,0,4,2,2,5,1,3,1,3,3,6,5,2,5,4,3,2,4,4,1,2,1,2,2,3,0,3,2,2,2,2,4,1,2,0,6,1,2,2,5,2,4,3,2,1,6,1,1,2,1,2,4,4,0,1,4,2,2,1,0,0,2,2,1,5,4,4,3,2,2,4,5,1,5,3,3,2,2,1,4,2,0,1,1,0,2,0,0,2,1,1,0,1,0,0,0,0,0,0,0
"E00004161",201,2,4,0,0,3,3,1,1,1,1,1,3,3,1,2,1,0,0,0,1,3,1,2,3,7,10,7,4,5,6,7,11,7,3,4,5,3,4,2,2,3,1,2,6,2,1,0,1,1,1,0,3,1,1,3,0,5,0,1,1,2,6,2,3,2,1,1,0,3,3,0,2,2,0,0,1,0,3,1,0,0,4,2,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"E00004162",248,8,5,1,4,5,3,1,1,3,2,0,0,1,1,0,0,0,0,0,0,3,2,2,4,8,8,19,5,9,8,7,12,4,12,5,8,4,7,3,3,4,5,3,2,1,7,4,8,3,3,2,0,1,0,0,0,0,0,7,1,3,1,1,2,7,0,0,1,0,1,6,0,1,1,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004163",393,10,7,7,4,5,4,4,11,2,6,8,6,4,3,7,6,2,6,2,6,3,6,2,6,4,11,7,12,15,9,9,10,12,5,7,4,2,8,8,10,4,8,4,4,3,13,4,8,4,6,8,4,1,0,1,1,0,2,5,5,1,3,5,4,6,1,2,1,3,1,0,1,3,1,0,1,1,1,2,2,2,0,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"E00004164",383,5,5,4,8,8,9,8,9,4,7,9,5,4,4,3,5,6,6,9,3,4,3,3,6,4,3,5,8,4,6,2,3,3,2,8,10,2,7,6,4,8,10,8,8,5,8,7,4,5,9,5,4,7,4,4,3,2,5,2,5,2,1,3,3,0,2,3,0,3,4,2,0,6,3,0,2,2,2,2,0,3,3,0,3,0,2,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0
"E00004165",345,4,3,9,6,4,5,7,5,6,4,6,5,4,1,9,6,5,1,6,4,1,5,5,4,9,9,2,10,9,3,1,3,4,5,5,4,2,5,5,3,7,9,3,5,8,5,5,5,8,3,0,6,4,3,4,3,0,4,3,1,3,4,3,6,2,3,4,2,3,2,5,4,1,6,2,1,3,2,1,0,1,2,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004166",416,10,7,9,5,11,10,7,8,7,15,8,9,8,7,8,3,8,5,9,3,4,5,3,6,1,7,5,7,8,4,4,4,7,7,5,5,4,9,7,5,6,6,8,3,6,9,5,6,5,5,7,9,0,6,4,0,2,6,2,2,2,3,1,4,4,1,3,1,1,2,3,3,2,0,4,1,0,3,0,2,0,1,2,1,1,1,2,1,2,3,0,0,0,0,0,0,0,0,1,0,0
"E00004167",284,3,4,9,3,7,3,8,4,4,9,5,3,0,4,3,5,4,1,2,1,1,1,2,8,2,1,3,3,1,2,5,2,3,3,0,2,5,6,3,3,5,6,5,9,8,5,5,5,6,1,0,5,4,3,2,5,4,3,6,4,1,3,0,3,6,3,1,6,2,2,0,3,3,0,2,1,0,1,1,1,1,1,0,1,2,2,3,1,1,0,2,0,0,0,0,0,0,1,0,1,0
"E00004168",194,4,6,4,1,2,5,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,4,6,3,6,1,3,9,9,5,3,9,8,6,7,4,1,2,8,1,2,2,7,2,2,2,1,0,1,0,0,1,3,0,1,1,1,1,2,3,2,1,0,0,1,2,1,2,0,1,2,1,2,1,3,1,3,1,3,3,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"E00004169",317,4,1,1,3,1,1,1,2,1,0,0,0,1,0,0,1,1,0,8,2,18,16,4,8,5,2,5,16,5,12,7,7,5,1,7,3,2,6,9,9,4,3,25,5,5,1,2,7,6,1,6,0,1,1,1,2,1,1,3,5,6,4,3,4,2,5,3,2,0,1,3,2,3,2,0,3,0,3,3,2,1,3,2,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"E00004172",229,2,1,1,0,3,0,1,1,1,0,0,0,0,0,2,0,0,0,2,1,2,6,7,7,5,3,4,4,3,6,2,2,8,7,1,4,3,9,8,6,9,3,3,1,5,3,10,12,5,0,2,4,3,5,4,3,6,7,4,1,3,2,1,0,2,0,0,2,3,0,3,1,0,1,2,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"E00004173",609,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,2,57,92,55,47,45,20,13,15,8,7,9,10,10,6,14,9,6,6,5,10,0,2,7,4,7,5,8,4,5,4,2,6,2,3,4,5,0,3,5,6,1,4,1,2,3,0,1,4,1,2,6,9,2,3,1,3,2,1,1,0,2,5,1,4,1,5,4,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
"E00004174",274,2,3,2,3,1,2,2,3,3,3,1,1,1,2,1,0,2,2,3,1,34,29,17,19,5,4,5,5,3,5,2,1,2,2,3,4,2,2,3,2,1,2,4,2,3,2,5,9,1,2,6,3,3,2,1,0,1,1,1,0,3,3,1,1,1,1,2,2,1,1,0,0,5,2,2,2,1,1,1,2,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"E00004175",289,3,0,0,5,3,2,2,3,1,3,1,1,1,0,2,0,1,1,2,3,5,15,12,9,8,8,4,6,1,4,10,3,4,3,4,4,1,5,8,2,3,5,15,1,8,4,8,3,1,5,0,9,3,6,0,2,5,5,10,3,9,1,6,0,0,3,1,0,3,1,1,1,0,1,1,2,2,0,1,2,1,0,1,0,0,2,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"E00004177",296,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,23,64,45,28,14,9,13,4,6,4,4,6,3,7,8,3,1,1,1,2,3,1,1,1,1,1,0,0,0,1,1,1,2,0,0,1,2,1,0,1,1,3,0,2,3,0,2,0,0,1,0,1,0,1,0,4,0,0,4,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"E00004179",327,4,2,0,4,0,3,3,2,5,3,3,1,6,2,1,5,2,4,2,3,3,5,5,5,6,4,0,5,4,2,2,5,5,8,3,1,4,5,4,8,1,0,4,7,3,8,3,1,1,1,3,2,2,9,3,1,1,2,7,6,5,5,4,8,5,9,6,2,9,3,4,2,11,2,5,3,3,4,1,4,2,4,9,2,1,2,4,1,0,1,1,0,0,0,1,0,0,0,0,0,0
"E00004180",283,2,5,5,11,3,7,7,15,4,8,1,1,2,1,0,0,0,1,3,4,14,11,8,11,12,13,5,6,5,6,3,10,3,3,2,3,10,8,10,4,3,1,0,2,1,0,4,3,2,2,2,0,1,0,1,4,1,0,1,0,2,1,0,1,1,1,2,1,1,2,0,4,3,1,0,2,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004181",355,4,5,4,1,6,2,1,2,4,4,0,2,2,2,3,1,1,0,5,2,3,2,3,3,4,5,5,4,6,4,1,3,4,5,4,5,4,2,3,2,3,4,7,2,7,6,4,3,6,4,4,2,4,4,2,5,6,1,1,4,3,3,5,6,5,6,12,9,6,5,2,4,4,12,5,2,9,7,3,3,8,5,4,4,5,2,2,1,1,4,0,1,4,1,0,0,0,0,0,0,0
