"GeographyCode","QS605EW0001","QS605EW0002","QS605EW0003","QS605EW0004","QS605EW0005","QS605EW0006","QS605EW0007","QS605EW0008","QS605EW0009","QS605EW0010","QS605EW0011","QS605EW0012","QS605EW0013","QS605EW0014","QS605EW0015","QS605EW0016","QS605EW0017","QS605EW0018","QS605EW0019","QS605EW0020","QS605EW0021","QS605EW0022","QS605EW0023","QS605EW0024","QS605EW0025","QS605EW0026","QS605EW0027","QS605EW0028"
"E00004138",126,0,0,1,1,0,0,0,0,0,0,4,0,1,8,1,8,10,24,4,29,2,5,7,13,8,1,0
"E00004139",80,0,0,0,0,0,0,0,0,0,0,1,0,2,8,4,20,6,6,1,5,5,1,6,10,3,2,0
"E00004140",122,0,1,2,0,1,0,0,0,1,0,1,1,1,8,0,3,13,31,4,22,2,2,12,11,7,1,0
"E00004141",98,0,0,1,0,0,0,1,0,0,0,0,0,1,3,0,2,13,19,4,19,2,3,10,10,11,0,0
"E00004142",151,0,0,0,0,0,0,0,0,0,0,1,2,6,4,2,6,15,35,3,27,3,7,14,15,10,1,0
"E00004143",141,0,3,4,1,0,0,0,1,1,1,1,0,5,4,1,1,11,34,1,27,8,6,12,15,8,0,0
"E00004144",131,0,1,2,0,1,0,0,0,1,0,1,0,1,9,1,2,9,26,1,40,1,2,14,13,7,1,0
"E00004145",161,0,1,1,1,0,0,0,0,0,0,0,0,3,7,1,18,14,26,4,39,8,5,16,12,6,0,0
"E00004146",172,0,0,4,0,0,1,2,0,0,1,1,0,2,15,3,9,24,18,8,44,6,1,17,13,4,3,0
"E00004147",152,0,0,1,0,0,0,0,0,1,0,0,0,0,8,1,3,24,25,3,48,0,6,4,16,13,0,0
"E00004148",101,0,1,2,0,1,0,1,0,0,0,0,0,3,8,2,5,14,10,1,18,3,3,13,6,11,1,0
"E00004149",196,0,1,2,1,1,0,0,0,0,0,0,0,3,12,3,5,18,47,2,48,6,2,11,18,15,3,0
"E00004150",222,0,1,3,1,0,0,1,0,1,0,1,0,4,9,2,2,19,62,0,66,2,2,17,20,10,1,1
"E00004151",195,0,1,0,0,0,0,0,0,0,0,0,0,7,17,1,1,24,34,0,56,7,7,11,11,16,2,0
"E00004152",130,0,2,2,0,1,0,1,0,0,0,1,1,0,6,3,2,12,25,6,25,4,2,11,15,10,3,0
"E00004153",123,0,0,5,0,2,0,0,0,1,2,1,1,2,9,1,1,11,18,4,22,11,4,8,16,9,0,0
"E00004154",160,0,0,3,0,0,0,1,0,1,1,0,0,2,18,1,3,15,29,1,44,9,1,10,6,8,10,0
"E00004155",135,0,0,2,0,1,0,0,0,0,1,1,0,5,6,2,2,13,35,5,33,6,2,10,6,6,1,0
"E00004156",132,0,0,4,0,0,0,0,2,1,1,0,0,3,8,0,3,17,30,3,28,5,4,9,8,9,0,1
"E00004157",131,0,0,1,0,0,0,1,0,0,0,0,0,5,13,3,4,12,20,1,27,3,2,14,11,13,0,2
"E00004158",111,0,0,0,0,0,0,0,0,0,0,0,1,5,16,4,7,10,12,0,16,5,4,11,8,11,0,1
"E00004159",120,0,0,0,0,0,0,0,0,0,0,0,0,4,16,14,12,6,8,2,11,8,9,11,13,6,0,0
"E00004160",62,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,4,6,0,1,7,1,1,8,12,6,1,1
"E00004161",121,0,0,3,1,0,0,0,0,0,2,0,0,2,7,0,8,5,19,4,26,5,3,12,15,11,1,0
"E00004162",157,0,0,4,1,0,0,0,1,1,1,1,0,3,11,3,10,17,25,3,38,4,3,10,14,8,3,0
"E00004163",194,0,0,5,0,1,0,2,1,0,1,3,1,6,11,0,7,21,35,6,42,5,5,18,16,12,0,1
"E00004164",137,0,0,5,0,1,0,0,0,2,2,0,0,10,18,7,9,10,4,3,11,6,13,6,21,11,0,3
"E00004165",111,0,1,2,0,0,0,0,0,0,2,0,0,4,16,9,8,11,9,2,5,10,3,8,9,11,3,0
"E00004166",112,0,0,1,0,0,0,0,0,0,1,0,0,2,19,10,7,4,6,4,8,7,6,12,13,10,2,1
"E00004167",132,0,0,1,0,0,0,0,0,0,1,0,0,3,12,2,4,17,18,7,34,7,3,5,12,5,2,0
"E00004168",108,0,0,0,0,0,0,0,0,0,0,0,0,2,12,3,4,10,17,2,23,3,5,9,10,8,0,0
"E00004169",183,0,0,2,0,1,0,0,0,0,1,0,0,2,12,0,27,21,15,0,37,4,9,19,14,18,2,1
"E00004172",149,0,0,3,0,2,0,1,0,0,0,0,0,2,14,6,17,9,7,4,43,6,5,6,10,14,1,2
"E00004173",164,0,1,2,1,0,0,0,0,0,1,0,0,1,25,2,20,13,10,3,8,6,7,34,22,9,0,1
"E00004174",77,0,0,4,0,0,0,2,0,0,2,1,0,1,8,4,13,2,2,1,5,7,1,9,13,6,0,0
"E00004175",102,0,0,1,0,0,0,0,1,0,0,2,0,5,14,0,9,8,7,1,21,7,5,9,5,8,0,0
"E00004177",99,0,0,1,0,1,0,0,0,0,0,0,0,3,5,0,15,8,5,1,19,2,5,23,6,6,0,0
"E00004179",114,0,0,0,0,0,0,0,0,0,0,0,0,7,10,7,7,3,5,5,17,7,7,18,13,8,0,0
"E00004180",106,0,0,4,0,1,0,0,0,1,2,0,0,2,9,3,5,4,9,2,18,2,4,11,20,13,0,0
"E00004181",123,0,0,2,1,0,0,0,0,0,1,0,0,3,18,8,14,7,6,2,16,5,4,16,16,5,1,0
"E00004182",84,0,0,1,0,0,0,0,0,0,1,0,0,2,10,2,13,5,5,3,13,4,4,7,7,8,0,0
"E00004183",93,0,0,2,0,0,0,1,0,0,1,0,0,1,14,5,11,4,4,1,10,5,7,12,13,4,0,0
"E00004184",92,0,0,2,0,0,0,0,1,0,1,0,0,2,8,4,5,11,5,1,14,4,5,17,5,8,0,1
"E00004185",149,0,1,2,1,0,0,0,0,0,1,1,0,3,28,10,14,10,12,4,16,4,3,5,29,6,1,0
"E00004187",257,0,0,2,1,1,0,0,0,0,0,1,0,13,19,6,18,36,22,6,51,7,5,20,17,34,0,0
"E00004188",73,0,1,0,0,0,0,0,0,0,0,0,0,2,8,0,3,4,10,1,11,2,2,12,12,5,0,0
"E00004189",88,0,0,2,0,0,0,1,0,0,1,0,0,1,6,3,10,8,12,3,19,3,0,6,10,4,0,1
"E00004190",279,1,0,1,0,0,0,0,0,0,1,0,0,3,13,8,7,31,15,4,57,10,16,37,32,42,0,2
"E00004193",326,0,0,7,1,0,0,2,0,2,2,0,0,1,9,1,12,34,7,2,47,11,8,33,139,13,1,1
"E00004194",157,0,0,3,0,1,0,0,0,0,2,0,0,1,16,3,7,26,13,3,43,5,2,15,10,9,0,1
"E00004195",181,0,0,5,0,0,0,0,0,5,0,1,0,4,12,3,14,26,21,2,45,5,4,11,16,12,0,0
"E00004196",102,0,0,1,0,0,0,0,0,1,0,0,0,3,4,1,6,11,13,1,31,0,3,13,7,7,1,0
"E00004197",154,0,0,1,0,0,0,1,0,0,0,0,0,5,8,2,18,22,19,3,32,8,2,13,10,11,0,0
"E00004198",180,0,1,1,1,0,0,0,0,0,0,0,0,0,17,4,13,18,13,2,41,5,8,25,16,14,0,2
"E00004199",179,0,0,6,0,2,0,0,1,0,3,1,0,6,12,4,24,17,15,5,45,1,2,22,12,7,0,0
"E00004200",174,0,0,2,1,0,0,0,1,0,0,0,0,1,15,3,11,21,15,3,30,7,8,17,27,13,0,1
"E00004201",161,0,0,3,1,0,0,0,0,0,2,0,0,4,7,1,3,22,22,2,41,2,8,18,12,12,2,2
"E00004202",34,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,1,2,1,5,1,2,4,9,1,1,0
"E00004203",215,0,0,3,1,0,0,1,0,1,0,2,0,3,23,3,18,34,13,0,39,4,6,19,21,23,3,1
"E00004204",171,0,0,3,1,0,0,0,1,0,1,0,0,7,11,3,4,20,24,7,46,3,8,9,10,15,1,0
"E00004205",232,0,1,7,0,1,0,0,2,1,3,0,0,1,17,6,13,43,23,4,44,5,7,21,19,20,1,0
"E00004206",135,0,0,3,2,1,0,0,0,0,0,0,2,9,16,9,13,10,6,2,18,5,8,12,15,7,0,0
"E00004207",121,0,0,3,0,1,0,0,0,0,2,1,0,11,22,4,14,3,5,3,10,6,2,17,3,17,0,0
"E00004208",98,0,0,0,0,0,0,0,0,0,0,1,0,1,10,4,9,8,4,0,14,7,3,9,19,9,0,0
"E00004209",158,0,0,4,1,0,0,1,0,1,1,1,1,8,13,3,15,15,16,1,30,9,4,12,8,17,0,1
"E00004210",98,2,0,2,0,0,0,0,1,0,1,0,0,7,16,10,6,5,2,3,8,5,3,8,15,5,1,0
"E00004211",190,0,0,4,0,2,0,0,1,0,1,0,0,9,29,2,28,23,9,2,32,6,3,19,12,12,0,0
"E00004212",183,0,0,2,0,0,0,0,0,1,1,1,1,9,18,3,1,28,8,5,38,8,6,15,24,16,0,0
"E00004213",164,0,0,2,0,2,0,0,0,0,0,0,1,9,13,6,13,14,9,2,26,9,2,19,19,20,0,0
"E00004214",246,0,0,5,1,0,0,0,2,0,2,1,0,11,30,12,3,30,26,4,38,5,9,21,27,22,2,0
"E00004215",174,0,1,0,0,0,0,0,0,0,0,0,1,8,13,5,5,22,23,3,45,4,4,13,13,14,0,0
"E00004216",189,0,0,7,0,2,0,0,0,1,4,0,0,4,21,3,3,20,23,3,46,2,1,15,13,27,1,0
"E00004217",170,0,1,4,0,1,0,1,1,0,1,2,0,12,14,0,6,20,14,3,48,3,5,13,14,10,1,0
"E00004218",144,0,1,3,2,0,0,0,0,0,1,0,1,3,13,7,6,15,8,6,30,7,8,21,6,9,0,0
"E00004219",218,0,0,4,2,1,0,0,0,0,1,0,0,6,18,5,16,26,10,7,41,14,12,14,25,19,1,0
"E00004220",63,0,0,0,0,0,0,0,0,0,0,0,1,3,7,3,0,4,7,0,8,5,3,12,4,6,0,0
"E00004221",143,0,0,3,1,0,0,1,0,1,0,0,0,2,6,2,2,17,18,2,44,3,1,12,13,18,0,0
"E00004222",116,0,0,2,0,1,0,0,0,0,1,0,0,2,11,2,3,8,21,5,25,6,1,9,5,15,1,0
"E00004223",139,0,0,3,1,0,0,0,0,1,1,0,0,5,12,8,10,18,5,3,23,3,1,19,18,10,0,1
"E00004224",185,0,1,4,0,2,0,2,0,0,0,0,0,4,16,3,8,20,25,2,54,2,4,15,9,16,0,2
"E00004225",273,0,0,9,1,1,1,2,0,0,4,2,0,6,38,6,32,33,10,6,47,6,6,23,19,28,1,1
"E00004226",133,0,0,2,0,0,0,1,0,1,0,0,0,3,10,2,3,10,18,5,35,11,2,8,13,10,0,1
"E00004227",139,0,0,1,0,0,0,1,0,0,0,0,0,1,10,2,4,17,11,3,40,4,6,15,10,14,1,0
"E00004228",126,0,0,4,0,1,0,0,0,0,3,0,0,2,8,1,7,26,16,5,25,4,2,6,9,11,0,0
"E00004229",218,0,0,6,2,1,0,1,0,0,2,0,1,10,11,5,9,27,31,1,60,6,3,11,15,22,0,0
"E00004230",140,0,0,2,0,0,0,2,0,0,0,0,1,7,7,6,7,18,2,3,25,3,3,19,18,17,1,1
"E00004231",193,0,1,3,1,1,0,1,0,0,0,0,0,3,14,3,6,25,34,4,39,8,6,17,9,20,1,0
"E00004232",91,0,0,1,0,0,0,0,0,0,1,0,0,1,7,2,2,5,10,1,15,2,1,8,24,10,2,0
"E00004233",129,0,0,4,0,1,0,0,1,1,1,0,0,2,10,3,2,10,10,1,36,9,3,19,10,10,0,0
"E00004234",156,0,0,3,0,1,0,0,0,0,2,0,0,5,10,4,8,18,26,5,32,4,5,16,8,11,1,0
"E00004235",187,0,0,2,0,1,0,0,1,0,0,0,0,7,24,3,35,21,18,4,25,8,4,9,15,12,0,0
"E00004236",185,0,0,2,0,0,0,1,0,1,0,0,0,3,24,6,17,33,6,5,27,6,3,21,17,15,0,0
"E00004237",147,1,0,2,0,0,0,0,0,1,1,1,1,7,17,4,13,18,10,1,21,6,2,15,14,14,0,0
"E00004238",163,0,0,5,0,0,0,2,0,2,1,1,0,2,10,4,7,15,18,7,26,2,4,18,24,19,0,1
"E00004239",109,0,0,4,1,1,0,0,0,2,0,0,0,5,14,1,8,5,7,1,15,3,10,14,12,10,0,0
"E00004240",149,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,16,19,7,4,29,7,8,17,6,16,0,0
"E00004241",170,0,0,4,0,1,0,0,0,0,3,0,0,5,14,3,1,17,25,2,44,2,4,11,14,20,3,1
"E00004242",122,1,0,2,1,1,0,0,0,0,0,0,0,3,7,0,3,3,8,2,22,3,4,6,51,5,2,0
"E00004243",142,0,0,1,0,0,0,0,1,0,0,0,0,2,7,1,1,20,27,2,33,8,4,10,11,13,2,0
"E00004244",88,0,0,2,0,0,0,0,0,0,2,0,0,11,19,7,4,1,2,2,1,3,6,7,10,13,0,0
"E00004245",157,0,0,4,0,0,0,1,0,1,2,0,0,2,15,2,7,12,7,6,23,6,7,20,29,15,0,2
"E00004246",216,1,0,0,0,0,0,0,0,0,0,0,0,4,33,2,24,17,7,4,49,9,7,30,5,22,1,1
"E00004247",173,0,0,3,0,0,0,0,1,1,1,0,0,5,19,4,3,17,6,4,48,4,6,17,11,22,3,1
"E00004248",233,0,0,3,0,1,0,0,0,1,1,2,1,9,23,5,29,18,13,1,40,8,11,29,17,22,2,0
"E00004249",134,0,0,2,0,0,0,1,0,1,0,0,0,5,10,1,5,18,13,3,29,2,7,13,18,8,0,0
"E00004250",168,0,0,3,0,0,0,2,0,1,0,0,1,3,9,0,8,18,10,4,40,7,9,12,20,22,1,1
"E00004251",133,0,0,2,0,0,0,0,0,0,2,0,0,2,7,0,4,25,6,1,28,4,8,19,9,18,0,0
"E00004252",142,0,0,2,0,0,0,0,0,1,1,0,0,5,12,2,4,23,3,2,23,1,10,22,12,20,0,1
"E00004253",141,0,0,0,0,0,0,0,0,0,0,0,0,5,22,4,13,10,8,3,18,6,8,19,14,11,0,0
"E00004254",118,0,0,2,0,1,0,0,0,1,0,0,1,5,26,7,12,5,3,3,13,7,4,9,10,11,0,0
"E00004255",152,0,0,7,2,0,0,2,0,0,3,1,1,3,13,6,7,16,7,3,35,3,3,20,14,13,0,0
"E00004256",139,0,1,2,0,1,0,0,0,0,1,0,0,1,22,4,16,9,7,3,24,5,4,15,18,7,1,0
"E00004257",159,0,0,3,0,1,0,1,1,0,0,0,0,3,21,2,10,25,15,5,33,8,2,8,7,16,1,0
"E00004258",159,0,1,1,1,0,0,0,0,0,0,1,1,7,22,2,6,32,6,6,31,6,11,13,6,6,1,0
"E00004259",72,0,0,1,0,0,0,0,1,0,0,0,0,6,12,5,8,2,2,0,7,2,5,11,5,6,0,0
"E00004260",112,1,0,4,0,0,0,0,3,0,1,1,1,9,14,9,10,7,4,5,8,6,5,12,12,4,0,0
"E00004261",125,0,0,2,0,0,0,0,0,1,1,0,0,4,12,7,13,15,7,1,16,8,3,10,16,8,2,1
"E00004262",96,0,0,1,0,0,0,0,0,1,0,0,0,2,10,5,14,8,3,0,12,5,3,10,14,8,1,0
"E00004263",150,0,0,2,0,0,0,0,1,0,1,0,0,7,13,13,16,3,14,8,14,5,5,21,18,11,0,0
"E00004264",223,1,0,5,1,1,0,1,0,1,1,1,1,6,25,1,19,36,13,1,43,11,2,18,13,25,1,1
"E00004265",117,0,2,2,2,0,0,0,0,0,0,0,0,5,15,5,4,6,5,6,26,4,6,8,8,14,1,0
"E00004266",163,0,0,3,2,0,0,1,0,0,0,1,0,12,14,2,8,20,11,2,23,5,8,14,13,26,1,0
"E00004268",134,0,0,2,0,0,0,0,0,0,2,0,0,7,17,4,11,17,6,2,22,1,8,18,8,11,0,0
"E00004269",116,0,0,1,0,0,0,1,0,0,0,0,0,3,14,3,6,17,5,1,16,8,7,8,11,16,0,0
"E00004270",234,0,0,1,0,1,0,0,0,0,0,1,0,11,32,3,28,27,10,4,37,10,2,15,21,32,0,0
"E00004271",176,0,0,3,0,1,0,0,0,0,2,0,0,8,12,3,8,18,19,7,29,7,7,21,15,18,0,1
"E00004272",162,0,0,2,0,0,0,0,1,0,1,0,0,5,15,0,5,21,7,3,25,6,10,27,17,18,1,0
"E00004273",220,0,0,6,1,1,0,2,0,0,2,0,0,6,17,6,4,38,11,3,51,5,8,22,24,17,0,2
"E00004274",181,1,0,2,0,1,0,1,0,0,0,1,1,9,19,4,4,30,8,4,31,5,6,19,15,20,2,0
"E00004275",124,0,0,2,0,0,0,0,1,0,1,0,0,1,15,5,9,10,4,2,32,2,1,17,14,9,1,0
"E00004276",143,0,0,0,0,0,0,0,0,0,0,2,1,9,7,5,10,14,8,3,21,12,2,20,13,15,1,0
"E00004277",149,2,0,2,1,1,0,0,0,0,0,0,0,6,13,0,1,24,5,1,28,5,8,23,17,13,1,0
"E00004278",132,0,1,3,0,0,0,0,1,0,2,0,0,0,5,2,3,20,12,5,25,7,6,10,16,17,0,0
"E00004279",147,0,0,2,0,0,0,1,0,0,1,0,0,7,18,1,14,17,9,5,15,8,9,13,17,11,1,0
"E00004280",125,0,0,5,0,1,0,0,2,1,1,0,0,2,6,4,5,18,9,3,28,6,6,8,11,14,0,0
"E00004281",142,0,0,3,1,0,0,1,0,1,0,0,0,1,11,0,5,18,6,1,35,6,4,23,15,14,0,0
"E00004282",172,0,0,6,0,1,0,4,0,1,0,0,0,10,18,6,4,11,18,5,31,11,8,12,12,16,2,2
"E00004283",158,0,0,7,1,1,0,1,0,1,3,0,0,4,12,3,8,9,8,5,25,14,15,21,12,13,1,1
"E00004284",131,0,0,2,1,0,0,0,1,0,0,0,0,5,5,3,16,10,15,2,30,7,3,14,10,9,0,0
"E00004285",181,0,0,7,1,1,0,0,0,5,0,0,0,5,18,0,11,21,23,3,33,8,7,17,21,5,1,1
"E00004286",180,0,0,8,2,1,0,2,1,0,2,0,0,7,22,2,18,13,5,3,34,16,5,17,21,7,2,0
"E00004287",161,0,0,1,0,0,0,1,0,0,0,0,0,9,20,4,5,16,10,2,37,8,6,16,10,14,1,2
"E00004288",180,0,1,5,3,0,0,0,0,1,1,0,0,8,15,3,17,19,18,5,37,12,6,13,8,12,1,0
"E00004289",152,0,0,2,1,0,0,0,0,0,1,0,0,2,9,2,11,18,19,5,31,4,9,18,13,8,0,1
"E00004290",186,0,0,5,0,0,0,1,2,0,2,1,0,5,20,3,35,19,8,2,24,10,7,21,10,15,1,0
"E00004291",147,0,0,2,1,0,0,0,0,0,1,0,1,8,23,7,15,9,10,1,9,10,2,15,21,14,0,0
"E00004292",91,0,0,0,0,0,0,0,0,0,0,0,0,4,14,6,18,3,5,3,6,3,1,10,12,5,0,1
"E00004293",129,0,0,3,0,0,0,0,0,1,2,0,1,9,11,8,11,9,14,6,15,8,5,14,7,7,1,0
"E00004294",134,0,0,2,0,0,0,0,0,0,2,0,0,3,10,2,7,20,13,4,29,8,4,16,11,5,0,0
"E00004295",216,1,0,8,2,0,0,1,0,1,4,1,0,13,26,4,10,13,27,4,46,10,5,16,12,15,5,0
"E00004296",157,0,0,2,0,0,0,0,1,0,1,0,2,8,27,8,13,8,2,1,19,4,7,27,17,9,2,1
"E00004297",188,1,0,2,1,0,0,0,0,0,1,0,1,6,18,6,7,21,22,5,41,11,2,13,13,18,0,1
"E00004298",171,0,0,8,2,0,0,2,1,1,2,0,1,13,12,1,5,14,11,5,31,13,4,22,18,7,5,1
"E00004299",172,0,1,1,0,0,0,0,0,1,0,0,0,5,18,2,5,23,24,4,26,5,5,20,13,18,2,0
"E00004300",148,0,0,2,0,0,0,0,0,0,2,0,1,8,13,4,12,13,5,2,27,7,7,19,17,11,0,0
"E00004301",309,0,0,1,0,0,0,0,0,0,1,0,1,16,31,9,51,37,30,0,31,15,8,39,15,22,0,3
"E00004302",163,1,0,5,1,1,0,2,0,1,0,0,0,9,17,5,7,13,10,6,26,11,7,18,14,13,1,0
"E00004303",172,0,1,1,0,0,0,0,0,0,1,1,0,7,12,5,2,23,10,1,32,9,5,28,19,15,1,0
"E00004304",247,0,0,5,1,0,2,1,1,0,0,0,0,11,20,7,10,30,20,4,56,10,5,28,22,17,1,1
"E00004305",179,0,1,6,2,0,0,2,1,0,1,0,0,4,13,0,5,13,33,10,34,4,9,19,11,14,1,2
"E00004306",182,0,1,5,0,0,0,2,0,0,3,0,0,3,14,4,5,27,36,5,34,3,3,13,14,14,1,0
"E00004307",203,0,0,4,2,0,0,0,1,1,0,0,0,1,18,5,6,25,28,6,38,5,9,22,18,15,3,0
"E00004308",159,0,0,7,2,0,0,1,0,1,3,1,0,3,13,1,6,19,8,3,38,13,10,10,13,13,1,0
"E00004309",185,0,0,3,1,0,0,1,1,0,0,1,0,6,19,3,7,18,29,6,25,9,9,19,16,10,0,5
"E00004310",170,0,0,5,2,0,0,0,0,2,1,0,0,1,13,1,4,17,23,11,39,3,5,21,15,12,0,0
"E00004311",149,0,0,5,0,1,0,1,0,3,0,1,0,6,9,4,11,14,13,1,31,7,5,13,14,14,1,0
"E00004312",183,0,0,4,1,0,0,2,1,0,0,2,0,8,12,2,9,12,23,2,41,6,6,25,17,12,0,2
"E00004313",185,0,2,9,1,1,0,1,0,0,6,0,0,2,12,1,2,14,27,3,52,5,3,20,22,10,1,0
"E00004314",202,0,0,1,1,0,0,0,0,0,0,1,3,15,13,4,9,27,17,1,32,8,7,22,18,20,3,1
"E00004315",227,0,0,4,0,1,0,0,1,1,1,2,0,7,25,2,6,21,32,3,52,8,16,21,12,13,2,1
"E00004316",160,1,3,6,0,1,0,1,0,3,1,0,0,9,14,3,9,15,12,5,27,11,7,8,12,16,2,0
"E00004317",263,0,1,3,0,0,0,0,0,0,3,0,0,6,18,7,10,31,32,7,50,14,11,26,27,17,2,1
"E00004318",196,0,0,1,0,0,0,0,0,1,0,2,1,6,18,3,5,20,24,9,47,10,6,17,12,14,1,0
"E00004319",209,0,0,6,0,0,0,0,0,3,3,0,0,9,14,3,13,22,19,6,33,13,3,20,29,16,2,1
"E00004320",148,0,1,3,0,1,0,2,0,0,0,0,0,3,12,1,2,16,25,1,38,9,1,7,15,11,0,3
"E00004321",173,0,0,8,3,0,3,0,0,1,1,0,0,2,11,0,13,13,24,9,39,6,2,18,15,12,0,1
"E00004322",144,0,1,4,1,1,0,1,0,0,1,0,1,8,16,2,6,7,21,11,18,5,3,16,12,8,5,0
"E00004323",183,2,0,3,0,0,0,1,1,0,1,0,1,4,29,0,16,12,20,6,20,8,4,22,19,14,2,1
"E00004324",128,1,1,3,0,0,0,2,1,0,0,0,0,3,12,1,0,10,25,5,24,4,4,14,12,7,1,1
"E00004325",118,0,1,1,0,1,0,0,0,0,0,0,0,1,7,2,3,11,24,3,31,1,3,10,10,7,1,2
"E00004326",114,0,0,1,0,1,0,0,0,0,0,0,0,5,5,3,5,10,18,1,16,7,1,13,7,14,2,6
"E00004327",156,0,1,3,0,0,1,0,0,1,1,0,0,2,12,0,3,22,33,6,33,5,2,12,13,5,3,1
"E00004328",129,0,1,4,0,0,0,2,0,0,2,1,0,3,14,3,3,8,26,2,27,4,5,8,12,5,1,2
"E00004329",155,0,0,6,0,0,1,1,1,3,0,1,0,6,20,1,2,12,37,2,25,3,2,16,11,10,0,1
"E00004330",182,0,0,3,1,0,0,0,0,0,2,0,0,8,10,4,10,15,38,1,35,8,4,22,14,8,0,2
"E00004331",160,1,1,4,1,0,0,0,0,1,2,0,0,5,14,2,7,16,25,5,36,4,4,7,11,17,0,1
"E00004332",104,0,1,1,0,0,0,1,0,0,0,0,0,2,10,0,2,10,24,4,22,4,3,5,8,5,3,0
"E00004333",162,0,0,4,0,0,0,3,0,0,1,1,0,2,15,2,6,24,12,1,50,2,4,14,11,12,1,1
"E00004334",112,0,0,2,1,0,0,1,0,0,0,0,0,1,11,1,2,9,24,0,21,9,0,13,8,10,0,1
"E00004335",201,0,0,8,2,1,0,1,0,1,3,1,0,4,16,1,7,26,33,3,40,5,8,13,16,18,2,0
"E00004336",223,0,0,6,0,0,0,1,0,3,2,0,0,6,19,0,4,24,43,8,38,15,7,14,20,14,3,2
"E00004337",125,0,0,1,0,0,0,0,0,0,1,2,0,3,12,4,8,12,29,4,20,6,3,11,6,4,0,0
"E00004338",148,1,0,3,1,1,0,0,0,1,0,1,0,2,7,0,6,10,39,2,30,2,3,14,12,13,2,1
"E00004339",117,0,0,2,1,0,0,0,0,0,1,0,0,2,8,3,5,6,31,4,24,3,1,14,8,6,0,0
"E00004340",115,0,1,2,1,0,0,1,0,0,0,0,0,3,14,0,5,16,25,0,23,3,2,2,10,8,1,0
"E00004341",168,0,0,3,0,1,0,2,0,0,0,0,0,2,9,1,9,15,40,7,34,11,3,10,10,13,0,1
"E00004342",127,0,0,2,0,0,0,0,0,1,1,0,0,2,9,2,4,16,25,4,39,4,4,4,6,4,0,2
"E00004343",133,0,1,2,0,0,0,1,1,0,0,0,0,3,7,5,2,16,31,1,33,2,2,14,6,6,1,1
"E00004344",136,1,0,5,1,1,0,3,0,0,0,1,0,2,11,4,8,18,26,3,19,6,2,6,17,6,0,1
"E00004345",139,0,1,2,0,0,0,1,0,0,1,0,0,7,15,0,3,9,24,11,26,6,2,10,8,9,5,1
