"GeographyCode","QS406EW0001","QS406EW0002","QS406EW0003","QS406EW0004","QS406EW0005","QS406EW0006","QS406EW0007","QS406EW0008","QS406EW0009"
"E01000912",700,270,171,130,80,31,14,4,0
"E01000913",722,210,268,93,99,38,10,3,1
"E01000914",970,483,315,100,50,7,7,5,3
"E01000915",635,247,165,83,70,31,27,5,7
"E01000916",881,392,308,82,55,28,12,2,2
"E01000917",913,458,203,108,78,48,12,5,1
"E01000918",935,482,230,76,73,47,11,13,3
"E01000919",834,434,208,91,48,15,6,28,4
"E01000920",946,409,294,136,61,20,18,4,4
"E01000921",946,381,305,120,101,29,7,3,0
"E01000922",653,266,173,79,61,31,20,17,6
"E01000923",656,266,174,98,78,30,8,0,2
"E01000924",795,307,296,90,64,23,12,1,2
"E01000925",629,246,134,94,79,39,19,13,5
"E01000926",698,204,184,88,179,30,9,1,3
"E01000927",734,205,248,156,86,26,8,2,3
"E01000928",682,234,192,106,98,33,14,1,4
"E01000929",685,245,170,103,96,42,18,9,2
"E01000930",1076,628,240,99,64,28,15,0,2
"E01000931",873,357,252,123,80,36,17,3,5
"E01000932",947,402,335,125,58,18,7,2,0
"E01000933",821,340,263,123,61,20,9,3,2
"E01000934",732,338,177,95,73,32,11,3,3
"E01000935",624,241,165,88,84,35,10,0,1
"E01000936",536,194,130,77,68,23,35,4,5
"E01000937",502,296,96,48,34,11,10,2,5
"E01000938",737,305,164,82,110,58,11,5,2
"E01000939",446,156,91,73,53,43,15,8,7
"E01000940",534,253,139,57,45,22,9,5,4
"E01000941",557,242,138,79,65,19,8,5,1
"E01000942",686,381,180,87,26,9,2,0,1
"E01000943",596,359,141,54,28,8,6,0,0
"E01000944",667,188,141,85,146,71,22,11,3
"E01000945",611,223,159,79,92,27,17,9,5
"E01000946",715,312,204,97,66,23,9,1,3
"E01000947",871,344,252,110,112,37,6,5,5
"E01000948",846,362,268,101,80,26,7,1,1
"E01000949",739,331,181,98,75,40,9,3,2
"E01000950",550,192,117,87,74,48,21,7,4
"E01000951",603,230,115,88,91,46,20,8,5
"E01000952",675,206,184,123,83,44,23,5,7
"E01000953",708,299,176,75,87,37,22,5,7
"E01000954",642,202,162,108,86,58,16,6,4
"E01000955",657,293,120,89,100,35,15,4,1
"E01000956",608,221,152,92,65,38,23,5,12
"E01000957",765,263,260,107,81,33,12,8,1
"E01000958",835,237,241,159,129,38,19,8,4
"E01000959",698,264,165,106,87,56,13,4,3
"E01000960",841,321,288,107,85,27,11,1,1
"E01000961",652,197,200,117,74,45,12,6,1
"E01000962",745,236,291,126,73,14,3,1,1
"E01000963",851,311,257,153,85,36,5,2,2
"E01000964",713,260,218,120,79,18,14,1,3
"E01000965",764,313,267,103,53,21,3,2,2
"E01000966",675,222,232,120,64,22,11,2,2
"E01000967",619,225,182,96,67,37,7,3,2
"E01000968",760,314,260,103,64,13,3,2,1
"E01000969",954,341,326,148,108,24,6,1,0
"E01000970",831,406,290,95,31,6,2,1,0
"E01000971",649,222,197,110,90,19,7,1,3
"E01000972",949,414,258,127,90,38,13,6,3
"E01000973",894,341,308,123,80,24,12,3,3
"E01000974",821,358,242,128,44,27,13,1,8
