"GeographyCode","QS606EW0001","QS606EW0002","QS606EW0003","QS606EW0004","QS606EW0005","QS606EW0006","QS606EW0007","QS606EW0008","QS606EW0009","QS606EW0010","QS606EW0011","QS606EW0012","QS606EW0013","QS606EW0014","QS606EW0015","QS606EW0016","QS606EW0017","QS606EW0018","QS606EW0019","QS606EW0020","QS606EW0021","QS606EW0022","QS606EW0023","QS606EW0024","QS606EW0025","QS606EW0026","QS606EW0027","QS606EW0028","QS606EW0029","QS606EW0030","QS606EW0031","QS606EW0032","QS606EW0033","QS606EW0034","QS606EW0035","QS606EW0036","QS606EW0037","QS606EW0038","QS606EW0039","QS606EW0040","QS606EW0041","QS606EW0042","QS606EW0043","QS606EW0044","QS606EW0045","QS606EW0046","QS606EW0047","QS606EW0048","QS606EW0049","QS606EW0050","QS606EW0051","QS606EW0052","QS606EW0053","QS606EW0054","QS606EW0055","QS606EW0056","QS606EW0057","QS606EW0058","QS606EW0059","QS606EW0060","QS606EW0061","QS606EW0062","QS606EW0063","QS606EW0064","QS606EW0065","QS606EW0066","QS606EW0067","QS606EW0068","QS606EW0069","QS606EW0070","QS606EW0071","QS606EW0072","QS606EW0073","QS606EW0074","QS606EW0075","QS606EW0076","QS606EW0077","QS606EW0078","QS606EW0079","QS606EW0080","QS606EW0081","QS606EW0082","QS606EW0083","QS606EW0084","QS606EW0085","QS606EW0086","QS606EW0087","QS606EW0088","QS606EW0089","QS606EW0090","QS606EW0091","QS606EW0092","QS606EW0093","QS606EW0094","QS606EW0095","QS606EW0096","QS606EW0097","QS606EW0098","QS606EW0099","QS606EW0100","QS606EW0101","QS606EW0102","QS606EW0103","QS606EW0104","QS606EW0105","QS606EW0106","QS606EW0107","QS606EW0108","QS606EW0109","QS606EW0110","QS606EW0111","QS606EW0112","QS606EW0113","QS606EW0114","QS606EW0115","QS606EW0116","QS606EW0117","QS606EW0118","QS606EW0119","QS606EW0120","QS606EW0121","QS606EW0122","QS606EW0123","QS606EW0124","QS606EW0125"
"E01000856",731,94,60,1,20,18,3,2,0,1,15,34,0,4,1,29,192,33,2,9,21,0,1,27,11,1,15,45,45,87,12,21,15,6,2,4,27,150,12,4,5,3,10,2,8,1,1,75,56,13,6,52,0,1,17,25,0,9,68,48,3,20,8,15,2,20,20,40,0,0,5,0,2,0,3,0,12,8,4,0,23,3,1,17,2,55,36,22,1,13,19,4,11,1,3,49,40,31,6,3,9,8,1,22,4,1,0,0,3,18,17,0,1,61,2,0,2,0,59,5,11,8,5,1,29
"E01000857",773,140,87,10,6,41,19,3,0,2,6,53,0,13,1,39,247,29,8,2,19,0,0,36,19,13,4,41,41,141,37,43,19,4,5,1,32,201,0,0,0,0,11,6,5,2,2,109,89,16,4,79,0,5,46,20,0,8,55,35,1,12,4,12,6,20,20,21,0,0,5,0,1,1,3,0,11,10,1,0,5,1,0,3,1,34,16,14,0,2,18,3,4,10,1,35,24,22,2,0,11,9,2,15,4,0,1,0,3,11,10,1,0,25,2,0,1,1,23,3,8,5,0,3,4
"E01000858",801,88,66,5,3,29,13,2,0,2,12,22,0,5,0,17,222,47,6,11,27,0,3,32,19,2,11,30,30,113,28,39,14,2,1,0,29,147,13,6,2,5,9,4,5,2,2,63,48,5,10,60,0,2,27,26,0,5,61,43,7,14,10,9,3,18,18,51,1,1,12,0,5,1,6,0,15,12,3,0,23,1,2,19,1,79,55,39,1,15,24,10,7,6,1,51,37,31,4,2,14,13,1,33,9,2,3,1,3,24,22,0,2,69,2,0,2,0,67,3,14,11,3,5,31
"E01000859",992,239,161,16,10,77,29,5,0,3,21,78,0,35,0,43,334,43,10,2,24,4,3,40,26,12,2,51,51,200,51,67,23,1,4,1,53,258,7,2,5,0,6,3,3,1,1,136,109,21,6,108,0,1,53,37,0,17,55,46,6,16,5,16,3,9,9,31,0,0,6,0,1,0,3,2,15,15,0,0,10,1,1,4,4,23,15,10,0,5,8,3,2,3,0,23,20,17,2,1,3,1,2,6,2,0,1,1,0,4,4,0,0,23,2,0,2,0,21,0,6,4,0,1,10
"E01000860",656,115,79,11,7,39,12,0,1,3,6,36,0,12,1,23,263,18,3,5,10,0,0,95,22,8,65,48,48,102,35,26,18,2,1,0,20,139,2,2,0,0,7,1,6,4,4,70,59,11,0,56,3,1,30,17,0,5,38,28,7,5,3,11,2,10,10,20,1,1,3,0,0,2,1,0,7,4,3,0,9,1,0,8,0,26,19,14,1,4,7,1,2,4,0,22,17,12,2,3,5,4,1,14,9,2,2,2,3,5,5,0,0,19,2,0,1,1,17,0,3,0,0,0,14
"E01000861",839,90,48,1,7,19,7,2,0,0,12,42,1,18,2,21,253,58,3,9,45,0,1,37,28,5,4,45,45,113,25,44,9,8,3,0,24,180,17,6,0,11,14,4,10,3,3,90,72,16,2,56,0,1,14,24,0,17,75,48,9,12,5,21,1,27,27,42,5,5,8,0,1,1,6,0,8,6,2,0,21,4,1,16,0,50,32,19,2,11,18,3,5,9,1,56,45,35,8,2,11,11,0,22,4,1,0,1,2,18,17,0,1,71,4,1,3,0,67,8,9,7,0,2,41
"E01000862",1020,233,155,21,13,76,21,6,0,2,16,78,0,21,0,57,354,63,4,10,43,4,2,57,43,11,3,49,49,185,60,63,28,3,2,3,26,263,8,3,5,0,8,5,3,5,5,123,104,15,4,119,0,1,59,45,0,14,63,45,5,16,3,14,7,18,18,20,1,1,3,0,0,0,3,0,9,6,3,0,7,0,1,4,2,39,28,20,1,7,11,3,3,5,0,18,16,11,5,0,2,2,0,5,3,0,1,2,0,2,2,0,0,25,0,0,0,0,25,5,2,5,1,0,12
"E01000863",907,142,82,8,8,30,11,4,0,3,18,60,0,29,1,30,267,68,9,11,38,0,10,31,18,8,5,43,43,125,22,50,18,4,1,1,29,229,12,2,2,8,12,9,3,0,0,100,78,21,1,105,0,4,42,47,0,12,72,53,11,17,6,16,3,19,19,45,1,1,6,2,1,2,1,0,10,6,4,0,28,5,1,19,3,36,23,14,0,9,13,4,5,4,0,48,45,37,5,3,3,2,1,10,6,0,3,1,2,4,4,0,0,58,0,0,0,0,58,8,4,4,0,1,41
"E01000864",876,108,62,4,11,23,4,2,1,3,14,46,0,15,1,30,302,62,13,11,34,2,2,48,32,5,11,59,59,133,22,41,29,2,2,3,34,200,8,1,2,5,16,2,14,4,4,95,79,13,3,77,0,2,20,43,0,12,77,58,18,20,5,9,6,19,19,38,5,5,5,0,1,0,4,0,7,2,4,1,21,3,5,9,4,45,33,21,0,12,12,4,3,5,0,51,44,35,5,4,7,6,1,11,5,0,3,0,2,6,5,1,0,44,2,0,1,1,42,6,3,7,1,0,25
"E01000865",642,79,49,12,6,20,3,1,3,2,2,30,0,7,0,23,207,34,6,5,21,0,2,22,9,8,5,43,43,108,26,26,25,5,3,1,22,181,5,0,4,1,13,5,8,1,1,99,79,11,9,63,0,4,25,26,0,8,45,33,4,7,7,14,1,12,12,26,1,1,5,0,0,2,3,0,4,3,1,0,16,0,1,11,4,17,11,9,1,1,6,4,2,0,0,36,28,25,1,2,8,7,1,5,2,1,0,1,0,3,3,0,0,46,2,1,0,1,44,0,1,1,1,1,40
"E01000866",1044,130,78,7,10,36,5,2,0,5,13,52,0,12,2,38,325,57,10,7,35,2,3,56,28,12,16,58,58,154,27,54,27,7,3,1,35,224,11,8,2,1,12,7,5,2,2,111,87,19,5,88,1,2,26,44,0,15,82,54,9,17,5,21,2,28,28,74,8,8,12,0,2,2,8,0,15,11,3,1,39,2,3,31,3,53,36,23,0,13,17,5,6,5,1,67,52,47,5,0,15,13,2,34,9,0,1,4,4,25,24,1,0,55,2,0,1,1,53,5,13,7,1,3,24
"E01000867",700,57,28,4,0,14,1,3,0,0,6,29,0,13,3,13,189,38,4,7,27,0,0,28,19,2,7,32,32,91,10,29,11,12,4,1,24,141,7,3,3,1,5,1,4,0,0,48,32,14,2,81,0,3,25,39,0,14,81,60,12,18,10,16,4,21,21,46,4,4,10,0,2,2,5,1,6,5,1,0,26,1,0,23,2,56,37,23,0,14,19,6,5,5,3,58,43,33,4,6,15,11,4,26,6,0,3,1,2,20,18,1,1,46,2,2,0,0,44,2,7,4,1,1,29
"E01000868",605,60,30,2,4,14,0,3,0,3,4,30,0,10,2,18,79,16,1,1,14,0,0,10,3,2,5,12,12,41,5,9,9,4,2,0,12,115,20,2,5,13,7,0,7,1,1,41,30,10,1,46,1,3,18,15,0,9,43,31,11,8,6,4,2,12,12,48,1,1,10,0,1,6,3,0,19,14,4,1,18,0,2,14,2,73,61,41,1,19,12,3,5,2,2,57,42,38,0,4,15,12,3,35,7,0,0,0,7,28,27,1,0,95,11,0,6,5,84,3,20,12,1,6,42
"E01000869",1166,140,92,11,10,40,8,4,2,2,15,48,0,13,1,34,367,70,8,11,48,3,0,55,36,12,7,68,68,174,35,60,27,10,0,0,42,307,23,4,6,13,12,2,10,5,5,153,111,29,13,114,1,3,46,49,0,15,95,66,8,13,15,24,6,29,29,42,3,3,8,0,1,0,7,0,15,11,3,1,16,6,1,9,0,55,31,15,1,15,24,9,9,3,3,72,55,47,6,2,17,16,1,24,14,0,3,8,3,10,8,0,2,64,4,0,1,3,60,2,9,7,0,2,40
"E01000870",873,102,60,8,6,20,2,2,0,6,16,42,0,8,1,33,258,41,4,12,21,2,2,35,24,5,6,59,59,123,26,39,19,5,3,0,31,229,9,3,3,3,11,2,9,2,2,129,103,16,10,78,1,2,27,37,0,11,75,53,11,12,12,12,6,22,22,43,4,4,4,0,1,2,1,0,16,13,3,0,19,1,6,10,2,52,36,19,1,16,16,3,9,4,0,49,36,32,0,4,13,11,2,18,9,1,0,3,5,9,9,0,0,47,2,0,1,1,45,7,6,5,5,2,20
"E01000871",865,129,84,8,17,30,11,4,0,0,14,45,0,16,2,27,295,36,8,6,20,0,2,52,36,7,9,63,63,144,30,55,17,6,2,1,33,180,14,6,1,7,8,4,4,2,2,62,46,14,2,94,0,2,45,34,0,13,75,53,3,23,7,17,3,22,22,37,3,3,10,0,0,2,7,1,12,9,3,0,12,1,1,10,0,49,28,18,1,9,21,5,5,11,0,45,33,29,4,0,12,10,2,12,5,0,0,1,4,7,7,0,0,43,2,0,2,0,41,5,12,5,3,0,16
"E01000872",1191,128,71,2,8,35,5,4,0,1,16,57,0,27,2,28,402,108,11,9,86,0,2,48,29,7,12,76,76,170,20,100,7,5,4,4,30,206,16,2,5,9,8,5,3,1,1,84,63,14,7,97,0,2,34,47,0,14,96,70,9,21,7,29,4,26,26,84,5,5,9,1,3,1,3,1,36,35,0,1,34,2,1,28,3,90,50,27,1,22,40,11,12,12,5,64,41,32,8,1,23,20,3,24,7,0,2,2,3,17,17,0,0,97,6,0,5,1,91,6,21,9,0,7,48
"E01000873",1004,138,93,7,8,54,9,2,0,2,11,45,0,14,1,30,365,70,9,12,46,1,2,45,28,6,11,55,55,195,62,68,13,4,4,2,42,252,13,6,3,4,10,6,4,3,3,80,51,16,13,146,1,7,64,60,0,14,87,63,18,17,9,14,5,24,24,26,3,3,4,0,0,2,1,1,12,10,2,0,7,3,0,3,1,56,31,21,0,10,25,8,6,9,2,34,22,19,3,0,12,10,2,8,1,0,0,0,1,7,6,0,1,38,1,1,0,0,37,5,9,3,0,2,18
"E01000874",943,168,118,14,13,57,18,3,0,3,10,50,0,9,1,40,362,44,8,6,30,0,0,55,43,5,7,55,55,208,67,73,18,7,2,2,39,241,4,1,0,3,11,5,6,1,1,75,58,11,6,150,0,2,84,50,0,14,66,49,8,15,9,17,0,17,17,16,0,0,4,0,0,0,4,0,1,0,0,1,11,2,2,6,1,29,14,9,0,5,15,7,6,2,0,38,26,22,3,1,12,11,1,4,3,0,1,1,1,1,1,0,0,19,1,0,0,1,18,0,3,3,0,1,11
"E01000875",982,97,54,3,4,28,3,1,1,6,8,43,0,22,2,19,304,57,7,18,28,1,3,28,14,3,11,56,56,163,26,80,18,3,3,3,30,232,18,4,2,12,9,5,4,3,3,86,68,10,8,116,2,2,40,58,0,14,87,66,10,22,19,13,2,21,21,52,0,0,4,0,1,0,3,0,20,15,5,0,28,3,3,20,2,58,37,20,3,14,21,7,8,5,1,59,47,37,7,3,12,11,1,15,3,0,1,2,0,12,10,2,0,78,1,0,1,0,77,6,17,11,1,2,40
"E01000876",839,113,63,6,6,35,3,2,0,1,10,50,0,23,3,24,251,46,5,2,36,0,3,35,19,7,9,50,50,120,32,42,12,4,0,6,24,143,14,7,3,4,6,1,5,5,5,43,29,10,4,75,0,4,39,21,0,11,79,58,10,16,8,23,1,21,21,42,2,2,3,0,0,1,2,0,15,12,2,1,22,2,0,20,0,51,34,18,2,14,17,5,4,3,5,55,47,40,3,4,8,7,1,22,6,0,1,1,4,16,13,3,0,83,2,0,1,1,81,5,21,15,3,4,33
"E01000877",973,148,106,9,5,49,17,3,2,4,17,42,0,11,0,31,354,52,4,10,38,0,0,48,25,12,11,62,62,192,38,92,16,4,3,3,36,236,11,3,1,7,10,2,8,6,6,75,47,16,12,134,0,3,47,70,0,14,86,53,5,18,9,16,5,33,33,28,1,1,3,0,1,1,1,0,11,8,2,1,13,1,0,10,2,27,13,10,0,3,14,4,7,2,1,34,22,15,5,2,12,9,3,24,8,2,2,1,3,16,15,1,0,36,3,2,0,1,33,0,9,5,2,2,15
"E01000878",675,150,107,13,10,50,19,0,1,2,12,43,0,7,2,34,198,34,4,10,20,0,0,28,19,6,3,29,29,107,29,51,7,4,0,1,15,145,2,0,0,2,7,1,6,2,2,29,19,8,2,105,2,4,45,48,0,6,48,30,0,9,6,14,1,18,18,24,0,0,8,0,1,0,7,0,6,3,3,0,10,0,0,8,2,33,15,11,0,4,18,3,2,12,1,39,34,29,4,1,5,3,2,12,4,2,1,1,0,8,5,0,3,26,0,0,0,0,26,1,7,1,0,0,17
"E01000879",737,154,110,8,8,42,35,2,0,2,13,44,0,12,0,32,248,40,9,5,24,1,1,34,23,7,4,54,54,120,36,48,12,7,2,0,15,159,2,0,2,0,6,3,3,1,1,51,41,4,6,99,0,1,51,40,0,7,53,36,8,12,1,11,4,17,17,35,1,1,4,0,1,1,2,0,6,4,2,0,24,0,0,23,1,28,18,10,2,6,10,5,0,2,3,29,24,23,1,0,5,4,1,1,1,1,0,0,0,0,0,0,0,30,1,0,1,0,29,5,5,2,1,2,14
"E01000880",790,199,149,11,9,74,36,2,1,3,13,50,1,13,0,36,279,44,5,2,35,1,1,43,34,6,3,43,43,149,44,66,11,2,1,4,21,168,7,2,1,4,4,3,1,0,0,53,39,6,8,104,0,2,68,24,0,10,54,32,3,13,1,12,3,22,22,16,4,4,5,0,0,0,3,2,5,4,1,0,2,0,0,1,1,44,13,9,0,4,31,4,7,19,1,11,10,7,1,2,1,1,0,7,4,1,1,1,1,3,2,1,0,12,1,0,1,0,11,1,5,1,0,1,3
"E01000881",795,159,113,12,10,41,30,1,1,1,17,46,0,11,1,34,257,53,13,6,33,0,1,34,24,7,3,34,34,136,44,49,11,6,4,1,21,186,8,3,2,3,8,6,2,1,1,60,48,11,1,109,0,2,56,37,0,14,72,47,8,20,2,16,1,25,25,28,0,0,5,0,1,0,4,0,7,6,0,1,16,2,0,14,0,30,22,13,0,9,8,1,4,0,3,28,22,20,1,1,6,6,0,6,2,0,1,0,1,4,3,0,1,29,3,1,1,1,26,3,4,6,1,3,9
"E01000882",954,221,156,25,12,71,26,2,0,1,19,65,1,24,1,39,338,55,6,14,29,1,5,55,44,6,5,38,38,190,55,82,20,0,0,3,30,248,11,1,6,4,11,7,4,0,0,79,58,16,5,147,0,3,76,55,0,13,65,43,7,14,4,11,7,22,22,12,0,0,3,0,0,1,2,0,2,1,1,0,7,1,1,5,0,26,8,4,0,4,18,8,5,4,1,23,20,17,2,1,3,3,0,3,1,0,1,0,0,2,2,0,0,18,0,0,0,0,18,0,3,1,1,2,11
"E01000883",717,140,101,9,4,50,28,2,0,0,8,39,1,8,1,29,257,49,7,4,35,0,3,47,35,8,4,26,26,135,34,62,11,1,0,2,25,175,6,1,3,2,3,2,1,1,1,39,27,10,2,126,0,2,71,39,0,14,50,32,4,17,0,7,4,18,18,13,2,2,1,0,0,0,1,0,5,2,3,0,5,0,0,4,1,28,16,15,0,1,12,5,2,4,1,25,20,14,5,1,5,3,2,6,2,0,1,1,0,4,4,0,0,23,0,0,0,0,23,1,9,2,0,1,10
"E01000884",716,192,149,14,9,70,32,1,0,2,21,43,0,7,0,36,217,23,2,7,14,0,0,42,30,12,0,26,26,126,46,44,13,2,1,2,18,149,1,1,0,0,7,4,3,0,0,45,26,12,7,96,0,4,44,39,0,9,53,40,3,12,5,18,2,13,13,9,1,1,0,0,0,0,0,0,4,4,0,0,4,2,0,1,1,44,23,17,0,6,21,4,4,11,2,22,20,16,2,2,2,1,1,7,2,0,0,2,0,5,4,0,1,23,2,2,0,0,21,1,9,1,1,3,6
"E01000885",664,163,112,13,12,56,20,0,0,1,10,51,1,3,1,46,208,40,11,4,22,1,2,27,22,4,1,26,26,115,38,37,12,4,2,0,22,163,3,0,3,0,4,0,4,1,1,63,45,13,5,92,0,1,53,31,0,7,41,32,2,11,2,16,1,9,9,11,2,2,1,0,0,1,0,0,3,2,1,0,5,0,0,4,1,44,20,14,1,5,24,1,6,17,0,13,10,9,0,1,3,3,0,2,1,0,0,1,0,1,1,0,0,19,1,1,0,0,18,4,6,1,1,0,6
"E01000886",802,109,71,3,9,46,1,2,0,3,7,38,0,8,2,28,307,57,8,9,36,1,3,54,35,10,9,66,66,130,25,38,19,2,3,2,41,192,8,4,1,3,14,6,8,1,1,106,91,12,3,63,1,1,19,34,0,8,52,37,9,7,10,6,5,15,15,33,3,3,5,1,2,0,2,0,16,5,5,6,9,1,1,5,2,49,33,13,3,17,16,13,3,0,0,30,24,18,4,2,6,6,0,3,0,0,0,0,0,3,2,1,0,27,2,0,1,1,25,3,4,2,0,1,15
"E01000887",885,137,93,2,12,47,13,2,0,4,13,44,0,17,1,26,340,57,12,8,31,2,4,66,49,7,10,64,64,153,28,58,13,7,7,2,38,200,13,7,2,4,8,2,6,2,2,73,62,7,4,104,0,4,36,47,0,17,55,33,3,9,3,15,3,22,22,26,1,1,1,0,1,0,0,0,12,12,0,0,12,0,1,9,2,35,24,15,2,7,11,4,2,4,1,38,31,24,5,2,7,5,2,22,7,0,3,2,2,15,13,0,2,32,1,0,1,0,31,4,8,7,1,0,11
