"GeographyCode","QS201EW0001","QS201EW0002","QS201EW0003","QS201EW0004","QS201EW0005","QS201EW0006","QS201EW0007","QS201EW0008","QS201EW0009","QS201EW0010","QS201EW0011","QS201EW0012","QS201EW0013","QS201EW0014","QS201EW0015","QS201EW0016","QS201EW0017","QS201EW0018","QS201EW0019"
"E00004151",261,139,4,0,78,4,4,5,1,5,1,0,8,4,1,1,2,0,4
"E00004152",243,141,3,0,70,0,5,4,3,1,0,0,3,7,1,1,0,1,3
"E00004153",206,77,3,0,76,0,3,4,3,3,3,4,2,9,15,0,2,1,1
"E00004154",255,79,3,0,122,1,0,3,4,11,0,0,12,4,1,1,9,2,3
"E00004155",250,78,2,0,103,1,0,6,5,31,0,2,14,3,1,0,1,1,2
"E00004156",223,93,3,0,77,2,0,5,10,5,0,0,10,7,0,3,1,2,5
"E00004157",226,97,1,0,65,3,3,1,8,4,1,0,16,8,4,0,1,5,9
"E00004158",284,126,10,0,48,7,0,1,4,0,1,18,7,16,37,3,0,1,5
"E00004159",394,114,7,0,56,6,2,2,10,3,5,42,3,8,70,8,41,5,12
"E00004160",214,78,5,0,30,6,4,5,4,3,6,1,3,14,29,0,19,6,1
"E00004161",201,107,9,0,34,2,1,6,5,5,2,6,15,7,0,0,0,1,1
"E00004162",248,84,5,0,88,1,3,11,4,7,6,2,14,9,2,4,2,0,6
"E00004163",393,155,5,4,75,3,0,6,1,28,6,21,14,26,11,3,16,8,11
"E00004164",383,116,15,0,51,8,3,8,6,5,4,38,8,17,69,5,9,1,20
"E00004165",345,113,10,0,58,5,3,2,5,12,0,20,7,29,41,7,21,6,6
"E00004166",416,112,13,0,73,8,16,4,7,10,0,54,0,21,49,11,18,8,12
"E00004167",284,180,4,0,62,0,0,4,1,8,0,6,1,7,5,0,3,0,3
"E00004168",194,98,3,0,49,2,0,5,5,11,1,0,3,10,0,0,1,1,5
"E00004169",317,128,5,0,78,1,1,11,4,20,5,1,19,11,0,1,14,1,17
"E00004172",229,100,12,0,47,2,1,5,5,10,1,2,4,14,7,2,6,7,4
"E00004173",609,234,17,0,102,2,5,11,9,26,24,13,91,42,17,2,1,4,9
"E00004174",274,43,7,0,44,0,5,1,7,12,2,17,18,49,32,2,7,3,25
"E00004175",289,96,18,0,39,7,12,3,5,7,3,35,9,16,20,8,3,6,2
"E00004177",296,116,2,0,68,1,1,6,2,13,2,0,51,19,4,1,0,2,8
"E00004179",327,164,10,0,36,7,2,6,2,4,3,41,16,12,7,1,6,4,6
"E00004180",283,84,10,0,56,3,0,7,8,3,1,23,12,11,27,19,18,1,0
"E00004181",355,193,7,0,49,4,2,5,3,5,0,31,10,18,15,1,4,6,2
"E00004182",180,65,4,0,23,2,2,3,6,2,2,16,17,8,21,3,4,2,0
"E00004183",197,96,11,0,12,4,3,0,2,0,0,28,0,4,14,12,6,5,0
"E00004184",210,100,15,0,27,3,2,0,1,3,0,10,17,12,13,1,1,1,4
"E00004185",413,83,5,0,64,1,9,3,4,26,4,52,15,21,44,29,22,14,17
"E00004187",488,186,9,0,104,1,1,9,14,28,4,23,23,24,24,1,9,11,17
"E00004188",182,51,2,0,48,1,0,4,2,15,5,1,15,10,7,0,1,10,10
"E00004189",317,44,2,0,58,0,0,3,5,57,0,11,24,34,30,0,0,11,38
"E00004190",471,277,10,1,93,0,0,10,4,3,5,1,21,22,2,1,4,8,9
"E00004193",657,229,16,0,127,0,0,21,15,44,6,1,86,59,10,2,16,11,14
"E00004194",252,100,8,0,81,1,2,5,5,7,2,0,11,8,6,5,4,4,3
"E00004195",311,119,9,0,52,2,3,3,10,11,0,12,33,21,11,0,5,11,9
"E00004196",211,123,0,3,35,1,0,3,2,7,2,1,8,7,4,2,6,5,2
"E00004197",257,122,5,0,56,0,1,6,5,7,0,3,32,11,1,1,1,6,0
"E00004198",350,108,10,0,89,3,0,8,7,14,6,5,50,27,2,0,7,4,10
"E00004199",286,115,12,0,84,0,2,4,9,14,0,0,25,14,0,0,1,4,2
"E00004200",248,99,11,0,56,1,1,3,4,11,2,15,2,25,3,0,9,4,2
"E00004201",272,178,7,0,61,2,1,3,2,6,0,0,2,0,0,2,3,3,2
"E00004202",171,109,16,0,20,0,0,0,1,1,1,0,3,11,4,3,0,0,2
"E00004203",319,169,15,0,92,0,2,0,3,2,2,2,6,8,4,5,1,0,8
"E00004204",277,153,9,0,75,1,2,4,2,13,0,0,4,2,1,1,0,2,8
"E00004205",373,225,25,0,70,3,1,5,5,11,1,3,7,10,1,4,2,0,0
"E00004206",310,175,27,1,28,2,0,1,8,1,0,20,0,5,18,18,4,1,1
"E00004207",365,115,12,1,41,2,5,14,4,3,3,83,11,13,33,0,6,13,6
"E00004208",303,123,14,0,39,4,2,2,12,8,3,27,7,7,24,7,6,14,4
"E00004209",271,114,21,0,43,0,8,2,11,1,3,24,6,2,22,2,8,1,3
"E00004210",323,99,8,0,46,6,1,7,10,3,0,43,13,13,52,4,9,6,3
"E00004211",306,139,14,0,66,4,0,11,3,9,1,15,10,17,0,3,6,7,1
"E00004212",330,189,6,0,38,11,4,13,7,7,0,15,3,12,15,2,3,1,4
"E00004213",456,139,15,0,42,12,5,6,20,12,1,48,7,16,63,16,27,7,20
"E00004214",521,176,11,0,108,9,2,16,16,12,1,43,10,21,43,10,10,7,26
"E00004215",269,142,4,0,71,3,5,2,3,2,1,12,5,4,6,7,0,1,1
"E00004216",299,198,6,0,73,2,2,8,2,3,1,0,0,1,2,0,0,0,1
"E00004217",244,131,13,0,55,2,2,4,2,2,0,0,6,15,4,2,4,0,2
"E00004218",305,163,15,0,54,1,1,0,2,2,0,41,3,5,7,0,1,0,10
"E00004219",366,191,12,0,88,8,2,9,1,16,0,2,6,3,13,10,3,0,2
"E00004220",170,110,7,0,26,0,1,1,3,0,0,1,3,2,8,2,1,1,4
"E00004221",232,112,9,0,70,1,4,6,6,2,1,0,6,8,1,0,0,0,6
"E00004222",215,113,4,0,65,0,0,6,8,2,1,4,2,4,1,2,1,0,2
"E00004223",321,104,12,4,46,4,2,6,5,3,1,57,7,16,17,9,20,7,1
"E00004224",280,166,7,0,65,3,0,7,2,10,0,0,6,8,1,0,0,1,4
"E00004225",463,177,42,0,104,2,6,1,13,21,4,15,2,30,18,3,15,6,4
"E00004226",256,154,0,0,50,0,2,9,6,11,0,0,9,7,3,0,0,1,4
"E00004227",271,159,17,0,60,2,1,2,6,2,1,7,1,2,1,0,1,6,3
"E00004228",204,124,3,0,46,1,2,4,4,1,0,0,4,1,6,2,1,0,5
"E00004229",318,140,7,0,89,0,1,5,2,13,0,11,7,5,20,0,4,2,12
"E00004230",283,131,17,0,47,10,3,5,2,5,1,23,1,9,10,12,1,1,5
"E00004231",328,205,14,0,75,5,2,8,2,1,0,0,7,6,1,0,1,0,1
"E00004232",202,123,6,0,38,1,2,4,3,3,0,0,1,10,1,3,2,2,3
"E00004233",231,146,7,0,44,5,4,4,4,2,0,0,2,0,4,1,2,0,6
"E00004234",242,149,7,0,55,2,0,4,3,3,0,0,3,2,0,0,0,0,14
"E00004235",326,143,10,0,62,9,2,2,1,1,0,7,7,7,43,5,12,13,2
"E00004236",329,158,15,0,55,5,3,4,5,11,1,20,6,14,21,4,1,2,4
"E00004237",267,112,15,0,51,1,4,3,1,4,0,41,3,7,9,6,5,5,0
"E00004238",290,174,5,0,59,0,1,10,0,7,2,6,1,1,12,0,1,1,10
"E00004239",215,132,18,0,17,3,1,4,0,4,0,0,1,7,6,12,0,1,9
"E00004240",329,132,21,1,48,4,2,5,6,7,6,30,8,7,14,6,15,5,12
"E00004241",295,174,7,0,51,1,0,14,0,11,0,1,3,8,1,5,1,4,14
"E00004242",176,57,5,0,60,0,6,6,0,5,1,0,7,14,12,1,1,1,0
"E00004243",290,188,9,0,53,1,1,10,5,5,0,1,3,5,1,0,4,2,2
"E00004244",292,59,7,0,12,9,4,1,2,4,0,63,7,22,75,3,19,1,4
"E00004245",317,175,12,1,39,3,6,3,3,6,7,14,2,1,10,21,5,0,9
"E00004246",792,346,19,0,159,10,2,9,14,42,13,26,100,24,16,1,4,2,5
"E00004247",314,184,15,0,55,1,0,2,1,5,0,3,3,13,8,4,1,5,14
"E00004248",446,206,14,1,72,8,7,11,15,5,5,27,5,5,26,11,3,5,20
"E00004249",226,136,8,0,31,3,1,2,9,3,2,1,1,4,5,5,10,0,5
"E00004250",271,184,5,1,45,3,1,2,2,7,0,1,5,5,5,2,0,0,3
"E00004251",231,139,10,0,41,7,0,2,4,7,1,0,0,7,4,1,4,2,2
"E00004252",252,148,10,0,36,1,2,8,2,2,0,5,1,11,5,2,10,3,6
"E00004253",296,146,7,1,48,4,0,8,5,3,0,22,5,21,13,4,1,5,3
"E00004254",315,110,6,1,33,7,6,0,11,0,0,47,2,10,35,22,10,1,14
"E00004255",282,157,6,2,46,7,1,1,3,1,0,13,13,2,9,0,2,12,7
"E00004256",361,97,21,0,63,3,7,2,5,10,4,51,31,19,22,7,11,5,3
"E00004257",264,129,10,2,65,2,0,4,12,3,0,3,0,9,10,5,8,0,2
"E00004258",236,142,9,0,49,2,1,1,4,2,0,0,6,4,1,7,4,1,3
"E00004259",328,84,10,0,54,6,11,2,6,1,0,59,17,11,39,6,6,5,11
"E00004260",220,97,6,0,18,1,1,3,5,1,0,1,1,9,54,9,7,6,1
"E00004261",275,105,8,0,33,0,0,2,10,2,0,47,10,17,22,3,11,1,4
"E00004262",281,85,11,0,26,12,5,0,8,0,6,42,2,9,29,22,16,5,3
"E00004263",385,101,3,0,56,9,2,2,16,2,0,49,9,12,77,14,24,6,3
"E00004264",348,202,6,0,68,3,1,8,7,1,0,0,15,11,6,3,6,1,10
"E00004265",234,132,12,1,23,3,4,1,6,1,5,14,0,6,13,10,3,0,0
"E00004266",345,174,15,0,44,8,12,1,8,16,0,11,6,9,21,9,6,2,3
"E00004268",319,146,18,0,56,3,1,6,2,2,0,6,5,1,43,4,14,6,6
"E00004269",231,126,8,1,33,5,1,2,7,1,2,8,0,1,21,10,5,0,0
"E00004270",448,164,17,0,102,7,3,7,18,5,3,41,14,6,33,0,10,8,10
"E00004271",328,138,19,0,63,0,3,6,13,5,0,24,8,9,11,10,14,1,4
"E00004272",273,180,7,0,40,8,2,1,2,2,0,11,8,3,1,0,2,1,5
"E00004273",364,232,9,0,79,0,1,6,3,5,0,13,2,7,0,0,1,3,3
"E00004274",291,180,19,1,51,6,2,2,6,2,0,1,4,3,7,4,1,0,2
"E00004275",199,114,12,0,45,1,0,2,4,5,1,2,0,8,0,3,0,1,1
"E00004276",274,133,17,0,39,10,4,10,10,1,0,0,2,3,17,7,4,10,7
"E00004277",259,152,7,0,42,8,6,8,3,3,0,0,2,0,16,7,1,1,3
"E00004278",218,108,7,0,56,2,1,4,5,0,2,5,0,3,6,5,7,0,7
"E00004279",290,121,8,0,28,6,0,6,6,8,2,30,1,9,24,18,13,8,2
"E00004280",211,117,6,0,46,1,0,1,5,7,0,0,0,5,12,5,0,3,3
"E00004281",251,155,7,2,31,4,2,5,5,2,1,13,0,8,6,4,1,1,4
"E00004282",302,135,9,0,63,4,1,8,3,9,9,11,0,16,6,13,12,0,3
"E00004283",267,142,20,0,40,2,3,4,4,4,1,5,2,2,14,7,3,12,2
"E00004284",247,118,8,0,39,10,0,2,4,13,0,5,6,0,10,14,11,3,4
"E00004285",270,119,5,0,73,0,1,2,4,8,4,0,5,21,5,1,1,8,13
"E00004286",294,107,8,0,83,8,2,6,6,7,5,2,8,12,4,12,5,13,6
"E00004287",273,87,8,0,62,2,9,2,14,14,5,3,3,15,25,11,1,9,3
"E00004288",318,118,7,0,53,7,2,11,11,13,3,3,7,15,25,3,15,8,17
"E00004289",232,114,9,2,59,0,0,0,1,6,0,7,2,19,3,2,1,3,4
"E00004290",306,100,17,0,89,9,1,6,7,15,1,4,9,15,6,4,2,11,10
"E00004291",340,117,37,3,50,14,4,4,3,6,5,28,2,10,37,5,4,4,7
"E00004292",332,74,8,2,33,10,12,5,5,9,1,29,7,8,84,12,17,9,7
"E00004293",276,88,28,0,37,8,4,2,2,8,4,13,4,12,17,3,12,18,16
"E00004294",215,86,20,0,57,3,1,3,3,2,0,0,3,18,8,2,6,0,3
"E00004295",389,194,8,0,88,2,0,1,3,18,1,2,6,16,10,2,4,16,18
"E00004296",383,97,19,0,46,7,3,17,9,5,11,62,3,18,38,14,3,20,11
"E00004297",319,171,9,0,68,7,1,1,9,11,4,0,4,9,10,3,1,4,7
"E00004298",311,175,8,0,65,1,0,15,13,8,7,0,3,1,0,0,1,7,7
"E00004299",302,187,13,0,46,3,0,10,5,4,3,0,8,5,6,1,2,4,5
"E00004300",273,129,27,0,55,4,2,5,8,6,0,6,3,3,3,5,7,7,3
"E00004301",503,116,36,0,115,10,4,6,14,22,3,1,19,69,38,5,4,25,16
"E00004302",303,122,15,0,61,6,1,13,7,9,1,2,9,19,12,13,2,8,3
"E00004303",299,182,14,0,55,5,0,8,9,5,2,0,0,10,1,0,0,4,4
"E00004304",397,213,17,1,81,1,4,13,7,2,3,1,8,15,7,1,10,9,4
"E00004305",355,115,16,0,119,1,0,11,7,19,8,6,6,14,7,3,0,13,10
"E00004306",315,150,3,0,106,2,1,6,5,20,0,0,5,4,2,2,0,2,7
"E00004307",368,214,12,0,69,3,5,3,4,12,4,1,0,12,1,1,12,0,15
"E00004308",278,169,8,0,53,7,0,0,1,4,0,1,2,7,4,5,6,1,10
"E00004309",286,150,3,0,89,8,1,2,4,11,0,0,4,5,1,0,2,3,3
"E00004310",306,172,5,0,52,2,0,9,9,16,2,0,8,7,1,1,0,10,12
"E00004311",282,151,4,0,63,0,2,15,6,7,5,8,6,0,4,2,0,5,4
"E00004312",321,171,25,0,47,2,1,9,4,8,0,4,3,5,7,7,14,9,5
"E00004313",279,119,10,0,76,0,0,2,7,12,2,1,8,5,1,2,10,9,15
"E00004314",318,132,23,0,71,6,2,7,3,19,0,6,11,9,10,5,5,4,5
"E00004315",304,156,6,1,72,2,1,3,5,14,8,0,11,8,6,0,1,6,4
"E00004316",244,104,12,0,49,1,2,10,10,13,0,0,2,11,18,3,1,2,6
"E00004317",390,260,17,0,65,0,1,9,2,6,4,0,1,7,3,5,0,4,6
"E00004318",282,159,9,0,54,4,1,9,0,13,4,5,4,5,0,4,6,0,5
"E00004319",261,114,12,0,80,4,1,4,4,12,0,0,5,15,0,8,2,0,0
"E00004320",268,129,6,0,94,0,1,7,2,5,0,0,1,13,3,1,0,2,4
"E00004321",357,149,4,0,127,3,3,3,2,13,5,3,5,14,15,0,1,3,7
"E00004322",296,157,5,0,72,0,1,17,5,8,1,0,4,18,0,0,1,2,5
"E00004323",591,258,10,0,92,10,1,14,23,44,14,8,34,29,21,8,2,11,12
"E00004324",299,146,10,0,75,2,0,9,4,4,0,0,5,15,2,1,1,11,14
"E00004325",235,110,6,0,65,3,1,11,0,14,0,1,1,15,0,1,0,0,7
"E00004326",265,90,8,0,53,0,0,10,32,10,0,0,20,11,1,15,3,5,7
"E00004327",320,133,5,0,101,3,1,14,1,15,4,4,4,19,1,4,1,1,9
"E00004328",260,112,5,0,78,3,6,3,2,15,1,6,3,11,2,0,1,4,8
"E00004329",342,128,2,0,92,7,3,1,17,30,1,0,11,7,7,8,0,13,15
"E00004330",294,133,4,0,87,1,6,6,10,13,2,0,8,15,1,4,0,2,2
"E00004331",281,102,2,1,58,3,0,3,8,7,16,28,19,10,6,15,1,0,2
"E00004332",189,84,7,0,55,2,0,3,2,7,1,3,2,9,1,0,0,0,13
"E00004333",247,148,5,0,63,0,2,1,4,4,4,0,0,5,3,0,2,3,3
"E00004334",212,76,9,0,56,0,2,10,5,3,0,5,5,25,1,2,0,2,11
"E00004335",295,134,5,0,96,2,1,3,5,10,2,5,9,18,0,1,1,2,1
"E00004336",347,115,5,0,106,2,4,10,18,11,2,0,22,23,3,8,8,0,10
"E00004337",260,116,8,0,81,3,0,7,10,7,3,2,6,10,0,2,0,1,4
"E00004338",271,107,5,0,104,2,4,10,7,8,1,0,6,5,2,0,0,3,7
"E00004339",234,73,7,0,52,1,0,4,6,15,5,6,7,47,2,1,1,2,5
"E00004340",221,67,5,0,67,0,1,8,5,13,2,0,9,30,9,0,2,0,3
"E00004341",235,103,7,0,70,1,0,3,9,7,1,0,10,2,1,6,0,2,13
"E00004342",197,72,4,0,72,0,1,3,5,15,0,0,3,16,0,1,0,1,4
"E00004343",221,92,2,0,70,0,0,9,5,10,2,2,9,15,2,0,0,2,1
"E00004344",249,57,0,0,71,2,0,2,2,19,12,0,27,30,7,2,1,7,10
"E00004345",309,150,0,0,68,0,1,9,11,4,2,1,9,31,2,2,3,2,14
"E00004346",299,174,6,0,44,6,0,14,3,8,0,0,0,22,0,2,0,14,6
"E00004347",247,120,3,0,74,7,0,6,3,16,0,0,3,9,2,1,0,0,3
"E00004348",279,109,6,0,89,6,0,8,1,16,3,0,0,10,20,1,0,4,6
"E00004349",344,186,7,0,99,0,2,9,6,8,0,0,1,8,1,1,4,0,12
"E00004350",268,133,10,0,67,0,0,12,8,6,3,0,3,16,0,1,0,2,7
"E00004351",294,164,11,0,56,1,3,4,6,6,0,0,6,19,3,1,3,4,7
"E00004352",303,156,10,0,80,1,0,1,12,11,6,0,2,15,0,1,0,0,8
"E00004353",251,122,3,0,48,0,1,14,7,18,4,1,7,18,3,0,2,0,3
"E00004354",250,111,16,0,73,0,1,5,2,14,5,0,0,9,2,0,1,0,11
"E00004355",261,149,6,0,68,1,1,4,2,7,0,0,3,3,3,4,1,1,8
"E00004356",315,156,6,1,109,0,1,2,6,6,1,0,6,15,0,0,0,0,6
"E00004357",350,155,3,0,120,0,0,14,8,12,2,3,16,7,2,1,1,0,6
"E00004358",272,116,8,0,60,0,1,12,2,18,2,0,4,10,14,9,2,8,6
"E00004359",314,159,18,0,64,1,3,18,6,9,0,0,8,5,0,0,3,0,20
"E00004360",275,107,5,0,91,5,3,3,10,16,0,0,10,3,5,4,1,2,10
"E00004361",369,219,9,0,85,1,1,4,3,6,2,0,7,8,4,3,8,1,8
"E00004362",336,151,13,0,38,11,10,7,11,0,0,32,5,17,20,11,0,1,9
"E00004363",416,171,11,0,45,3,10,0,4,3,1,46,6,27,28,14,19,10,18
"E00004364",550,267,20,2,67,5,6,5,15,4,0,54,0,26,33,11,9,6,20
"E00004365",251,130,7,0,70,1,0,3,6,4,0,1,4,10,0,5,2,0,8
"E00004366",281,121,23,0,37,0,10,1,5,0,0,19,1,2,46,2,10,1,3
"E00004367",347,127,15,0,64,8,0,8,4,7,0,39,10,7,29,4,10,3,12
"E00004368",362,163,10,1,118,1,1,16,5,15,2,4,8,8,0,1,2,1,6
"E00004369",267,152,11,0,31,2,0,3,6,5,1,18,1,4,13,10,1,6,3
"E00004370",243,138,17,0,17,1,2,3,3,3,2,13,4,7,10,5,12,1,5
"E00004371",227,97,6,0,25,11,0,4,7,1,0,14,5,9,27,4,7,6,4
"E00004372",305,142,9,0,40,2,3,5,6,1,0,40,6,10,24,5,3,1,8
"E00004373",336,136,14,0,46,6,7,2,8,0,0,31,3,6,40,7,7,4,19
"E00004374",229,102,12,0,19,2,7,4,8,0,4,19,1,16,19,6,7,0,3
"E00004375",253,134,5,0,75,4,0,4,5,6,0,1,1,6,0,1,3,1,7
"E00004376",401,206,18,0,47,8,8,2,8,1,6,25,6,1,29,13,12,4,7
"E00004377",222,69,12,0,17,2,2,9,1,0,3,30,3,2,37,17,16,0,2
"E00004378",309,171,8,0,61,11,5,3,1,4,0,4,3,16,11,2,8,1,0
"E00004379",267,168,10,0,50,5,2,8,2,5,0,0,4,1,0,4,0,1,7
"E00004380",347,127,9,0,42,1,2,2,4,7,0,75,2,3,25,10,19,5,14
"E00004381",286,164,11,4,53,2,2,3,20,5,0,2,2,7,1,0,0,8,2
"E00004382",291,201,2,1,48,3,1,6,6,4,0,0,1,9,3,0,0,0,6
"E00004383",206,130,18,0,39,2,3,0,0,2,0,0,1,1,0,2,2,4,2
"E00004384",220,139,7,2,53,3,1,5,2,3,0,0,0,2,1,1,1,0,0
"E00004385",226,130,9,0,47,3,0,5,9,3,2,0,4,4,0,4,2,1,3
"E00004386",258,162,7,1,63,10,0,2,1,0,0,0,3,1,0,5,0,0,3
"E00004387",203,111,3,0,59,0,2,3,3,7,0,1,3,4,1,0,0,0,6
"E00004388",235,126,15,0,48,0,1,11,5,2,1,5,2,4,3,1,0,0,11
"E00004389",275,180,5,0,51,1,3,10,2,6,1,6,3,2,2,0,1,0,2
"E00004390",275,149,7,1,43,0,3,4,13,6,1,12,16,1,0,4,0,2,13
"E00004391",310,177,6,0,71,2,5,6,12,10,6,0,3,8,0,3,0,0,1
"E00004392",239,166,7,0,20,3,2,5,3,1,0,0,1,14,5,2,1,5,4
"E00004393",280,125,12,0,39,17,4,12,6,12,0,7,3,8,7,6,1,4,17
"E00004394",199,93,4,1,51,9,1,2,8,0,0,3,3,6,5,10,1,2,0
"E00004395",271,144,10,0,49,1,2,5,2,2,2,15,14,7,2,8,0,3,5
"E00004396",279,114,5,1,34,8,4,3,7,7,0,25,3,14,30,10,4,1,9
"E00004397",298,109,10,0,27,15,5,4,8,6,0,53,0,12,29,6,5,0,9
"E00004398",232,125,4,0,34,7,0,1,5,6,0,13,3,9,8,3,8,1,5
"E00004399",392,158,18,0,50,9,10,4,11,0,2,44,0,8,34,6,3,16,19
"E00004400",340,158,15,0,29,4,6,5,8,4,4,29,10,7,23,15,5,9,9
"E00004401",289,192,5,0,60,1,0,7,4,0,0,0,5,4,5,1,1,2,2
"E00004402",251,149,3,0,52,0,0,9,2,11,4,1,6,5,0,1,1,0,7
"E00004403",282,192,5,0,42,0,1,6,3,16,1,0,1,11,0,1,0,0,3
"E00004404",266,156,0,0,70,3,0,5,0,7,0,0,7,8,0,2,0,0,8
"E00004405",304,196,4,0,75,0,2,5,6,6,1,0,2,3,0,2,0,0,2
"E00004406",238,143,5,3,62,1,0,5,1,3,0,0,2,6,1,1,1,0,4
"E00004407",341,213,11,0,64,0,0,5,2,9,4,0,6,7,8,2,3,1,6
"E00004408",259,165,6,0,63,2,0,2,7,1,0,0,0,4,1,0,1,2,5
"E00004409",250,124,11,0,40,3,0,2,9,8,0,5,0,8,22,5,0,2,11
"E00004410",260,156,6,0,55,6,2,4,9,6,0,0,1,1,9,4,0,1,0
"E00004411",252,143,5,1,72,2,0,2,5,8,1,0,2,3,3,0,0,5,0
"E00004412",267,170,7,0,59,1,0,2,3,10,1,0,3,8,1,0,0,1,1
"E00004413",243,123,3,0,77,0,0,11,6,5,0,0,3,8,1,0,1,1,4
"E00004414",284,157,8,0,99,1,3,4,2,0,1,1,4,0,2,0,2,0,0
"E00004415",303,158,9,0,73,2,1,21,7,5,0,0,4,12,1,5,0,0,5
"E00004416",258,182,6,0,46,0,2,4,6,1,1,0,4,2,0,1,0,1,2
"E00004417",283,166,6,0,70,0,0,3,3,6,0,1,2,12,1,2,1,3,7
"E00004418",260,157,3,1,60,0,0,9,4,6,1,0,3,5,1,1,0,6,3
"E00004419",244,93,5,0,94,4,0,17,1,5,4,0,2,14,0,0,0,3,2
"E00004420",266,184,3,0,50,0,2,4,2,3,1,0,2,6,0,0,5,0,4
"E00004421",298,143,3,0,101,0,0,7,4,7,0,0,15,8,0,1,0,0,9
"E00004422",183,109,4,0,45,0,0,5,4,3,0,0,6,5,0,0,0,0,2
"E00004423",245,138,4,0,62,3,6,8,4,4,1,0,2,3,5,0,0,1,4
"E00004424",228,124,5,0,63,2,0,5,4,3,1,0,5,10,0,1,1,1,3
"E00004425",352,192,4,0,82,0,4,18,9,10,0,5,4,11,3,2,1,1,6
"E00004426",299,151,9,0,88,1,0,5,5,2,0,0,4,7,12,5,4,2,4
"E00004427",296,197,3,1,75,1,0,3,2,0,1,0,4,7,0,2,0,0,0
"E00004428",220,103,2,0,73,3,0,3,0,8,0,0,5,17,0,1,0,0,5
"E00004429",253,127,7,1,63,0,0,8,3,5,1,4,14,10,6,1,0,2,1
"E00004430",170,103,10,0,28,1,2,5,3,5,1,0,3,2,3,0,0,2,2
"E00004431",265,129,8,0,80,1,3,14,5,5,1,0,4,7,0,1,1,0,6
"E00004432",272,145,4,0,79,2,3,9,5,3,0,0,5,6,1,3,0,0,7
"E00004433",300,143,7,0,78,1,0,10,12,15,2,1,7,5,0,0,2,1,16
"E00004435",249,130,11,1,28,7,5,3,13,12,2,0,3,6,13,5,4,1,5
"E00004436",333,176,15,0,76,3,0,9,8,12,2,0,9,11,1,3,0,1,7
"E00004437",260,97,7,0,94,1,2,8,1,10,6,2,5,16,2,0,0,3,6
"E00004438",229,80,9,0,64,2,1,13,4,18,5,0,12,11,2,2,0,1,5
