"GeographyCode","QS203EW0001","QS203EW0002","QS203EW0003","QS203EW0004","QS203EW0005","QS203EW0006","QS203EW0007","QS203EW0008","QS203EW0009","QS203EW0010","QS203EW0011","QS203EW0012","QS203EW0013","QS203EW0014","QS203EW0015","QS203EW0016","QS203EW0017","QS203EW0018","QS203EW0019","QS203EW0020","QS203EW0021","QS203EW0022","QS203EW0023","QS203EW0024","QS203EW0025","QS203EW0026","QS203EW0027","QS203EW0028","QS203EW0029","QS203EW0030","QS203EW0031","QS203EW0032","QS203EW0033","QS203EW0034","QS203EW0035","QS203EW0036","QS203EW0037","QS203EW0038","QS203EW0039","QS203EW0040","QS203EW0041","QS203EW0042","QS203EW0043","QS203EW0044","QS203EW0045","QS203EW0046","QS203EW0047","QS203EW0048","QS203EW0049","QS203EW0050","QS203EW0051","QS203EW0052","QS203EW0053","QS203EW0054","QS203EW0055","QS203EW0056","QS203EW0057","QS203EW0058","QS203EW0059","QS203EW0060","QS203EW0061","QS203EW0062","QS203EW0063","QS203EW0064","QS203EW0065","QS203EW0066","QS203EW0067","QS203EW0068","QS203EW0069","QS203EW0070","QS203EW0071","QS203EW0072","QS203EW0073","QS203EW0074","QS203EW0075","QS203EW0076","QS203EW0077","QS203EW0078"
"E02000176",6373,4507,3251,3039,30,129,53,0,0,0,0,0,1,109,1146,885,676,154,168,96,19,46,193,209,1,84,22,102,261,21,240,254,37,28,6,10,12,187,16,6,117,10,38,2,766,195,55,140,235,51,61,123,174,9,118,25,10,12,157,63,94,5,614,483,383,100,10,103,18,8,10,232,0,231,162,69,1,0
"E02000177",8948,6921,5762,5479,39,129,81,34,0,2,5,0,1,247,904,649,507,83,72,92,60,51,149,142,8,41,10,83,255,19,236,653,103,158,30,51,77,386,21,208,64,10,83,6,827,141,50,91,96,28,20,48,453,320,44,21,15,53,133,63,70,4,392,192,147,45,5,126,69,28,41,154,2,150,108,42,2,1
"E02000178",8857,6507,4838,4509,59,167,101,1,1,2,1,0,0,439,1227,933,637,125,74,151,41,87,159,296,16,115,14,151,294,28,266,758,103,213,68,70,75,434,23,176,99,21,115,8,926,275,89,186,133,43,25,65,342,146,106,22,24,44,169,90,79,7,406,163,108,55,24,143,76,32,44,260,0,256,133,123,4,0
"E02000179",6329,4566,3573,3395,33,100,45,0,0,3,1,0,0,113,876,606,453,106,97,82,20,48,100,153,5,52,5,91,270,20,250,470,49,107,21,36,50,309,13,137,69,22,68,5,736,182,60,122,179,28,45,106,260,135,84,20,1,20,113,54,59,2,421,272,214,58,12,108,29,11,18,136,0,133,87,46,3,0
"E02000180",8202,6323,5119,4792,51,168,97,0,11,0,3,0,1,209,991,761,580,102,111,116,66,66,119,181,5,73,12,91,230,41,189,530,64,107,18,49,40,359,19,138,50,9,143,0,832,123,44,79,205,126,35,44,350,233,67,8,13,29,148,47,101,6,359,179,123,56,10,103,67,15,52,158,0,158,113,45,0,0
"E02000181",7708,5606,4191,3924,55,132,78,0,2,2,2,0,3,194,1214,967,786,199,136,153,18,67,213,181,4,53,22,102,247,24,223,418,51,73,11,31,31,293,18,40,161,15,59,1,850,246,78,168,236,43,45,148,237,40,134,21,20,22,125,28,97,6,473,326,242,84,19,93,35,17,18,361,0,360,206,154,1,0
"E02000182",6697,4116,3006,2872,22,69,42,0,1,0,3,0,2,86,1019,658,507,132,98,74,25,40,138,151,5,35,25,86,361,40,321,407,77,108,11,77,20,216,24,56,82,5,49,6,1520,363,171,192,536,70,33,433,422,93,212,62,24,31,185,56,129,14,494,346,299,47,8,113,27,9,18,160,0,157,108,49,3,0
"E02000183",7913,6090,4967,4669,65,141,91,0,1,0,1,0,3,195,924,744,603,104,136,118,31,36,178,141,3,36,12,90,180,22,158,375,71,65,15,30,20,239,21,44,99,14,61,0,569,128,46,82,96,28,27,41,213,108,69,10,20,6,129,45,84,3,653,474,365,109,38,103,38,14,24,226,0,224,151,73,2,0
"E02000184",8882,6545,5180,4921,63,134,60,0,2,1,4,0,0,222,1138,822,618,123,77,108,56,87,167,204,7,78,18,101,316,38,278,643,86,158,41,47,70,398,18,206,67,7,100,1,1104,157,45,112,199,65,39,95,531,395,54,17,6,59,161,59,102,56,436,198,140,58,15,170,53,21,32,154,0,154,111,43,0,0
"E02000185",8290,5799,4242,4019,58,106,58,1,0,1,1,0,0,363,1192,812,537,91,85,101,64,64,132,275,20,111,14,130,380,19,361,784,186,165,39,73,53,433,24,219,42,4,144,0,1132,365,113,252,118,33,18,67,426,185,112,29,33,67,210,110,100,13,421,171,129,42,10,160,80,27,53,154,0,152,87,65,2,0
"E02000186",6687,4861,3689,3467,48,126,48,0,0,1,1,0,1,185,984,768,601,159,89,95,56,74,128,167,3,64,16,84,216,24,192,405,46,94,23,29,42,260,25,87,63,12,73,5,845,272,58,214,153,40,31,82,268,155,75,12,11,15,141,51,90,11,403,270,218,52,13,87,33,13,20,173,0,171,127,44,2,0
"E02000187",8155,5783,4698,4518,43,92,41,3,1,0,2,0,0,203,880,657,456,65,51,92,82,62,104,201,11,47,10,133,223,55,168,749,91,204,40,51,113,452,14,277,17,5,139,2,1317,125,21,104,203,94,44,65,793,676,53,23,7,34,193,81,112,3,242,84,55,29,7,109,42,6,36,64,0,63,48,15,1,0
"E02000188",8322,5692,4566,4315,38,161,49,1,2,1,1,0,0,154,970,667,477,85,57,86,53,70,126,190,12,64,19,95,303,27,276,520,75,146,39,50,57,298,16,158,24,13,87,1,1623,116,28,88,264,135,80,49,848,660,90,33,10,55,387,107,280,8,289,125,96,29,6,102,56,10,46,198,0,197,163,34,1,0
"E02000189",5944,3943,2937,2780,25,86,41,2,3,1,1,1,2,79,922,778,500,136,85,89,32,69,89,278,7,188,7,76,144,15,129,513,63,103,14,35,54,345,21,179,41,10,94,2,1078,69,14,55,255,118,44,93,580,444,86,18,9,23,173,58,115,1,295,176,114,62,8,70,41,13,28,115,0,114,84,30,1,0
"E02000190",7530,5124,3791,3542,42,112,93,0,2,3,7,1,1,133,1188,982,743,185,96,139,49,74,200,239,10,96,18,115,206,28,178,423,62,86,21,26,39,274,15,106,40,10,103,1,1446,121,46,75,471,215,106,150,461,306,77,46,20,12,379,69,310,14,439,277,197,80,25,102,35,10,25,98,0,95,70,25,3,0
"E02000191",7497,4889,3434,3205,48,102,78,0,1,1,2,0,0,115,1337,1147,851,231,120,141,30,106,223,296,14,136,26,120,190,18,172,304,60,56,7,24,25,184,13,26,44,8,93,4,1647,168,40,128,571,268,128,175,440,183,173,62,9,13,448,75,373,20,486,319,259,60,32,113,22,3,19,171,0,171,134,37,0,0
"E02000192",7157,5240,4123,3889,34,142,55,0,3,0,3,1,0,122,991,758,608,105,79,163,46,57,158,150,15,52,12,71,233,40,193,409,52,122,26,36,60,234,21,60,32,5,116,1,1035,95,27,68,165,57,46,62,593,496,55,24,11,7,174,74,100,8,345,176,136,40,13,110,46,12,34,128,0,127,93,34,1,0
"E02000193",7630,5318,3934,3659,36,142,95,0,2,0,1,0,2,142,1239,969,774,165,123,185,33,90,178,195,15,94,9,77,270,46,224,446,176,59,5,22,32,204,27,34,55,7,81,7,1160,103,19,84,428,170,146,112,353,160,140,24,19,10,260,41,219,16,476,334,240,94,10,109,23,10,13,230,0,226,161,65,4,0
