OPR_DESC_TXT,BUS_SVC_NO_TXT,BUS_DIRCTN_TXT,BUS_ROUTE_SEQ_NUM,RD_NAM,BUS_STOP_DESC_TXT,OP_HR_1_TXT,OP_HR_2_TXT,ORIG_DEST_TXT,FARE_TXT,SVC_IND_CD,LATTD_TXT,LONGTD_TXT,BUS_STOP_CD,NO_SVC_IND,WEBSITE_TXT,CONTACT_TXT
"The MCST Plan No. 2474","-","1","1","Duchess Place","Outside Duchess Crest outside House 8 of The Tiara","9.30am to 4.50pm/ 30 minutes (Monday to Friday)",,"Duchess Crest Condominium to Orchard Road","$3.30","PREMIUM","1.32444000000000","103.80222000000000",,"Y",,"Email: mcst2474@singnet.com.sg Phone: 6462 5033"
"The MCST Plan No. 2474","-","1","2","Holland Avenue","Holland Village MRT Station passenger pick-up/ drop-off point","9.30am to 4.50pm/ 30 minutes (Monday to Friday)",,"Duchess Crest Condominium to Orchard Road","$3.30","PREMIUM","1.31224029631500","103.79639912254300",,"Y",,"Email: mcst2474@singnet.com.sg Phone: 6462 5033"
"The MCST Plan No. 2474","-","1","3","Napier Road","Bus stop opposite British Council","9.30am to 4.50pm/ 30 minutes (Monday to Friday)",,"Duchess Crest Condominium to Orchard Road","$3.30","PREMIUM","1.30581022717124","103.82182231623018","09149","Y",,"Email: mcst2474@singnet.com.sg Phone: 6462 5033"
"The MCST Plan No. 2474","-","1","4","Angullia Park","Wheelock Place passenger pick-up point","9.30am to 4.50pm/ 30 minutes (Monday to Friday)",,"Duchess Crest Condominium to Orchard Road","$3.30","PREMIUM","1.30483000000000","103.83018000000000",,"Y",,"Email: mcst2474@singnet.com.sg Phone: 6462 5033"
"The MCST Plan No. 2474","-","1","5","Farrer Road","Bus stop outside Farrer Road MRT Station","9.30am to 4.50pm/ 30 minutes (Monday to Friday)",,"Duchess Crest Condominium to Orchard Road","$3.30","PREMIUM","1.31780157259006","103.80771866952543","11111","Y",,"Email: mcst2474@singnet.com.sg Phone: 6462 5033"
"The MCST Plan No. 2474","-","1","6","Duchess Place","Outside Duchess Crest outside House 8 of The Tiara","9.30am to 4.50pm/ 30 minutes (Monday to Friday)",,"Duchess Crest Condominium to Orchard Road","$3.30","PREMIUM","1.32444000000000","103.80222000000000",,"Y",,"Email: mcst2474@singnet.com.sg Phone: 6462 5033"
"The MCST Plan No. 2474","-","1","1","Duchess Place","Outside Duchess Crest outside House 8 of The Tiara","7.30am to 9.30am/ 30 minutes (Monday to Saturday)",,"Duchess Crest Condominium to Newton MRT Station","$3.30","PREMIUM","1.32444000000000","103.80222000000000",,"Y",,"Email: mcst2474@singnet.com.sg Phone: 6462 5033"
"The MCST Plan No. 2474","-","1","2","Farrer Road","Bus stop outside Farrer Road MRT Station","7.30am to 9.30am/ 30 minutes (Monday to Saturday)",,"Duchess Crest Condominium to Newton MRT Station","$3.30","PREMIUM","1.31780157259006","103.80771866952543","11111","Y",,"Email: mcst2474@singnet.com.sg Phone: 6462 5033"
"The MCST Plan No. 2474","-","1","3","Scotts Road","Bus stop outside Newton MRT Station","7.30am to 9.30am/ 30 minutes (Monday to Saturday)",,"Duchess Crest Condominium to Newton MRT Station","$3.30","PREMIUM","1.31223181292182","103.83816095637219","40189","Y",,"Email: mcst2474@singnet.com.sg Phone: 6462 5033"
"The MCST Plan No. 2474","-","1","4","Duchess Place","Outside Duchess Crest outside House 8 of The Tiara","7.30am to 9.30am/ 30 minutes (Monday to Saturday)",,"Duchess Crest Condominium to Newton MRT Station","$3.30","PREMIUM","1.32444000000000","103.80222000000000",,"Y",,"Email: mcst2474@singnet.com.sg Phone: 6462 5033"
"Hostlink","-","1","1","Tanjong Rhu Road","Bus stop opposite Pebble Bay Condominium","Morning peak: 7.10am to 8.50am from 1st stop.  Off-peak: 10.00am to 4.00pm from 1st stop","Evening peak: 5.35pm to 8.00pm from 1st stop.  (Mondays to Fridays excluding public holidays)","Tanjong Rhu Condominiums to Suntec City / Shenton Way (Peaks) / Orchard Road (Off-Peak)","Adult: $4.80 (Morning & Evening peaks only); $3.30 (Off-peak only) Child: $1.50","PREMIUM","1.29700669600000","103.87253090000000","90029","Y","http://www.hostlink.org/","Email:hostlinkservices@yahoo.com.sg"
"Hostlink","-","1","2","Tanjong Rhu Road","Bus stop outside Park Shore Condominium","Morning peak: 7.10am to 8.50am from 1st stop.  Off-peak: 10.00am to 4.00pm from 1st stop","Evening peak: 5.35pm to 8.00pm from 1st stop.  (Mondays to Fridays excluding public holidays)","Tanjong Rhu Condominiums to Suntec City / Shenton Way (Peaks) / Orchard Road (Off-Peak)","Adult: $4.80 (Morning & Evening peaks only); $3.30 (Off-peak only) Child: $1.50","PREMIUM","1.29697091500000","103.86961360000000","90019","Y","http://www.hostlink.org/","Email:hostlinkservices@yahoo.com.sg"
"Hostlink","-","1","3","Rhu Cross","Bus stop opposite Costa Rhu Condominium","Morning peak: 7.10am to 8.50am from 1st stop.  Off-peak: 10.00am to 4.00pm from 1st stop","Evening peak: 5.35pm to 8.00pm from 1st stop.  (Mondays to Fridays excluding public holidays)","Tanjong Rhu Condominiums to Suntec City / Shenton Way (Peaks) / Orchard Road (Off-Peak)","Adult: $4.80 (Morning & Evening peaks only); $3.30 (Off-peak only) Child: $1.50","PREMIUM","1.29760718200000","103.86732750000000","90079","Y","http://www.hostlink.org/","Email:hostlinkservices@yahoo.com.sg"
"Hostlink","-","1","4","Tanjong Rhu Road","Bus stop before Tanjong Rhu View","Morning peak: 7.10am to 8.50am from 1st stop.  Off-peak: 10.00am to 4.00pm from 1st stop","Evening peak: 5.35pm to 8.00pm from 1st stop.  (Mondays to Fridays excluding public holidays)","Tanjong Rhu Condominiums to Suntec City / Shenton Way (Peaks) / Orchard Road (Off-Peak)","Adult: $4.80 (Morning & Evening peaks only); $3.30 (Off-peak only) Child: $1.50","PREMIUM","1.29711286400000","103.86924820000000","90011","Y","http://www.hostlink.org/","Email:hostlinkservices@yahoo.com.sg"
"Hostlink","-","1","5","Tanjong Rhu Road","Bus stop outside Tanjong Ria Condominium","Morning peak: 7.10am to 8.50am from 1st stop.  Off-peak: 10.00am to 4.00pm from 1st stop","Evening peak: 5.35pm to 8.00pm from 1st stop.  (Mondays to Fridays excluding public holidays)","Tanjong Rhu Condominiums to Suntec City / Shenton Way (Peaks) / Orchard Road (Off-Peak)","Adult: $4.80 (Morning & Evening peaks only); $3.30 (Off-peak only) Child: $1.50","PREMIUM","1.29700637600000","103.87551080000000","90031","Y","http://www.hostlink.org/","Email:hostlinkservices@yahoo.com.sg"
"Hostlink","-","1","6","Tanjong Rhu Road","Bus stop outside Dunman High School","Morning peak: 7.10am to 8.50am from 1st stop.  Off-peak: 10.00am to 4.00pm from 1st stop","Evening peak: 5.35pm to 8.00pm from 1st stop.  (Mondays to Fridays excluding public holidays)","Tanjong Rhu Condominiums to Suntec City / Shenton Way (Peaks) / Orchard Road (Off-Peak)","Adult: $4.80 (Morning & Evening peaks only); $3.30 (Off-peak only) Child: $1.50","PREMIUM","1.29810636900000","103.88232310000000","90061","Y","http://www.hostlink.org/","Email:hostlinkservices@yahoo.com.sg"
"Hostlink","-","1","7","Temasek Boulevard","Bus stop outside Suntec Tower Three","Morning peak: 7.10am to 8.50am from 1st stop.  Off-peak: 10.00am to 4.00pm from 1st stop","Evening peak: 5.35pm to 8.00pm from 1st stop.  (Mondays to Fridays excluding public holidays)","Tanjong Rhu Condominiums to Suntec City / Shenton Way (Peaks) / Orchard Road (Off-Peak)","Adult: $4.80 (Morning & Evening peaks only); $3.30 (Off-peak only) Child: $1.50","PREMIUM","1.29560459800000","103.85955530000000","02149","Y","http://www.hostlink.org/","Email:hostlinkservices@yahoo.com.sg"
"Hostlink","-","1","8","Collyer Quay","Bus stop outside Clifford Pier","Morning peak: 7.10am to 8.50am from 1st stop.  Off-peak: 10.00am to 4.00pm from 1st stop","Evening peak: 5.35pm to 8.00pm from 1st stop.  (Mondays to Fridays excluding public holidays)","Tanjong Rhu Condominiums to Suntec City / Shenton Way (Peaks) / Orchard Road (Off-Peak)","Adult: $4.80 (Morning & Evening peaks only); $3.30 (Off-peak only) Child: $1.50","PREMIUM","1.28424500000000","103.85310810000000","03019","Y","http://www.hostlink.org/","Email:hostlinkservices@yahoo.com.sg"
"Hostlink","-","1","9","Raffles Quay","Bus stop outside One Raffles Quay","Morning peak: 7.10am to 8.50am from 1st stop.  Off-peak: 10.00am to 4.00pm from 1st stop","Evening peak: 5.35pm to 8.00pm from 1st stop.  (Mondays to Fridays excluding public holidays)","Tanjong Rhu Condominiums to Suntec City / Shenton Way (Peaks) / Orchard Road (Off-Peak)","Adult: $4.80 (Morning & Evening peaks only); $3.30 (Off-peak only) Child: $1.50","PREMIUM","1.28097649600000","103.85135650000000","03059","Y","http://www.hostlink.org/","Email:hostlinkservices@yahoo.com.sg"
"Hostlink","-","1","10","Shenton Way","Bus stop outside UIC Building","Morning peak: 7.10am to 8.50am from 1st stop.  Off-peak: 10.00am to 4.00pm from 1st stop","Evening peak: 5.35pm to 8.00pm from 1st stop.  (Mondays to Fridays excluding public holidays)","Tanjong Rhu Condominiums to Suntec City / Shenton Way (Peaks) / Orchard Road (Off-Peak)","Adult: $4.80 (Morning & Evening peaks only); $3.30 (Off-peak only) Child: $1.50","PREMIUM","1.27807003500000","103.84956720000000","03129","Y","http://www.hostlink.org/","Email:hostlinkservices@yahoo.com.sg"
"Hostlink","-","1","11","Shenton Way","Bus stop opposite Temasek Tower","Morning peak: 7.10am to 8.50am from 1st stop.  Off-peak: 10.00am to 4.00pm from 1st stop","Evening peak: 5.35pm to 8.00pm from 1st stop.  (Mondays to Fridays excluding public holidays)","Tanjong Rhu Condominiums to Suntec City / Shenton Way (Peaks) / Orchard Road (Off-Peak)","Adult: $4.80 (Morning & Evening peaks only); $3.30 (Off-peak only) Child: $1.50","PREMIUM","1.27543295900000","103.84786230000000","03217","Y","http://www.hostlink.org/","Email:hostlinkservices@yahoo.com.sg"
"Hostlink","-","1","12","Shenton Way","Bus stop opposite MAS Building","Morning peak: 7.10am to 8.50am from 1st stop.  Off-peak: 10.00am to 4.00pm from 1st stop","Evening peak: 5.35pm to 8.00pm from 1st stop.  (Mondays to Fridays excluding public holidays)","Tanjong Rhu Condominiums to Suntec City / Shenton Way (Peaks) / Orchard Road (Off-Peak)","Adult: $4.80 (Morning & Evening peaks only); $3.30 (Off-peak only) Child: $1.50","PREMIUM","1.27411665200000","103.84687810000000","03218","Y","http://www.hostlink.org/","Email:hostlinkservices@yahoo.com.sg"
"Hostlink","-","2","1","Anson Road","Bus stop outside Hub Synergy Point","Morning peak: 7.10am to 8.50am from 1st stop.  Off-peak: 10.00am to 4.00pm from 1st stop","Evening peak: 5.35pm to 8.00pm from 1st stop.  (Mondays to Fridays excluding public holidays)","Tanjong Rhu Condominiums to Suntec City / Shenton Way (Peaks) / Orchard Road (Off-Peak)","Adult: $4.80 (Morning & Evening peaks only); $3.30 (Off-peak only) Child: $1.50","PREMIUM","1.27397836900000","103.84489560000000","03222","Y","http://www.hostlink.org/","Email:hostlinkservices@yahoo.com.sg"
"Hostlink","-","2","2","Anson Road","Bus stop outside International Plaza","Morning peak: 7.10am to 8.50am from 1st stop.  Off-peak: 10.00am to 4.00pm from 1st stop","Evening peak: 5.35pm to 8.00pm from 1st stop.  (Mondays to Fridays excluding public holidays)","Tanjong Rhu Condominiums to Suntec City / Shenton Way (Peaks) / Orchard Road (Off-Peak)","Adult: $4.80 (Morning & Evening peaks only); $3.30 (Off-peak only) Child: $1.50","PREMIUM","1.27570339500000","103.84632470000000","03223","Y","http://www.hostlink.org/","Email:hostlinkservices@yahoo.com.sg"
"Hostlink","-","2","3","Robinson Road","Bus stop after Capital Tower","Morning peak: 7.10am to 8.50am from 1st stop.  Off-peak: 10.00am to 4.00pm from 1st stop","Evening peak: 5.35pm to 8.00pm from 1st stop.  (Mondays to Fridays excluding public holidays)","Tanjong Rhu Condominiums to Suntec City / Shenton Way (Peaks) / Orchard Road (Off-Peak)","Adult: $4.80 (Morning & Evening peaks only); $3.30 (Off-peak only) Child: $1.50","PREMIUM","1.27782595360790","103.84810117197290","03111","Y","http://www.hostlink.org/","Email:hostlinkservices@yahoo.com.sg"
"Hostlink","-","2","4","Robinson Road","Bus stop opposite The Ogilvy Centre","Morning peak: 7.10am to 8.50am from 1st stop.  Off-peak: 10.00am to 4.00pm from 1st stop","Evening peak: 5.35pm to 8.00pm from 1st stop.  (Mondays to Fridays excluding public holidays)","Tanjong Rhu Condominiums to Suntec City / Shenton Way (Peaks) / Orchard Road (Off-Peak)","Adult: $4.80 (Morning & Evening peaks only); $3.30 (Off-peak only) Child: $1.50","PREMIUM","1.27992132484601","103.84938031677060","03071","Y","http://www.hostlink.org/","Email:hostlinkservices@yahoo.com.sg"
"Hostlink","-","2","5","Robinson Road","Bus stop opposite AIA Tower","Morning peak: 7.10am to 8.50am from 1st stop.  Off-peak: 10.00am to 4.00pm from 1st stop","Evening peak: 5.35pm to 8.00pm from 1st stop.  (Mondays to Fridays excluding public holidays)","Tanjong Rhu Condominiums to Suntec City / Shenton Way (Peaks) / Orchard Road (Off-Peak)","Adult: $4.80 (Morning & Evening peaks only); $3.30 (Off-peak only) Child: $1.50","PREMIUM","1.28207492207952","103.85086074925066","03031","Y","http://www.hostlink.org/","Email:hostlinkservices@yahoo.com.sg"
"Hostlink","-","2","6","Fullerton Road","Bus stop outside Fullerton Square","Morning peak: 7.10am to 8.50am from 1st stop.  Off-peak: 10.00am to 4.00pm from 1st stop","Evening peak: 5.35pm to 8.00pm from 1st stop.  (Mondays to Fridays excluding public holidays)","Tanjong Rhu Condominiums to Suntec City / Shenton Way (Peaks) / Orchard Road (Off-Peak)","Adult: $4.80 (Morning & Evening peaks only); $3.30 (Off-peak only) Child: $1.50","PREMIUM","1.28559758900000","103.85333600000000","03011","Y","http://www.hostlink.org/","Email:hostlinkservices@yahoo.com.sg"
"Hostlink","-","2","7","Temasek Avenue","Bus stop outside Centennial Tower","Morning peak: 7.10am to 8.50am from 1st stop.  Off-peak: 10.00am to 4.00pm from 1st stop","Evening peak: 5.35pm to 8.00pm from 1st stop.  (Mondays to Fridays excluding public holidays)","Tanjong Rhu Condominiums to Suntec City / Shenton Way (Peaks) / Orchard Road (Off-Peak)","Adult: $4.80 (Morning & Evening peaks only); $3.30 (Off-peak only) Child: $1.50","PREMIUM","1.29345972000000","103.86061210000000","02169","Y","http://www.hostlink.org/","Email:hostlinkservices@yahoo.com.sg"
"Hostlink","-","2","8","Tanjong Rhu Road","Bus stop opposite Dunman High School","Morning peak: 7.10am to 8.50am from 1st stop.  Off-peak: 10.00am to 4.00pm from 1st stop","Evening peak: 5.35pm to 8.00pm from 1st stop.  (Mondays to Fridays excluding public holidays)","Tanjong Rhu Condominiums to Suntec City / Shenton Way (Peaks) / Orchard Road (Off-Peak)","Adult: $4.80 (Morning & Evening peaks only); $3.30 (Off-peak only) Child: $1.50","PREMIUM","1.29795474000000","103.88258180000000","90069","Y","http://www.hostlink.org/","Email:hostlinkservices@yahoo.com.sg"
"Hostlink","-","2","9","Tanjong Rhu Road","Bus stop opposite Tanjong Ria Condominium","Morning peak: 7.10am to 8.50am from 1st stop.  Off-peak: 10.00am to 4.00pm from 1st stop","Evening peak: 5.35pm to 8.00pm from 1st stop.  (Mondays to Fridays excluding public holidays)","Tanjong Rhu Condominiums to Suntec City / Shenton Way (Peaks) / Orchard Road (Off-Peak)","Adult: $4.80 (Morning & Evening peaks only); $3.30 (Off-peak only) Child: $1.50","PREMIUM","1.29663305700000","103.87539310000000","90039","Y","http://www.hostlink.org/","Email:hostlinkservices@yahoo.com.sg"
"Hostlink","-","2","10","Tanjong Rhu Road","Bus stop opposite Pebble Bay Condominium","Morning peak: 7.10am to 8.50am from 1st stop.  Off-peak: 10.00am to 4.00pm from 1st stop","Evening peak: 5.35pm to 8.00pm from 1st stop.  (Mondays to Fridays excluding public holidays)","Tanjong Rhu Condominiums to Suntec City / Shenton Way (Peaks) / Orchard Road (Off-Peak)","Adult: $4.80 (Morning & Evening peaks only); $3.30 (Off-peak only) Child: $1.50","PREMIUM","1.29700669600000","103.87253090000000","90029","Y","http://www.hostlink.org/","Email:hostlinkservices@yahoo.com.sg"
"Hostlink","-","2","11","Rhu Cross","Bus stop opposite Costa Rhu Condominium","Morning peak: 7.10am to 8.50am from 1st stop.  Off-peak: 10.00am to 4.00pm from 1st stop","Evening peak: 5.35pm to 8.00pm from 1st stop.  (Mondays to Fridays excluding public holidays)","Tanjong Rhu Condominiums to Suntec City / Shenton Way (Peaks) / Orchard Road (Off-Peak)","Adult: $4.80 (Morning & Evening peaks only); $3.30 (Off-peak only) Child: $1.50","PREMIUM","1.29760718200000","103.86732750000000","90079","Y","http://www.hostlink.org/","Email:hostlinkservices@yahoo.com.sg"
