"DatasetId","ColumnVariableCode","ColumnVariableMeasurementUnit","ColumnVariableDescription"
"KS201EW","KS201EW0034","Percentage","Black/African/Caribbean/Black British: Caribbean"
"KS201EW","KS201EW0035","Percentage","Black/African/Caribbean/Black British: Other Black"
"KS201EW","KS201EW0036","Percentage","Other ethnic group: Arab"
"KS201EW","KS201EW0037","Percentage","Other ethnic group: Any other ethnic group"
"KS202EW","KS202EW0001","Count","All categories: National identity English"
"KS202EW","KS202EW0002","Count","English only identity"
"KS202EW","KS202EW0003","Count","English and British only identity"
"KS202EW","KS202EW0004","Count","Other English combined background identity"
"KS202EW","KS202EW0005","Count","No English identity"
"KS202EW","KS202EW0006","Count","All categories: National identity Welsh"
"KS202EW","KS202EW0007","Count","Welsh only identity"
"KS202EW","KS202EW0008","Count","Welsh and British only identity"
"KS202EW","KS202EW0009","Count","Other Welsh combined background identity"
"KS202EW","KS202EW0010","Count","No Welsh identity"
"KS202EW","KS202EW0011","Count","All categories: National identity Scottish"
"KS202EW","KS202EW0012","Count","Scottish only identity"
"KS202EW","KS202EW0013","Count","Scottish and British only identity"
"KS202EW","KS202EW0014","Count","Other Scottish combined background identity"
"KS202EW","KS202EW0015","Count","No Scottish identity"
"KS202EW","KS202EW0016","Count","All categories: National identity Northern Irish"
"KS202EW","KS202EW0017","Count","Northern Irish only identity"
"KS202EW","KS202EW0018","Count","Northern Irish and British only identity"
"KS202EW","KS202EW0019","Count","Other Northern Irish combined background identity"
"KS202EW","KS202EW0020","Count","No Northern Irish identity"
"KS202EW","KS202EW0021","Count","All categories: National identity British"
"KS202EW","KS202EW0022","Count","British only identity"
"KS202EW","KS202EW0023","Count","British and any other identity"
"KS202EW","KS202EW0024","Count","No British identity"
"KS202EW","KS202EW0025","Count","All categories: National identity Cornish"
"KS202EW","KS202EW0026","Count","Cornish only identity"
"KS202EW","KS202EW0027","Count","Cornish and British only identity"
"KS202EW","KS202EW0028","Count","Cornish and at least one of English/Welsh/Scottish/Northern Irish identities (with or without British)"
"KS202EW","KS202EW0029","Count","No Cornish identity"
"KS202EW","KS202EW0030","Count","All categories: National identity Irish"
"KS202EW","KS202EW0031","Count","Irish only identity"
"KS202EW","KS202EW0032","Count","Irish and British only identity"
"KS202EW","KS202EW0033","Count","Irish and Northern Irish only identity"
"KS202EW","KS202EW0034","Count","Irish, Northern Irish and British only identity"
"KS202EW","KS202EW0035","Count","Irish and at least one of English/Welsh/Scottish identities (with or without British)"
"KS202EW","KS202EW0036","Count","Irish, Northern Irish and at least one of English/Welsh/Scottish identities (with or without British)"
"KS202EW","KS202EW0037","Count","No Irish identity"
"KS202EW","KS202EW0038","Count","All categories: National identity Other"
"KS202EW","KS202EW0039","Count","Other identities only"
"KS202EW","KS202EW0040","Count","Other identities and at least one of English/Welsh/Scottish/Northern Irish/British only"
"KS202EW","KS202EW0041","Count","At least one of English/Welsh/Scottish/Northern Irish/British identities only"
"KS202EW","KS202EW0042","Percentage","English only identity"
"KS202EW","KS202EW0043","Percentage","English and British only identity"
"KS202EW","KS202EW0044","Percentage","Other English combined background identity"
"KS202EW","KS202EW0045","Percentage","No English identity"
"KS202EW","KS202EW0046","Percentage","Welsh only identity"
"KS202EW","KS202EW0047","Percentage","Welsh and British only identity"
"KS202EW","KS202EW0048","Percentage","Other Welsh combined background identity"
"KS202EW","KS202EW0049","Percentage","No Welsh identity"
"KS202EW","KS202EW0050","Percentage","Scottish only identity"
"KS202EW","KS202EW0051","Percentage","Scottish and British only identity"
"KS202EW","KS202EW0052","Percentage","Other Scottish combined background identity"
"KS202EW","KS202EW0053","Percentage","No Scottish identity"
"KS202EW","KS202EW0054","Percentage","Northern Irish only identity"
"KS202EW","KS202EW0055","Percentage","Northern Irish and British only identity"
"KS202EW","KS202EW0056","Percentage","Other Northern Irish combined background identity"
"KS202EW","KS202EW0057","Percentage","No Northern Irish identity"
"KS202EW","KS202EW0058","Percentage","British only identity"
"KS202EW","KS202EW0059","Percentage","British and any other identity"
"KS202EW","KS202EW0060","Percentage","No British identity"
"KS202EW","KS202EW0061","Percentage","Cornish only identity"
"KS202EW","KS202EW0062","Percentage","Cornish and British only identity"
"KS202EW","KS202EW0063","Percentage","Cornish and at least one of English/Welsh/Scottish/Northern Irish identities (with or without British)"
"KS202EW","KS202EW0064","Percentage","No Cornish identity"
"KS202EW","KS202EW0065","Percentage","Irish only identity"
"KS202EW","KS202EW0066","Percentage","Irish and British only identity"
"KS202EW","KS202EW0067","Percentage","Irish and Northern Irish only identity"
"KS202EW","KS202EW0068","Percentage","Irish, Northern Irish and British only identity"
"KS202EW","KS202EW0069","Percentage","Irish and at least one of English/Welsh/Scottish identities (with or without British)"
"KS202EW","KS202EW0070","Percentage","Irish, Northern Irish and at least one of English/Welsh/Scottish identities (with or without British)"
"KS202EW","KS202EW0071","Percentage","No Irish identity"
"KS202EW","KS202EW0072","Percentage","Other identities only"
"KS202EW","KS202EW0073","Percentage","Other identities and at least one of English/Welsh/Scottish/Northern Irish/British only"
"KS202EW","KS202EW0074","Percentage","At least one of English/Welsh/Scottish/Northern Irish/British identities only"
"KS204EW","KS204EW0001","Count","All categories: Country of birth"
"KS204EW","KS204EW0002","Count","England"
"KS204EW","KS204EW0003","Count","Northern Ireland"
"KS204EW","KS204EW0004","Count","Scotland"
"KS204EW","KS204EW0005","Count","Wales"
"KS204EW","KS204EW0006","Count","United Kingdom not otherwise specified"
"KS204EW","KS204EW0007","Count","Ireland"
"KS204EW","KS204EW0008","Count","Other EU: Member countries in March 2001"
"KS204EW","KS204EW0009","Count","Other EU: Accession countries April 2001 to March 2011"
"KS204EW","KS204EW0010","Count","Other countries"
"KS204EW","KS204EW0011","Percentage","England"
"KS204EW","KS204EW0012","Percentage","Northern Ireland"
"KS204EW","KS204EW0013","Percentage","Scotland"
"KS204EW","KS204EW0014","Percentage","Wales"
"KS204EW","KS204EW0015","Percentage","United Kingdom not otherwise specified"
"KS204EW","KS204EW0016","Percentage","Ireland"
"KS204EW","KS204EW0017","Percentage","Other EU: Member countries in March 2001"
"KS204EW","KS204EW0018","Percentage","Other EU: Accession countries April 2001 to March 2011"
"KS204EW","KS204EW0019","Percentage","Other countries"
"KS205EW","KS205EW0001","Count","All usual residents"
"KS205EW","KS205EW0002","Count","No passport"
"KS205EW","KS205EW0003","Count","United Kingdom"
"KS205EW","KS205EW0004","Count","Republic of Ireland"
"KS205EW","KS205EW0005","Count","Other Europe: EU countries"
"KS205EW","KS205EW0006","Count","Other Europe: Non EU countries"
"KS205EW","KS205EW0007","Count","Africa"
"KS205EW","KS205EW0008","Count","Middle East and Asia"
"KS205EW","KS205EW0009","Count","North America and the Caribbean"
"KS205EW","KS205EW0010","Count","Central America"
"KS205EW","KS205EW0011","Count","South America"
"KS205EW","KS205EW0012","Count","Antarctica and Oceania"
"KS205EW","KS205EW0013","Count","British Overseas Territories"
"KS205EW","KS205EW0014","Percentage","No passport"
"KS205EW","KS205EW0015","Percentage","United Kingdom"
"KS205EW","KS205EW0016","Percentage","Republic of Ireland"
"KS205EW","KS205EW0017","Percentage","Other Europe: EU countries"
"KS205EW","KS205EW0018","Percentage","Other Europe: Non EU countries"
"KS205EW","KS205EW0019","Percentage","Africa"
"KS205EW","KS205EW0020","Percentage","Middle East and Asia"
"KS205EW","KS205EW0021","Percentage","North America and the Caribbean"
"KS205EW","KS205EW0022","Percentage","Central America"
"KS205EW","KS205EW0023","Percentage","South America"
"KS205EW","KS205EW0024","Percentage","Antarctica and Oceania"
"KS205EW","KS205EW0025","Percentage","British Overseas Territories"
"KS206EW","KS206EW0001","Count","All categories: English as a household language"
"KS206EW","KS206EW0002","Count","All people aged 16 and over in household have English as a main language (English or Welsh in Wales)"
"KS206EW","KS206EW0003","Count","At least one but not all people aged 16 and over in household have English as a main language (English or Welsh in Wales)"
"KS206EW","KS206EW0004","Count","No people aged 16 and over in household but at least one person aged 3 to 15 has English as a main language (English or Welsh in Wales)"
"KS206EW","KS206EW0005","Count","No people in household have English as a main language (English or Welsh in Wales)"
"KS206EW","KS206EW0006","Percentage","All people aged 16 and over in household have English as a main language (English or Welsh in Wales)"
"KS206EW","KS206EW0007","Percentage","At least one but not all people aged 16 and over in household have English as a main language (English or Welsh in Wales)"
"KS206EW","KS206EW0008","Percentage","No people aged 16 and over in household but at least one person aged 3 to 15 has English as a main language (English or Welsh in Wales)"
"KS206EW","KS206EW0009","Percentage","No people in household have English as a main language (English or Welsh in Wales)"
"KS207WA","KS207WA0001","Count","All usual residents aged 3 and over"
"KS207WA","KS207WA0002","Count","No skills in Welsh"
"KS207WA","KS207WA0003","Count","Can understand spoken Welsh only"
"KS207WA","KS207WA0004","Count","Can speak Welsh"
"KS207WA","KS207WA0005","Count","Can speak but cannot read or write Welsh"
"KS207WA","KS207WA0006","Count","Can speak and read but cannot write Welsh"
"KS207WA","KS207WA0007","Count","Can speak, read and write Welsh"
"KS207WA","KS207WA0008","Count","Other combination of skills in Welsh"
"KS207WA","KS207WA0009","Percentage","No skills in Welsh"
"KS207WA","KS207WA0010","Percentage","Can understand spoken Welsh only"
"KS207WA","KS207WA0011","Percentage","Can speak Welsh"
"KS207WA","KS207WA0012","Percentage","Can speak but cannot read or write Welsh"
"KS207WA","KS207WA0013","Percentage","Can speak and read but cannot write Welsh"
"KS207WA","KS207WA0014","Percentage","Can speak, read and write Welsh"
"KS207WA","KS207WA0015","Percentage","Other combination of skills in Welsh"
"KS208WA","KS208WA0001","Count","All categories: Age 3 and over"
"KS208WA","KS208WA0002","Count","Age 3 to 15"
"KS208WA","KS208WA0003","Count","Age 16 to 64"
"KS208WA","KS208WA0004","Count","Age 65 and over"
"KS208WA","KS208WA0005","Count","Can understand spoken Welsh only"
"KS208WA","KS208WA0006","Count","Can speak Welsh"
"KS208WA","KS208WA0007","Count","Can speak, read and write Welsh"
"KS208WA","KS208WA0008","Count","All categories: Can speak Welsh by age 3 and over"
"KS208WA","KS208WA0009","Count","Can speak Welsh: Age 3 to 15"
"KS208WA","KS208WA0010","Count","Can speak Welsh: Age 16 to 64"
"KS208WA","KS208WA0011","Count","Can speak Welsh: Age 65 and over"
"KS208WA","KS208WA0012","Count","All categories: One or more skills in Welsh age 3 and over"
"KS208WA","KS208WA0013","Count","One or more skills in Welsh: Age 3 to 15"
"KS208WA","KS208WA0014","Count","One or more skills in Welsh: Age 16 to 64"
"KS208WA","KS208WA0015","Count","One or more skills in Welsh: Age 65 and over"
"KS208WA","KS208WA0016","Percentage","Age 3 to 15"
"KS208WA","KS208WA0017","Percentage","Age 16 to 64"
"KS208WA","KS208WA0018","Percentage","Age 65 and over"
"KS208WA","KS208WA0019","Percentage","Can understand spoken Welsh only"
"KS208WA","KS208WA0020","Percentage","Can speak Welsh"
"KS208WA","KS208WA0021","Percentage","Can speak, read and write Welsh"
"KS208WA","KS208WA0022","Percentage","Can speak Welsh: Age 3 to 15"
"KS208WA","KS208WA0023","Percentage","Can speak Welsh: Age 16 to 64"
"KS208WA","KS208WA0024","Percentage","Can speak Welsh: Age 65 and over"
"KS208WA","KS208WA0025","Percentage","One or more skills in Welsh: Age 3 to 15"
"KS208WA","KS208WA0026","Percentage","One or more skills in Welsh: Age 16 to 64"
"KS208WA","KS208WA0027","Percentage","One or more skills in Welsh: Age 65 and over"
