"","Items","Findings","Cause","Area","Discipline","S","Interventions","NPV_shorterm"
"17","Pavement","1) Longitudinal and Transverse Cracks
2) Ponding of water possibly due to uneven surface","Deterioration","Airside","Civil","3","Repair the cracked areas with epoxy injection and level area to suite the design slope of the apron pavement",324000
"18","Pavement","1) Longitudinal and Transverse Cracks","Deterioration","Airside","Civil","3","Repair the cracked areas with epoxy injection",324000
"19","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of damaged and  stained tiles. Ensure proper maintenance to avoid moisture deterioration",682072
"20","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of damaged and  stained tiles. Ensure proper maintenance to avoid moisture deterioration",682016
"21","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of dameged and stained tiles. Ensure proper maintenance to avoid moisture deterioration",680012
"22","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of dameged and stained tiles. Ensure proper maintenance to avoid moisture deterioration",679076
"23","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of dameged and stained tiles. Ensure proper maintenance to avoid moisture deterioration",572616
"24","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of dameged and stained tiles. Ensure proper maintenance to avoid moisture deterioration",571232
"25","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of damaged and  stained tiles. Ensure proper maintenance to avoid moisture deterioration",556288
"26","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of damaged and  stained tiles. Ensure proper maintenance to avoid moisture deterioration",555960
"27","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of damaged and  stained tiles. Ensure proper maintenance to avoid moisture deterioration",555632
"28","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of dameged and stained tiles. Ensure proper maintenance to avoid moisture deterioration",553416
"29","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of dameged and stained tiles. Ensure proper maintenance to avoid moisture deterioration",553364
"30","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of dameged and stained tiles. Ensure proper maintenance to avoid moisture deterioration",553116
"31","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of damaged and  stained tiles. Ensure proper maintenance to avoid moisture deterioration",542560
"32","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of damaged and  stained tiles. Ensure proper maintenance to avoid moisture deterioration",528628
"33","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of damaged and  stained tiles. Ensure proper maintenance to avoid moisture deterioration",500380
"34","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of dameged and stained tiles. Ensure proper maintenance to avoid moisture deterioration",486084
"35","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of damaged and  stained tiles. Ensure proper maintenance to avoid moisture deterioration",463148
"36","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of damaged and  stained tiles. Ensure proper maintenance to avoid moisture deterioration",463036
"37","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of dameged and stained tiles. Ensure proper maintenance to avoid moisture deterioration",462232
"38","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of dameged and stained tiles. Ensure proper maintenance to avoid moisture deterioration",461624
"39","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of damaged and  stained tiles. Ensure proper maintenance to avoid moisture deterioration",458476
"40","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of damaged and  stained tiles. Ensure proper maintenance to avoid moisture deterioration",451496
"41","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of dameged and stained tiles. Ensure proper maintenance to avoid moisture deterioration",445480
"42","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of dameged and stained tiles. Ensure proper maintenance to avoid moisture deterioration",425772
"43","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of damaged and  stained tiles. Ensure proper maintenance to avoid moisture deterioration",421680
"44","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of dameged and stained tiles. Ensure proper maintenance to avoid moisture deterioration",406708
"45","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of damaged and  stained tiles. Ensure proper maintenance to avoid moisture deterioration",400288
"46","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of dameged and stained tiles. Ensure proper maintenance to avoid moisture deterioration",396840
"47","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of damaged and  stained tiles. Ensure proper maintenance to avoid moisture deterioration",391288
"48","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of damaged and  stained tiles. Ensure proper maintenance to avoid moisture deterioration",381844
"49","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of dameged and stained tiles. Ensure proper maintenance to avoid moisture deterioration",365540
"50","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of dameged and stained tiles. Ensure proper maintenance to avoid moisture deterioration",353572
"51","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of damaged and  stained tiles. Ensure proper maintenance to avoid moisture deterioration",248104
"52","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of dameged and stained tiles. Ensure proper maintenance to avoid moisture deterioration",193820
"53","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of dameged and stained tiles. Ensure proper maintenance to avoid moisture deterioration",178260
"54","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of damaged and  stained tiles. Ensure proper maintenance to avoid moisture deterioration",123620
"55","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of dameged and stained tiles. Ensure proper maintenance to avoid moisture deterioration",122336
"56","Floor Tiles","Damaged and stained floor tiles possibly due to poor maintenace that results to moisture deterioration","Deterioration","Terminal 1","Architectural","4","Replacement of damaged and  stained tiles. Ensure proper maintenance to avoid moisture deterioration",109948
"57","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",8525.9
"58","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",8525.2
"59","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",8500.15
"60","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",8488.45
"61","Floor Drains","Clogged Floor Drains","Deterioration","Terminal 1","Architectural","3","Declogged floor drains, and ensure regular maintenace to avoid the accumulation of debris on the drains",7340.16
"62","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",7157.7
"63","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",7140.4
"64","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",6953.6
"65","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",6949.5
"66","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",6945.4
"67","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",6917.7
"68","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",6917.05
"69","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",6913.95
"70","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",6782
"71","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",6607.85
"72","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",6254.75
"73","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",6076.05
"74","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",5789.35
"75","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",5787.95
"76","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",5777.9
"77","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",5770.3
"78","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",5730.95
"79","Floor Drains","Clogged Floor Drains","Deterioration","Terminal 1","Architectural","3","Declogged floor drains, and ensure regular maintenace to avoid the accumulation of debris on the drains",5726.16
"80","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",5643.7
"81","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",5568.5
"82","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",5322.15
"83","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",5271
"84","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",5083.85
"85","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",5003.6
"86","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",4960.5
"87","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",4891.1
"88","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",4773.05
"89","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",4569.25
"90","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",4419.65
"91","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",3101.3
"92","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",2422.75
"93","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",2228.25
"94","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",1545.25
"95","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",1529.2
"96","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 1","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",1374.35
"97","Normal Lighting","1.) 10% of the normal lightings are reported not to provide adequate level of services.
2.) 50% of the lightings were not yet LED.
3.) No spares for Lighting Bulbs & Fixtures.","Deterioration","Terminal 1","Electrical","5","Replacement of Normal Lightings",2755760
"98","Normal Lighting","1.) 40%of the normal lightings are reported not to provide adequate level of services.
2.) 50% of the lightings were not yet LED.
3.) No spares for Lighting Bulbs & Fixtures.","Deterioration","Terminal 1","Electrical","5","Replacement of Normal Lightings",2755760
"99","Outlets","1.) minor deterioration on covers of power outlets.","Deterioration","Terminal 1","Electrical","3","corrective interventon of small power outlets",497500
"100","General Lighting and Power Roughing - Ins and accessories","1.) 90% of the junction box were already corroded.
2.) Roughing - Ins tagging were not found on some areas.","Deterioration","Terminal 1","Electrical","4","corrective interventon of general lighting and power roughing - ins and accessories",454500
"101","2 valves","Marks of leakages were found in two valves.","Deterioration","Terminal 1","Mechanical","3","Repair the valves",898800
"102","Cooling Tower 1 to 4","This can operate but with minor issues such as deteriorated protective screens and corrosions.","Deterioration","Terminal 1","Mechanical","3","Repair the protective screens and corrosions.",348000
"103","Insulation of chilled water pipes","Deteriorating insulation and molds were observed.","Deterioration","Terminal 1","Mechanical","3","Repair the insulations",177900
"104","Insulation of air ducts","Deteriorating insulation and molds were observed.","Deterioration","Terminal 1","Mechanical","3","Repair the insulations",147000
"105","Portable Fire Extinguisher","It is estimated that the portable fire extinguishers were not inspected monthly as specified in NFPA 10.","Deterioration","Terminal 1","Mechanical","3","External and internal inspections of the fire extinguishers are required. Replacement of defective fire extinguishers is most likely.",25000
"106","Chiller Structural Steel  Supports","1) Chiller support are corroded
2) Paints faded away, resulting to steel supports exposed to weather","Deterioration","Terminal 1","Structural","4","Conduct structural evaluation to assess the capacity of the support
May undergo retrofitting to increase the strength
Esnure proper maintenance for the paint coating",152920
"107","Ceiling Tiles","Stains on the ceiling due to water leaks","Deterioration","Terminal 2","Architectural","4","'Replacement of stained ceiling and proper disposal of the existing",83872.5
"108","Ceiling Tiles","Stains on the ceiling due to water leaks","Deterioration","Terminal 2","Architectural","4","'Replacement of stained ceiling and proper disposal of the existing",83416
"109","Ceiling Tiles","Stains on the ceiling due to water leaks","Deterioration","Terminal 2","Architectural","4","'Replacement of stained ceiling and proper disposal of the existing",82068
"110","Ceiling Tiles","Stains on the ceiling due to water leaks","Deterioration","Terminal 2","Architectural","4","'Replacement of stained ceiling and proper disposal of the existing",80609
"111","Ceiling Tiles","Stains on the ceiling due to water leaks","Deterioration","Terminal 2","Architectural","4","'Replacement of stained ceiling and proper disposal of the existing",77834.5
"112","Ceiling Tiles","Stains on the ceiling due to water leaks","Deterioration","Terminal 2","Architectural","4","'Replacement of stained ceiling and proper disposal of the existing",73179.5
"113","Ceiling Tiles","Stains on the ceiling due to water leaks","Deterioration","Terminal 2","Architectural","4","'Replacement of stained ceiling and proper disposal of the existing",71551
"114","Side Walk","Ponding of water due to lack of floor drain, drainage and improper sloping","Deterioration","Terminal 2","Architectural","3","Corrective intervention",71212
"115","Ceiling Tiles","Stains on the ceiling due to water leaks","Deterioration","Terminal 2","Architectural","4","'Replacement of stained ceiling and proper disposal of the existing",69185
"116","Side Walk","Ponding of water due to lack of floor drain, drainage and improper sloping","Deterioration","Terminal 2","Architectural","3","Corrective intervention",51869
"117","Side Walk","Ponding of water due to lack of floor drain, drainage and improper sloping","Deterioration","Terminal 2","Architectural","3","Corrective intervention",28415.4
"118","Side Walk","Ponding of water due to lack of floor drain, drainage and improper sloping","Deterioration","Terminal 2","Architectural","3","Corrective intervention",28345.8
"119","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 2","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",16683.2
"120","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 2","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",15940.9
"121","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 2","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",15910.9
"122","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 2","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",15566.9
"123","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 2","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",15109.6
"124","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 2","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",15099.6
"125","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 2","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",15023.4
"126","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 2","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",14808.3
"127","Internal Walls","Exposed plastic mesh reinforcement of wall due to poor construction","Deterioration","Terminal 2","Architectural","3","Apply epoxy to fill in the deteriorated areas and repainting of walls to cover epoxy patched areas",14808.3
"128","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 2","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",14641.3
"129","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 2","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",14635.9
"130","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 2","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",14454
"131","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 2","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",14397.7
"132","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 2","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",14310.2
"133","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 2","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",14207.7
"134","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 2","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",14172.9
"135","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 2","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",14096
"136","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 2","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",14027.4
"137","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 2","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",13963.6
"138","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 2","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",13930.1
"139","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 2","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",13918.4
"140","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 2","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",13848.7
"141","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 2","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",13832.3
"142","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 2","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",13744.1
"143","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 2","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",13722.9
"144","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 2","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",13479
"145","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 2","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",11944.8
"146","Internal Walls","Hairline cracks on wall, especially those walls directly below the beams and near the elevator shafts","Deterioration","Terminal 2","Architectural","4","Apply epoxy to fill in the wall cracks and repainting of walls to cover epoxy patched areas",11308.2
